"","VIP","Coefficient"
"var_CV",0.107760092129917,1836.22128880363
"total_egg_serving_all_athletes",0.64319583556181,10959.9932849402
"total_dairy_serving_all_athletes",0.485679025456017,-8275.92245367194
"total_sandwich_serving_all_athletes",0.126200446489452,2150.4430992976
"total_vegetable_mushroom_serving_all_athletes",10.2042787413474,173879.89831299
"total_bean_nut_serving_all_athletes",0.104249090599743,1776.394170737
"total_fruit_serving_all_athletes",0.0685257610837311,1167.67217665068
"total_sports_drink_serving_all_athletes",0.596279895373482,10160.5503143999
"total_chicken_serving_all_athletes",0.157397711995287,-2682.04141127018
"total_pork_serving_all_athletes",0.0782901786978436,-1334.05688495425
"total_beef_serving_all_athletes",0.0813020550929258,1385.37896019179
"total_fish_serving_all_athletes",0.00329805660901937,56.1985577170787
"total_prawn_serving_all_athletes",0.43879742638737,7477.06465240706
"total_rice_noodle_serving_all_athletes",0.168060044649131,2863.7265028502
"total_fat_oil_serving_all_athletes",0.185906578633741,-3167.82967301443
"total_prawn_serving_per_person",0.0048552179518207,82.7324326538841
"total_beef_serving_per_person",0.314298752346235,-5355.61958695052
"total_pork_serving_per_person",0.111634682758753,-1902.24392907281
"total_dairy_serving_per_person",0.517249802211916,-8813.88536032348
"total_egg_serving_per_person",0.558630784052265,9519.01318923473
"prior_knowledge_ch_1",0.393087474964695,6698.17161089681
"prior_knowledge_ch_2",0.315681619503642,5379.1835062441
"prior_knowledge_ch_3",0.469941577549051,-8007.7579012199
"prior_knowledge_ch_4",0.380218186559081,6478.88021205824
"weight_contribution_ch_1",0.654188317108644,11147.3040809327
"weight_contribution_ch_2",0.0750923205353425,-1279.56569883426
"weight_contribution_ch_3",0.231506910660722,3944.85481088744
"weight_contribution_ch_4",0.0689795816200077,-1175.40523360652
"chance_of_good_learning_hour",0.150310277114729,2561.27222340609
"weight_learning_hour_to_interest_in_class",0.394752794345249,6726.54848807639
"chance_of_good_learning_material",0.317113042830695,-5403.57481785559
"weight_learning_material_to_interest",0.258343943106003,4402.15518369083
"weight_learning_material_to_motivation_inter_one",0.10114605169132,1723.51869530809
"weight_learning_material_to_motivation_inter_two",0.471494145173865,8034.21349965753
"chance_of_good_trainer",0.583051887681553,9935.14637447845
"weight_good_trainer_to_interest",0.0379724813543811,647.047318478077
"weight_good_trainer_to_motivation_inter_one",0.577589083366598,9842.0607304202
"weight_good_trainer_to_motivation_inter_two",0.257152732393803,4381.85707122674
"weight_good_trainer_to_successful_ch1",0.018558771850634,316.239632804868
"weight_good_trainer_to_successful_ch2",0.171957513782093,-2930.138990562
"weight_good_trainer_to_successful_ch3",0.345175068914671,-5881.748960842
"weight_good_trainer_to_successful_ch4",0.488504932659991,8324.0756323261
"chance_of_good_facility",0.11627748287087,-1981.35678279282
"weight_good_facility_to_motivation",0.565624040741617,9638.17759005553
"chance_athletes_understand_nutrition_importance",0.59841480925869,10196.9290353929
"weight_understand_nutrition_importance_to_motivation",0.335935016293992,-5724.29938005191
"weight_understand_nutrition_importance_to_persistence",0.24493014785975,-4173.58544225884
"weight_understand_nutrition_importance_to_interest",0.144832201488357,2467.92635771499
"weight_motivation_to_learning_success",0.412496873237362,7028.90583361974
"weight_persistence_to_learning_success",0.261200120316825,-4450.82416026134
"weight_interest_to_learning_success",0.0130694433475637,-222.702019210198
"weight_knowledge_to_learning_success",0.0446778939118656,-761.306883822731
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.243747077694225,4153.42604390321
"weight_motivation_to_maintain_good_nutrition_inter_one",0.307106635967561,-5233.06663673446
"weight_persistence_to_maintain_good_nutrition_inter_one",0.170537640084538,-2905.94448349234
"weight_interest_to_maintain_good_nutrition_inter_one",0.174497670427829,-2973.42300802713
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.332739322764756,5669.8450790682
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.462992605265141,-7889.3481022784
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0726081827651561,1237.23623745594
"weight_interest_to_maintain_good_nutrition_inter_two",0.301685282211655,5140.68730609387
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.0131613011999334,-224.267267909704
"chance_good_nutritionist_inter_one",0.31688096572227,-5399.62024693132
"chance_good_nutrition_team_inter_two",0.602489258168008,10266.3572409517
"weight_good_nutritionist_to_maintain_good_nutrition",0.593424272111046,-10111.8907770549
"weight_good_nutrition_team_to_maintain_good_nutrition",0.14248180963232,-2427.87591345699
"chance_good_support",0.997131435322904,16991.0208230688
"weight_good_support_to_maintain_good_nutrition_inter_one",0.26744008470349,4557.15253491006
"weight_good_support_to_maintain_good_nutrition_inter_two",0.272310472022465,-4640.14345207669
"chance_good_kitchen_staff",0.62548993078032,10658.2864224581
"chance_regular_audit",0.437816516903718,-7460.35005203255
"weight_good_kitchen_staff_to_good_food_safety",0.0444087939371563,-756.721446926649
"weight_regular_audit_to_good_food_safety",0.214483127374206,3654.77123106836
"chance_tasty_food_conditional_on_good_kitchen_staff",0.736776266929185,12554.5945598263
"weight_good_food_safety_to_maintain_good_nutrition",0.021302868072501,-362.99876043296
"weight_tasty_food_to_maintain_good_nutrition",0.366611587624412,-6247.02511488619
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.00821125575410566,-139.918984157161
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.0482649308283801,-822.42963733604
"chance_athletes_good_health",0.497103724491977,8470.59819283808
"weight_good_health_to_maintain_good_nutrition",0.171047141677506,-2914.62634013515
"total_main_meals_all_athletes",0.313416861049866,-5340.59224667271
"total_snack_time_all_athletes",0.670611179622571,-11427.1480303496
"pork_restriction",0.189308873045746,-3225.80443256242
"beef_restriction",0.229946795816535,-3918.27060857978
"prawn_restriction",0.0240527128245414,409.855842445417
"egg_restriction",0.355398746149923,6055.95940756837
"dairy_restriction",0.104326156845458,1777.70737192524
"percent_athlete_with_dietary_restriction",0.227313740896171,-3873.40361372297
"number_athlete",0.152737393952499,-2602.6300537479
"chance_good_water_intake_current",0.214865948353107,-3661.29446260394
"weight_current_good_water_intake_to_maintain_good_water_intake",0.438502147610127,-7472.03313131062
"weight_good_learning_outcome_to_maintain_good_water_intake",0.205941488820758,-3509.22255675767
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.368689685692279,-6282.4356999833
"weight_good_water_intake_to_nutrition_outcome",0.0387584252668304,-660.43972484411
"weight_good_carb_intake_to_nutrition_outcome",0.0442810165700372,-754.544133256125
"weight_good_protein_intake_to_nutrition_outcome",0.289005674131046,-4924.62804119243
"weight_good_fat_intake_to_nutrition_outcome",0.237316557892242,-4043.85062386516
"weight_vegetable_intake_to_nutrition_outcome",0.56989934760298,9711.02839520833
"weight_fruit_intake_to_nutrition_outcome",0.406640978407342,6929.12196614759
"chance_good_rest",0.0824019046753473,-1404.12028806008
"chance_enough_recovery_time",0.24370548280434,-4152.71727110243
"chance_personal_problem",0.0249875435104873,425.7852646743
"chance_good_team_relationship",0.470120396547101,8010.80495922228
"weight_good_rest_to_mental_health",0.411584287076176,7013.35545588791
"weight_recovery_time_to_mental_health",0.135700439533953,2312.32203914454
"weight_personal_problem_to_mental_health",0.277303646393057,-4725.22664843231
"weight_nutrition_outcome_to_mental_health",0.417692050026266,7117.4311311611
"weight_team_relationship_to_mental_health",0.0897757189183317,-1529.76935187424
"forty_dash_current_sec",0.381231210264969,6496.14203559651
"percent_increment_40_dash_if_optimal_training",0.718365953161597,12240.8846380415
"percent_increment_40_dash_current",0.421248046929508,-7178.0249659249
"ten_dash_current_sec",0.026883138428836,-458.086014193179
"percent_increment_10_dash_if_optimal_training",0.06532791995247,1113.18128074133
"percent_increment_10_dash_current",0.474648906558679,-8087.97032095745
"shuttle_run_current",0.497380485264796,8475.31416897462
