"","VIP","Coefficient"
"var_CV",0.154887507419564,2085.6719849917
"total_egg_serving_all_athletes",0.386879137017638,5209.60657898438
"total_dairy_serving_all_athletes",0.0350645917683447,-472.170015095547
"total_sandwich_serving_all_athletes",0.229238183419337,3086.85745554008
"total_vegetable_mushroom_serving_all_athletes",0.404384628333696,-5445.3306436923
"total_bean_nut_serving_all_athletes",10.3551389392601,139439.413456423
"total_fruit_serving_all_athletes",0.0825823964342776,-1112.03152252869
"total_sports_drink_serving_all_athletes",0.268286888294754,-3612.67642677739
"total_chicken_serving_all_athletes",0.462724187343978,6230.91487751248
"total_pork_serving_all_athletes",0.049772111549368,-670.217375318718
"total_beef_serving_all_athletes",0.00590204113410814,-79.4752401453077
"total_fish_serving_all_athletes",0.251830758037894,3391.08276548142
"total_prawn_serving_all_athletes",0.076108386486317,-1024.85430982784
"total_rice_noodle_serving_all_athletes",0.185134082467634,-2492.96393042164
"total_fat_oil_serving_all_athletes",0.0459867517181964,-619.244775368477
"total_prawn_serving_per_person",0.200824335461611,-2704.24450205822
"total_beef_serving_per_person",0.334896076173542,4509.61717697948
"total_pork_serving_per_person",0.184362655023936,-2482.57610357505
"total_dairy_serving_per_person",0.0969683914913523,1305.74932047538
"total_egg_serving_per_person",0.018021195120139,-242.668388331204
"prior_knowledge_ch_1",0.14477814583669,1949.54214088208
"prior_knowledge_ch_2",0.501857653804526,-6757.87522461965
"prior_knowledge_ch_3",0.143706177776241,1935.10731789518
"prior_knowledge_ch_4",0.850176843365944,-11448.2443034851
"weight_contribution_ch_1",0.59152925468733,-7965.36799744865
"weight_contribution_ch_2",0.114735021109603,-1544.98980074299
"weight_contribution_ch_3",0.148302213437819,1996.99625252313
"weight_contribution_ch_4",0.163968233419094,2207.95050916797
"chance_of_good_learning_hour",0.069396593382739,934.475175458579
"weight_learning_hour_to_interest_in_class",0.269896079249187,3634.34534345168
"chance_of_good_learning_material",0.0630302868630977,-848.748267090702
"weight_learning_material_to_interest",0.170602787836271,-2297.28956892393
"weight_learning_material_to_motivation_inter_one",0.0539649428000026,726.676871781256
"weight_learning_material_to_motivation_inter_two",0.299707351130764,4035.77561782461
"chance_of_good_trainer",0.00561093579763331,75.5552968581938
"weight_good_trainer_to_interest",0.00344295206128576,-46.3618324003457
"weight_good_trainer_to_motivation_inter_one",0.18726280300353,2521.62868757064
"weight_good_trainer_to_motivation_inter_two",0.0396636756535778,-534.099996253251
"weight_good_trainer_to_successful_ch1",0.0363284749941972,489.189114184802
"weight_good_trainer_to_successful_ch2",0.367045225343621,4942.52865500927
"weight_good_trainer_to_successful_ch3",0.655299253551513,8824.07702007948
"weight_good_trainer_to_successful_ch4",0.467499629557175,6295.21965073755
"chance_of_good_facility",0.114536041453043,-1542.31039617263
"weight_good_facility_to_motivation",0.0900324105891416,1212.35133572383
"chance_athletes_understand_nutrition_importance",0.142657253622599,1920.98279773161
"weight_understand_nutrition_importance_to_motivation",0.269866117960476,3633.94189309251
"weight_understand_nutrition_importance_to_persistence",0.13931524993816,1875.98030802473
"weight_understand_nutrition_importance_to_interest",0.199247709169461,2683.01409204567
"weight_motivation_to_learning_success",0.156405238783,2106.10933231687
"weight_persistence_to_learning_success",0.331659296348721,-4466.03160242486
"weight_interest_to_learning_success",0.142792465920276,-1922.80352882858
"weight_knowledge_to_learning_success",0.144338381567376,1943.62039785847
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.190462337429439,2564.71272596928
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0036735612336813,-49.4671512111432
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0595977368680346,802.526506013526
"weight_interest_to_maintain_good_nutrition_inter_one",0.12090200662592,1628.03270806017
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.116370582282568,-1567.01381142677
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.120569606093126,1623.55669517447
"weight_motivation_to_maintain_good_nutrition_inter_two",0.385398109664686,5189.6634776296
"weight_interest_to_maintain_good_nutrition_inter_two",0.475700546082023,-6405.65090586
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.20783795931719,2798.68800516932
"chance_good_nutritionist_inter_one",0.0262958569571486,-354.092677263566
"chance_good_nutrition_team_inter_two",0.217747934447536,2932.13296690751
"weight_good_nutritionist_to_maintain_good_nutrition",0.726958828187234,-9789.02487006512
"weight_good_nutrition_team_to_maintain_good_nutrition",0.19534066403903,-2630.40291178718
"chance_good_support",0.929617142654295,-12517.9652220111
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0451594819684185,608.104991599673
"weight_good_support_to_maintain_good_nutrition_inter_two",0.031386027484562,-422.635494206824
"chance_good_kitchen_staff",0.0432231017293381,582.030235254079
"chance_regular_audit",0.897259200204013,12082.2421918915
"weight_good_kitchen_staff_to_good_food_safety",0.21544298173137,-2901.09511636081
"weight_regular_audit_to_good_food_safety",0.00686058515404027,92.3827266305687
"chance_tasty_food_conditional_on_good_kitchen_staff",0.00659459089613809,88.8009221253645
"weight_good_food_safety_to_maintain_good_nutrition",0.385849940080021,5195.74770001093
"weight_tasty_food_to_maintain_good_nutrition",0.428204338289578,-5766.08021590303
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.00987807238730267,133.015368296352
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.718295349315849,-9672.36487936834
"chance_athletes_good_health",0.0252537277127764,-340.059655453486
"weight_good_health_to_maintain_good_nutrition",0.0947264856563179,-1275.56044164957
