"","VIP","Coefficient"
"var_CV",0.155025652521775,521.910879782183
"total_egg_serving_all_athletes",0.386725087062887,1301.95246489598
"total_dairy_serving_all_athletes",0.035153482703252,-118.348059089672
"total_sandwich_serving_all_athletes",0.229492464332372,772.611577598524
"total_vegetable_mushroom_serving_all_athletes",0.404625172659856,-1362.21506834336
"total_bean_nut_serving_all_athletes",10.3551459248575,34861.7356676255
"total_fruit_serving_all_athletes",0.0822702265525501,-276.971750297196
"total_sports_drink_serving_all_athletes",0.268605395145322,-904.289553464997
"total_chicken_serving_all_athletes",0.46272224835333,1557.80525225627
"total_pork_serving_all_athletes",0.0499191993862286,-168.058465459639
"total_beef_serving_all_athletes",0.00558921331430474,-18.8167002731973
"total_fish_serving_all_athletes",0.251872525368912,847.956510228425
"total_prawn_serving_all_athletes",0.075712158291177,-254.893293472226
"total_rice_noodle_serving_all_athletes",0.185141370834806,-623.298751946233
"total_fat_oil_serving_all_athletes",0.0458075872291381,-154.216271710906
"total_prawn_serving_per_person",0.200666161899842,-675.564665563655
"total_beef_serving_per_person",0.33514492968072,1128.30220198321
"total_pork_serving_per_person",0.184426926844764,-620.893497813565
"total_dairy_serving_per_person",0.0968280853265921,325.982380195611
"total_egg_serving_per_person",0.0180761518452431,-60.8553498028466
"prior_knowledge_ch_1",0.144270488245325,485.702438415129
"prior_knowledge_ch_2",0.501777775230268,-1689.28997146966
"prior_knowledge_ch_3",0.144215535451847,485.51743380251
"prior_knowledge_ch_4",0.850262839438303,-2862.50320097837
"weight_contribution_ch_1",0.591720460426106,-1992.09189616363
"weight_contribution_ch_2",0.115143818791163,-387.644307824057
"weight_contribution_ch_3",0.148698970505776,500.611410156609
"weight_contribution_ch_4",0.163669513227625,551.011385874689
"chance_of_good_learning_hour",0.0696382902347475,234.444949798479
"weight_learning_hour_to_interest_in_class",0.269693574318046,907.953028123278
"chance_of_good_learning_material",0.0624300359745526,-210.177570423291
"weight_learning_material_to_interest",0.170489400386809,-573.971284764746
"weight_learning_material_to_motivation_inter_one",0.0540662641994162,182.020014467539
"weight_learning_material_to_motivation_inter_two",0.299551256041447,1008.472191778
"chance_of_good_trainer",0.00568626373416056,19.1434311669961
"weight_good_trainer_to_interest",0.0034441287819874,-11.595037682152
"weight_good_trainer_to_motivation_inter_one",0.187476275658994,631.159465390599
"weight_good_trainer_to_motivation_inter_two",0.0395445119254149,-133.130941065714
"weight_good_trainer_to_successful_ch1",0.0359670764004661,121.087111597376
"weight_good_trainer_to_successful_ch2",0.367080503807922,1235.81681855117
"weight_good_trainer_to_successful_ch3",0.65522736801402,2205.89487310513
"weight_good_trainer_to_successful_ch4",0.467379332635501,1573.48383780253
"chance_of_good_facility",0.114559835548608,-385.678264121341
"weight_good_facility_to_motivation",0.0896995803015995,301.983485376555
"chance_athletes_understand_nutrition_importance",0.142950619199722,481.258954362119
"weight_understand_nutrition_importance_to_motivation",0.269917429866087,908.706662403296
"weight_understand_nutrition_importance_to_persistence",0.139469139935596,469.538172181067
"weight_understand_nutrition_importance_to_interest",0.19947743649457,671.562690974335
"weight_motivation_to_learning_success",0.15629013196972,526.167888673346
"weight_persistence_to_learning_success",0.33204812855968,-1117.87648100541
"weight_interest_to_learning_success",0.142513936497512,-479.788814100888
"weight_knowledge_to_learning_success",0.144680884395518,487.084082112946
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.190047089592203,639.814392751405
"weight_motivation_to_maintain_good_nutrition_inter_one",0.00384225537167128,-12.9353745574147
"weight_persistence_to_maintain_good_nutrition_inter_one",0.060201998314846,202.676637021305
"weight_interest_to_maintain_good_nutrition_inter_one",0.120314175326591,405.050880764067
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.116138544973044,-390.99316272828
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.120669906939678,406.248490295986
"weight_motivation_to_maintain_good_nutrition_inter_two",0.385111747034732,1296.52097855946
"weight_interest_to_maintain_good_nutrition_inter_two",0.475640015402918,-1601.29433329545
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.208266008764879,701.150384436758
"chance_good_nutritionist_inter_one",0.0259781238411295,-87.458206099858
"chance_good_nutrition_team_inter_two",0.217973636745292,733.832179852157
"weight_good_nutritionist_to_maintain_good_nutrition",0.727044383776391,-2447.67474159886
"weight_good_nutrition_team_to_maintain_good_nutrition",0.19467775094045,-655.404022589587
"chance_good_support",0.930067609503654,-3131.17472132415
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0452983883131388,152.501997654256
"weight_good_support_to_maintain_good_nutrition_inter_two",0.0314309204807674,-105.815644660338
"chance_good_kitchen_staff",0.0429168204835453,144.48418807897
"chance_regular_audit",0.89731652413453,3020.91459662369
"weight_good_kitchen_staff_to_good_food_safety",0.215176937166296,-724.416783664387
"weight_regular_audit_to_good_food_safety",0.00692322123663015,23.3077844070278
"chance_tasty_food_conditional_on_good_kitchen_staff",0.00680813017589892,22.9203177150049
"weight_good_food_safety_to_maintain_good_nutrition",0.385839710162419,1298.9717463533
"weight_tasty_food_to_maintain_good_nutrition",0.428389743631282,-1442.22110567709
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.0103256924088013,34.7625771720635
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.717492536400048,-2415.51739869052
"chance_athletes_good_health",0.0255335380763104,-85.9614593106596
"weight_good_health_to_maintain_good_nutrition",0.0948191308980121,-319.219014544786
"total_main_meals_all_athletes",0.298007708461939,1003.2756693825
"total_snack_time_all_athletes",0.376381777217736,-1267.13057669019
"pork_restriction",0.220217863373853,-741.387615195212
"beef_restriction",0.160884795567742,-541.636328133131
"prawn_restriction",0.156767818052805,-527.776071318134
"egg_restriction",0.118584984684934,399.229370617728
"dairy_restriction",0.0630481308095728,212.25845454722
"percent_athlete_with_dietary_restriction",0.50842519382095,1711.6692359882
"number_athlete",0.317911067587571,-1070.28251310741
"chance_good_water_intake_current",0.626196997443491,2108.16094327865
"weight_current_good_water_intake_to_maintain_good_water_intake",0.306122412916485,-1030.5947128579
"weight_good_learning_outcome_to_maintain_good_water_intake",0.230755481929945,-776.86366500991
