"","VIP","Coefficient"
"var_CV",0.358475769364569,-21234.737478764
"total_egg_serving_per_year_all_athletes",0.030740162018702,1820.92996600268
"total_dairy_serving_per_year_all_athletes",0.15284540783047,9053.97906214921
"total_sandwich_serving_per_year_all_athletes",0.548803623436715,-32509.0337116239
"total_vegetable_mushroom_serving_per_year_all_athletes",0.213411231680651,-12641.6674906402
"total_bean_nut_serving_per_year_all_athletes",9.67968464719984,573387.603644338
"total_fruit_serving_per_year_all_athletes",0.0338899968251495,2007.51416759306
"total_sports_drink_serving_per_year_all_athletes",0.176989405131187,-10484.1773856719
"total_chicken_serving_per_year_all_athletes",0.480423562598857,28458.4596846885
"total_pork_serving_per_year_all_athletes",0.209345168822135,12400.8094334114
"total_beef_serving_per_year_all_athletes",0.0133778277480301,-792.451497542197
"total_fish_serving_per_year_all_athletes",0.269762149531821,15979.680961894
"total_prawn_serving_per_year_all_athletes",0.133637652481967,-7916.1848868141
"total_rice_noodle_serving_per_year_all_athletes",0.289135882093481,-17127.3069943588
"total_fat_oil_serving_per_year_all_athletes",0.178521800226382,10574.9506271044
"total_prawn_serving_per_year_per_person",0.0533313432426211,3159.14538702109
"total_beef_serving_per_year_per_person",0.317267487853146,-18793.7160356768
"total_pork_serving_per_year_per_person",0.18072603950679,-10705.5213558953
"total_dairy_serving_per_year_per_person",0.00322856595255661,191.247934433449
"total_egg_serving_per_year_per_person",0.404869717850802,23982.9380571594
"prior_knowledge_ch_1",0.0962077890974256,-5698.98252402787
"prior_knowledge_ch_2",0.210243303008451,12454.0114774462
"prior_knowledge_ch_3",0.0907457097416595,5375.42977340971
"prior_knowledge_ch_4",0.110331294201669,6535.60510440538
"weight_contribution_ch_1",0.303541734010045,17980.6547231284
"weight_contribution_ch_2",0.0986091868337967,5841.23216785827
"weight_contribution_ch_3",0.0330696724777359,-1958.92128167599
"weight_contribution_ch_4",0.326081808022124,-19315.842747822
"chance_of_good_learning_hour",0.0407069520022861,2411.32459485734
"weight_learning_hour_to_interest_in_class",0.222965471340178,-13207.6242116171
"chance_of_good_learning_material",0.0132905757986771,-787.283024810257
"weight_learning_material_to_interest",0.352880690800957,-20903.3063622844
"weight_learning_material_to_motivation_inter_one",0.383042114416647,-22689.954072394
"weight_learning_material_to_motivation_inter_two",0.522224566783381,-30934.5917584978
"chance_of_good_trainer",0.312616810484485,18518.2276443778
"weight_good_trainer_to_interest",0.29819779168719,-17664.0999598075
