"","VIP","Coefficient"
"var_CV",0.205994703343193,-628.294580227347
"total_egg_serving_all_athletes",0.0551585450872806,-168.236437001133
"total_dairy_serving_all_athletes",0.296887244803616,905.521568377286
"total_sandwich_serving_all_athletes",0.0489982772549641,149.447299081674
"total_vegetable_mushroom_serving_all_athletes",0.421545014823633,1285.73426324603
"total_bean_nut_serving_all_athletes",8.62759163292517,26314.6040913038
"total_fruit_serving_all_athletes",0.011484193549081,35.0273888020718
"total_sports_drink_serving_all_athletes",0.093132128773287,284.057846166098
"total_chicken_serving_all_athletes",0.577870858010014,-1762.53623159489
"total_pork_serving_all_athletes",0.0246586053430097,75.2100313335076
"total_beef_serving_all_athletes",0.105934314260437,323.105179063976
"total_fish_serving_all_athletes",0.553694885382333,-1688.79825519465
"total_prawn_serving_all_athletes",0.551323104641452,1681.56420033402
"total_rice_noodle_serving_all_athletes",0.303441331938367,-925.51187569233
"total_fat_oil_serving_all_athletes",0.317691502366321,-968.975638118704
"total_prawn_serving_per_person",0.120481132714217,-367.473733428378
"total_beef_serving_per_person",0.261839536401741,-798.624231305468
"total_pork_serving_per_person",0.303111938704715,924.507209163977
"total_dairy_serving_per_person",0.156840577930982,-478.371936144335
"total_egg_serving_per_person",0.131458719092646,-400.955943959073
"prior_knowledge_ch_1",0.739819212383044,-2256.48715206974
"prior_knowledge_ch_2",0.39875867067425,1216.2347261225
"prior_knowledge_ch_3",0.683888322813075,-2085.89502414711
"prior_knowledge_ch_4",0.1930482525648,-588.807230673061
"weight_contribution_ch_1",0.125234432746971,381.971546237665
"weight_contribution_ch_2",0.559125918981718,1705.36319070098
"weight_contribution_ch_3",0.0153279528152344,46.7510548742005
"weight_contribution_ch_4",0.0136333957192072,41.5825674226283
"chance_of_good_learning_hour",0.736371990792457,-2245.97294657291
"weight_learning_hour_to_interest_in_class",0.33373716552525,-1017.91574694331
"chance_of_good_learning_material",0.493306275972071,-1504.60984945335
"weight_learning_material_to_interest",0.398473175846942,-1215.36395202117
"weight_learning_material_to_motivation_inter_one",0.339086879725908,-1034.23265404572
"weight_learning_material_to_motivation_inter_two",0.0555560314439816,169.448791103333
"chance_of_good_trainer",1.16562714551609,-3555.22353831352
"weight_good_trainer_to_interest",0.219044359080065,-668.096710283331
"weight_good_trainer_to_motivation_inter_one",0.510650486127535,-1557.51059428875
"weight_good_trainer_to_motivation_inter_two",0.596038573566877,1817.94871082001
"weight_good_trainer_to_successful_ch1",0.51613818669948,1574.24836701448
"weight_good_trainer_to_successful_ch2",0.388282046279699,1184.28047574933
"weight_good_trainer_to_successful_ch3",0.0510378921673507,155.668230855189
"weight_good_trainer_to_successful_ch4",0.126818340419461,386.80254718116
"chance_of_good_facility",0.0275833847864095,84.1307610553146
"weight_good_facility_to_motivation",0.563497922912273,1718.69803052802
"chance_athletes_understand_nutrition_importance",3.397200455038,-10361.6384266454
"weight_understand_nutrition_importance_to_motivation",0.238286686194594,726.786810760713
"weight_understand_nutrition_importance_to_persistence",1.51477152522921,-4620.13209144815
"weight_understand_nutrition_importance_to_interest",0.0963439684642493,293.854124602581
"weight_motivation_to_learning_success",0.0903667448669996,275.623281139085
"weight_persistence_to_learning_success",0.351998250863337,1073.61300886695
"weight_interest_to_learning_success",0.115670012327059,-352.799565524962
"weight_knowledge_to_learning_success",0.252638368471992,770.560189617989
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.235064392779769,-716.958647921672
"weight_motivation_to_maintain_good_nutrition_inter_one",1.58508816163346,-4834.60149690175
"weight_persistence_to_maintain_good_nutrition_inter_one",0.306015330245694,933.36270466881
"weight_interest_to_maintain_good_nutrition_inter_one",0.236220893508836,-720.48603541421
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0157223028487048,47.9538430271034
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.294214313474402,897.36898852834
"weight_motivation_to_maintain_good_nutrition_inter_two",0.037897427526814,-115.589128910691
"weight_interest_to_maintain_good_nutrition_inter_two",0.435350275381844,1327.84102738404
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.558431095109333,-1703.24394168075
"chance_good_nutritionist_inter_one",0.558323334107604,-1702.91526500971
"chance_good_nutrition_team_inter_two",0.44090611810533,-1344.78663722308
"weight_good_nutritionist_to_maintain_good_nutrition",0.512449726299084,-1562.99837057602
"weight_good_nutrition_team_to_maintain_good_nutrition",0.204715320302558,-624.392395280745
"chance_good_support",1.10358079427096,-3365.97893358575
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0786606227489672,-239.918998636317
"weight_good_support_to_maintain_good_nutrition_inter_two",0.821325302670065,2505.08497498337
"chance_good_kitchen_staff",2.64177821258029,-8057.56121972509
"chance_regular_audit",0.297185569701746,-906.431474863229
"weight_good_kitchen_staff_to_good_food_safety",0.533809070992086,1628.14548499218
"weight_regular_audit_to_good_food_safety",0.482690358293045,-1472.23074730353
"chance_tasty_food_conditional_on_good_kitchen_staff",0.199659064359508,608.970551157073
"weight_good_food_safety_to_maintain_good_nutrition",0.297798407560905,908.300662270569
"weight_tasty_food_to_maintain_good_nutrition",0.0753444774849231,-229.804582766244
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.26828078663398,818.270380187564
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.626349379244075,-1910.3982477267
"chance_athletes_good_health",1.48760632450537,-4537.27681357656
"weight_good_health_to_maintain_good_nutrition",0.0822521570917765,250.873365548014
"total_main_meals_all_athletes",0.299445496934118,-913.324370693867
"total_snack_time_all_athletes",0.505637668721726,-1542.22123996738
"pork_restriction",0.0849407059279442,-259.073579607045
"beef_restriction",0.0871614103944337,-265.846843957719
"prawn_restriction",0.089165323690948,271.958883942299
"egg_restriction",0.20722706131283,632.053336256782
"dairy_restriction",0.0229487344761601,69.994836082878
"percent_athlete_with_dietary_restriction",0.20147727060599,614.516174961279
"number_athlete",0.929894701135187,-2836.22729819414
"chance_good_water_intake_current",0.154452418970183,-471.087926859439
"weight_current_good_water_intake_to_maintain_good_water_intake",0.228877055646775,-698.08694722448
"weight_good_learning_outcome_to_maintain_good_water_intake",0.278787657308613,-850.316883291207
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.697078894227227,2126.12695436235
"weight_good_water_intake_to_nutrition_outcome",0.16449050068041,-501.704599191577
"weight_good_carb_intake_to_nutrition_outcome",0.400278228072888,-1220.86945537725
"weight_good_protein_intake_to_nutrition_outcome",0.409093367305363,-1247.75608942087
"weight_good_fat_intake_to_nutrition_outcome",0.0752666005487394,-229.567054052472
"weight_vegetable_intake_to_nutrition_outcome",0.099118521115013,-302.316654778059
"weight_fruit_intake_to_nutrition_outcome",0.833830759231171,2543.22726919333
"chance_good_rest",0.515026991314749,1570.85916318317
"chance_enough_recovery_time",0.687264209548422,2096.19165461797
"chance_personal_problem",0.803216860959187,2449.85328407745
"chance_good_team_relationship",0.0878452643420303,267.932634135664
"weight_good_rest_to_mental_health",0.0746789634744443,227.774730352259
"weight_recovery_time_to_mental_health",0.0630923047144149,-192.434817317011
"weight_personal_problem_to_mental_health",0.304416158153243,-928.485146448955
"weight_nutrition_outcome_to_mental_health",0.58209658043762,-1775.42490521475
"weight_team_relationship_to_mental_health",0.459591343870711,-1401.77754955326
"forty_dash_current_sec",0.245289332380848,748.145246558661
"percent_increment_40_dash_if_optimal_training",0.159018998049363,485.016231029708
"percent_increment_40_dash_current",0.42405308316501,-1293.38400239055
"ten_dash_current_sec",0.137785955728432,420.25434543038
"percent_increment_10_dash_if_optimal_training",0.0278311854358773,84.886565949861
"percent_increment_10_dash_current",0.355082489708904,-1083.0200980753
"shuttle_run_current",0.0577565220681394,176.160402181488
"percent_increment_shuttle_run_if_optimal_training",0.249444028256379,-760.817285493273
"percent_increment_shuttle_run_current",0.593143862121729,1809.11969005981
"weight_nutrition_outcome_to_sports_performance",0.236306096306052,720.745908385902
"weight_water_intake_to_sports_performance",0.899228400128926,-2742.69348200784
"weight_mental_health_to_sports_performance",0.31145261062301,949.946693173371
