"","VIP","Coefficient"
"var_CV",0.262108563648914,-794.549726207656
"total_egg_serving_all_athletes",0.0731638459969775,-221.787159472836
"total_dairy_serving_all_athletes",0.489198281505045,1482.94414810395
"total_sandwich_serving_all_athletes",0.0305104953187475,92.4887968728955
"total_vegetable_mushroom_serving_all_athletes",0.283442551399106,859.221074178331
"total_bean_nut_serving_all_athletes",8.5531989391221,25927.9658042079
"total_fruit_serving_all_athletes",0.0529110939740913,160.393444018768
"total_sports_drink_serving_all_athletes",0.172650792264472,523.369545098186
"total_chicken_serving_all_athletes",0.646340803693402,-1959.30228857121
"total_pork_serving_all_athletes",0.0546349771215489,165.619182788071
"total_beef_serving_all_athletes",0.191326326490331,579.982119671728
"total_fish_serving_all_athletes",0.281739101754342,-854.057277047809
"total_prawn_serving_all_athletes",0.62925841798066,1907.51914687572
"total_rice_noodle_serving_all_athletes",0.169747738289926,-514.569295657533
"total_fat_oil_serving_all_athletes",0.19154949463465,-580.65862632797
"total_prawn_serving_per_person",0.0256621011861889,-77.7914890972852
"total_beef_serving_per_person",0.0955977946146171,-289.792902908896
"total_pork_serving_per_person",0.345313492756769,1046.77518851772
"total_dairy_serving_per_person",0.138373921300321,-419.463445806057
"total_egg_serving_per_person",0.230665656607163,-699.234438399433
"prior_knowledge_ch_1",0.887966442489531,-2691.76055882967
"prior_knowledge_ch_2",0.130902760884576,396.815546095558
"prior_knowledge_ch_3",0.550821043584706,-1669.74593762556
"prior_knowledge_ch_4",0.0903228748367781,-273.802635338457
"weight_contribution_ch_1",0.147667352578809,447.635334488577
"weight_contribution_ch_2",0.492778388998249,1493.79680163392
"weight_contribution_ch_3",0.0928073614682506,-281.334049594144
"weight_contribution_ch_4",0.022459385059266,-68.0828508660828
"chance_of_good_learning_hour",0.537470625932394,-1629.27579600664
"weight_learning_hour_to_interest_in_class",0.414683761693614,-1257.06258784341
"chance_of_good_learning_material",0.246771516436786,-748.057362533676
"weight_learning_material_to_interest",0.262040106140673,-794.342205729606
"weight_learning_material_to_motivation_inter_one",0.408895195231673,-1239.51526381308
"weight_learning_material_to_motivation_inter_two",0.0246938824667811,74.8564536764469
"chance_of_good_trainer",0.865813151495313,-2624.60559430271
"weight_good_trainer_to_interest",0.329623775336133,-999.213748680368
"weight_good_trainer_to_motivation_inter_one",0.175991505638631,533.496504934308
"weight_good_trainer_to_motivation_inter_two",0.743482861687782,-2253.77643511634
"weight_good_trainer_to_successful_ch1",0.538881465147666,1633.55258077327
"weight_good_trainer_to_successful_ch2",0.598200397144074,1813.37059404432
