"","VIP","Coefficient"
"var_CV",0.310674623654245,542.88457107003
"total_egg_serving_all_athletes",0.449072960647381,784.727052221443
"total_dairy_serving_all_athletes",0.397453625883945,694.525477073947
"total_sandwich_serving_all_athletes",0.631901008196877,1104.20768764
"total_vegetable_mushroom_serving_all_athletes",0.221260024959043,386.638124259921
"total_bean_nut_serving_all_athletes",0.00621292434812842,-10.8566986583944
"total_fruit_serving_all_athletes",0.253741416218747,-443.39733411868
"total_sports_drink_serving_all_athletes",0.263722315952898,460.83833527717
"total_chicken_serving_all_athletes",0.313503302593493,-547.827511483269
"total_pork_serving_all_athletes",0.130263840619748,-227.627954961297
"total_beef_serving_all_athletes",10.2848525907625,17972.1398599601
"total_fish_serving_all_athletes",0.252721492478115,-441.615080853369
"total_prawn_serving_all_athletes",0.112308822759723,-196.252678619633
"total_rice_noodle_serving_all_athletes",0.447982180760459,-782.820982249978
"total_fat_oil_serving_all_athletes",0.109805676221901,191.878585819498
"total_prawn_serving_per_person",0.598514080694299,-1045.86610954975
"total_beef_serving_per_person",0.242239050947195,-423.297666616749
"total_pork_serving_per_person",0.109112845763215,190.667907708863
"total_dairy_serving_per_person",0.112558092403432,196.688261809576
"total_egg_serving_per_person",0.203114571419769,354.930073419878
"prior_knowledge_ch_1",0.179670973026331,-313.96384415899
"prior_knowledge_ch_2",0.247226926833776,-432.013669325264
"prior_knowledge_ch_3",0.334495613256817,584.510267983236
"prior_knowledge_ch_4",1.06461589149568,-1860.35001768344
"weight_contribution_ch_1",0.324789716719855,-567.549817797954
"weight_contribution_ch_2",0.59090758029335,-1032.57422346346
"weight_contribution_ch_3",0.550742030748567,-962.387425198663
"weight_contribution_ch_4",0.606947903894145,-1060.60369074152
"chance_of_good_learning_hour",0.248430301440867,-434.116491563279
"weight_learning_hour_to_interest_in_class",0.125976361098344,220.135851314172
"chance_of_good_learning_material",0.0217192474834285,37.9530333546885
"weight_learning_material_to_interest",0.112321373335394,196.274609969576
"weight_learning_material_to_motivation_inter_one",0.476685271279868,832.977846694611
"weight_learning_material_to_motivation_inter_two",0.142257152620727,-248.58552132052
"chance_of_good_trainer",0.483505629913828,844.895998965915
"weight_good_trainer_to_interest",0.295924361016088,-517.10940504167
"weight_good_trainer_to_motivation_inter_one",0.320328699070049,559.754467070996
"weight_good_trainer_to_motivation_inter_two",0.0433833920457627,75.8097777839055
"weight_good_trainer_to_successful_ch1",0.192666843522714,336.673319098155
"weight_good_trainer_to_successful_ch2",0.102683806281898,179.433561304402
"weight_good_trainer_to_successful_ch3",0.706769617806151,1235.03592374201
"weight_good_trainer_to_successful_ch4",0.323605637565262,-565.480713162394
"chance_of_good_facility",0.288839833773108,-504.729634565729
"weight_good_facility_to_motivation",0.0924443955146529,161.540828203124
"chance_athletes_understand_nutrition_importance",0.225795554589695,-394.563680036412
"weight_understand_nutrition_importance_to_motivation",0.35009829427946,-611.77498209116
"weight_understand_nutrition_importance_to_persistence",0.358646828064818,-626.7130128925
"weight_understand_nutrition_importance_to_interest",0.401933639594959,-702.354022235712
"weight_motivation_to_learning_success",0.364328342459809,-636.641105728255
"weight_persistence_to_learning_success",0.427228962141531,746.556024218522
"weight_interest_to_learning_success",0.0929038685306516,-162.34372870486
"weight_knowledge_to_learning_success",0.131444610040778,229.691276043428
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0706154659145926,123.39613217531
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0392059231059883,-68.5099107820491
"weight_persistence_to_maintain_good_nutrition_inter_one",0.229141246286751,400.410068069411
"weight_interest_to_maintain_good_nutrition_inter_one",0.146048611846286,-255.210860368772
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.275554518011764,-481.514372038674
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.261765972632973,-457.419747071895
"weight_motivation_to_maintain_good_nutrition_inter_two",0.359909041352174,-628.918652062655
"weight_interest_to_maintain_good_nutrition_inter_two",0.357782061143122,625.201886512628
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.135359078047398,236.531565281554
"chance_good_nutritionist_inter_one",0.222414094163586,388.654788375335
"chance_good_nutrition_team_inter_two",0.418310564237074,730.971678886277
"weight_good_nutritionist_to_maintain_good_nutrition",0.141362602100599,247.022349955869
"weight_good_nutrition_team_to_maintain_good_nutrition",0.288999168599771,-505.008062259667
"chance_good_support",0.812347405685439,-1419.52653779087
"weight_good_support_to_maintain_good_nutrition_inter_one",0.37261891059371,-651.128357607278
"weight_good_support_to_maintain_good_nutrition_inter_two",0.138557947543163,242.121390654772
"chance_good_kitchen_staff",0.245604686180627,429.178904738449
"chance_regular_audit",0.0790736838265778,-138.176341608428
"weight_good_kitchen_staff_to_good_food_safety",0.264767535542258,-462.664791463933
"weight_regular_audit_to_good_food_safety",0.464164140623637,811.097950082312
"chance_tasty_food_conditional_on_good_kitchen_staff",0.294865772312147,-515.259587159158
"weight_good_food_safety_to_maintain_good_nutrition",0.0168019719136982,29.3604003063033
"weight_tasty_food_to_maintain_good_nutrition",0.317185182924077,-554.261368231816
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.0954949900224845,-166.871552262311
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.143809896368724,-251.298844390483
"chance_athletes_good_health",0.135171801865198,236.204311807649
"weight_good_health_to_maintain_good_nutrition",0.301668174765564,527.146362122404
"total_main_meals_all_athletes",0.746678341608546,1304.77393500465
"total_snack_time_all_athletes",0.0810797620230164,141.681838415334
"pork_restriction",0.300666535923657,525.396060579716
"beef_restriction",0.25473407329326,445.131940581796
"prawn_restriction",0.367993014724882,-643.044892453207
"egg_restriction",0.0908044413873218,-158.675110422512
"dairy_restriction",0.442041249509654,-772.439574602602
"percent_athlete_with_dietary_restriction",0.144807113748804,253.041419703782
"number_athlete",0.31315203482385,-547.213692915757
"chance_good_water_intake_current",0.0029925702692531,-5.22933031321045
"weight_current_good_water_intake_to_maintain_good_water_intake",0.400069366343861,-699.096320746047
"weight_good_learning_outcome_to_maintain_good_water_intake",0.14604599009645,-255.206279024089
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.371149158670465,-648.56005758636
"weight_good_water_intake_to_nutrition_outcome",0.305166321094531,-533.259155137177
"weight_good_carb_intake_to_nutrition_outcome",0.0344194796580987,-60.1458987246936
"weight_good_protein_intake_to_nutrition_outcome",0.365128527898835,-638.039379986167
"weight_good_fat_intake_to_nutrition_outcome",0.336288365182833,587.642990408203
"weight_vegetable_intake_to_nutrition_outcome",0.651295241902324,-1138.09790410689
"weight_fruit_intake_to_nutrition_outcome",0.68019896279335,1188.60535764039
"chance_good_rest",0.149567827170136,-261.360470140948
"chance_enough_recovery_time",0.252794404306741,441.742489736475
"chance_personal_problem",0.294768109940675,-515.088928242692
"chance_good_team_relationship",0.0220561709422486,-38.541786131705
"weight_good_rest_to_mental_health",0.21205339606308,-370.550113207083
"weight_recovery_time_to_mental_health",0.334942382254235,-585.290969003092
"weight_personal_problem_to_mental_health",0.250420965892263,437.595053809945
"weight_nutrition_outcome_to_mental_health",0.395112463909877,-690.43444221842
"weight_team_relationship_to_mental_health",0.119975204201445,-209.649203098183
"forty_dash_current_sec",0.408063814272585,-713.066120994545
"percent_increment_40_dash_if_optimal_training",0.23014240375401,-402.159528439858
"percent_increment_40_dash_current",0.398301473380202,-696.007037810786
"ten_dash_current_sec",0.286171327266294,500.066585510387
"percent_increment_10_dash_if_optimal_training",0.0266915079524522,46.6417490927933
"percent_increment_10_dash_current",0.14383644064193,-251.345228856019
"shuttle_run_current",0.387146515376437,676.514442889619
"percent_increment_shuttle_run_if_optimal_training",0.213458318444846,373.00512763871
"percent_increment_shuttle_run_current",0.0825210949981621,144.200478093004
"weight_nutrition_outcome_to_sports_performance",0.343562424012479,600.353955536998
"weight_water_intake_to_sports_performance",0.0158620594250971,27.7179617246911
"weight_mental_health_to_sports_performance",0.320273543519971,559.658086179651
