"","VIP","Coefficient"
"var_CV",0.620275446623067,238.189659093816
"total_egg_serving_all_athletes",0.0131744846250458,-5.05908466740152
"total_dairy_serving_all_athletes",0.223611375146254,-85.8681695455733
"total_sandwich_serving_all_athletes",0.266097837218511,102.183237266193
"total_vegetable_mushroom_serving_all_athletes",0.516209814614803,-198.227804168912
"total_bean_nut_serving_all_athletes",0.229187928382423,88.0096009394369
"total_fruit_serving_all_athletes",0.0588333226548452,22.5923646386568
"total_sports_drink_serving_all_athletes",0.0730193233128968,28.0398778024325
"total_chicken_serving_all_athletes",0.139213290867454,53.4587762155889
"total_pork_serving_all_athletes",0.222238614959801,85.3410210301694
"total_beef_serving_all_athletes",0.116992124734478,-44.925709148859
"total_fish_serving_all_athletes",0.631319949816614,242.430817541814
"total_prawn_serving_all_athletes",0.111995238373646,-43.0068734682
"total_rice_noodle_serving_all_athletes",0.520229207351075,-199.771276171276
"total_fat_oil_serving_all_athletes",0.585031456373454,-224.655745945449
"total_prawn_serving_per_person",0.0826960119465207,-31.7557868866115
"total_beef_serving_per_person",4.7793371311974,1835.29541298466
"total_pork_serving_per_person",0.071140199880953,27.3182826271169
"total_dairy_serving_per_person",0.0369451199997132,14.1871576342751
"total_egg_serving_per_person",0.304552349815927,-116.950011118139
"prior_knowledge_ch_1",0.468946507553391,-180.078398033471
"prior_knowledge_ch_2",0.239841124366914,-92.1004949666311
"prior_knowledge_ch_3",0.285055569407146,109.463125244649
"prior_knowledge_ch_4",0.377677695596797,145.030602212771
"weight_contribution_ch_1",0.0271760929940841,10.4357900365131
"weight_contribution_ch_2",0.102298088798031,-39.2831072540567
"weight_contribution_ch_3",0.0542340389465753,-20.8262108685653
"weight_contribution_ch_4",0.303364452566174,116.493851129061
"chance_of_good_learning_hour",0.0117740141539032,4.52129522900203
"weight_learning_hour_to_interest_in_class",0.618715488616176,-237.590625442097
"chance_of_good_learning_material",0.129440514759584,49.705968939069
"weight_learning_material_to_interest",0.427358691464907,-164.108416002904
"weight_learning_material_to_motivation_inter_one",0.314668095651657,-120.834520919728
"weight_learning_material_to_motivation_inter_two",0.533866386223307,-205.008038329544
"chance_of_good_trainer",0.14526942734158,55.7843705786274
"weight_good_trainer_to_interest",0.691929015280976,265.705078548835
"weight_good_trainer_to_motivation_inter_one",0.251693027573867,96.6517000801757
"weight_good_trainer_to_motivation_inter_two",0.150024488326459,-57.6103437992747
"weight_good_trainer_to_successful_ch1",0.104056673320547,-39.9584147326717
"weight_good_trainer_to_successful_ch2",0.0597807881457101,22.9561973254106
"weight_good_trainer_to_successful_ch3",0.110328795520838,-42.366948968253
"weight_good_trainer_to_successful_ch4",0.36221911135198,139.094408975731
"chance_of_good_facility",0.491738039511821,188.830489151956
"weight_good_facility_to_motivation",0.226852704241849,-87.1128602333858
"chance_athletes_understand_nutrition_importance",0.680709555376585,-261.396735627327
"weight_understand_nutrition_importance_to_motivation",0.176613095718234,-67.8205356824216
"weight_understand_nutrition_importance_to_persistence",0.430295899902582,-165.236322451992
"weight_understand_nutrition_importance_to_interest",0.132007371913543,-50.6916581740254
"weight_motivation_to_learning_success",0.346971436173949,-133.239206142214
"weight_persistence_to_learning_success",0.126797704429853,48.6911132085783
"weight_interest_to_learning_success",0.278373821291555,-106.897292090253
"weight_knowledge_to_learning_success",0.0511528185338645,19.6430029184649
