"","VIP","Coefficient"
"var_CV",0.23899663235327,90.3565356256146
"total_egg_serving_all_athletes",0.282888155288177,-106.950434529882
"total_dairy_serving_all_athletes",0.256309118762858,96.9018006347203
"total_sandwich_serving_all_athletes",0.4461705850945,-168.681993424921
"total_vegetable_mushroom_serving_all_athletes",0.0392484937955636,-14.8385267732499
"total_bean_nut_serving_all_athletes",0.493406823664695,-186.540416077835
"total_fruit_serving_all_athletes",0.0993803712278055,37.5723539068903
"total_sports_drink_serving_all_athletes",0.0178018413424667,-6.73027354245113
"total_chicken_serving_all_athletes",0.0116749285264815,-4.41389522916051
"total_pork_serving_all_athletes",0.0196388147493277,-7.42477099810981
"total_beef_serving_all_athletes",0.0666911048409699,-25.2136489587329
"total_fish_serving_all_athletes",0.444944059748973,-168.218285714952
"total_prawn_serving_all_athletes",0.567900749374919,-214.704047448081
"total_rice_noodle_serving_all_athletes",0.0644368605115682,-24.3613954936826
"total_fat_oil_serving_all_athletes",0.242662921671751,-91.7426354972206
"total_prawn_serving_per_person",0.76411069597698,288.88438570508
"total_beef_serving_per_person",5.25550635152493,1986.92902994668
"total_pork_serving_per_person",0.444659616796434,-168.110747464218
"total_dairy_serving_per_person",0.760300173196115,287.443756044272
"total_egg_serving_per_person",0.447774180035077,169.288258383346
"prior_knowledge_ch_1",0.0159112384010617,-6.01550057537249
"prior_knowledge_ch_2",0.180522965534762,68.2496217874433
"prior_knowledge_ch_3",0.40331394567319,152.479348941873
"prior_knowledge_ch_4",0.33731762213988,127.528373274222
"weight_contribution_ch_1",0.343290743928958,-129.786608406728
"weight_contribution_ch_2",0.0441337659254044,16.6854827780036
"weight_contribution_ch_3",0.683917512421005,258.566057887823
"weight_contribution_ch_4",0.0905474116916257,34.2329109400509
"chance_of_good_learning_hour",0.0242532813099206,-9.16934458506781
"weight_learning_hour_to_interest_in_class",0.61790523735389,-233.609051485268
"chance_of_good_learning_material",0.515205170579046,194.781633078059
"weight_learning_material_to_interest",0.171723604792181,-64.9228813869995
"weight_learning_material_to_motivation_inter_one",0.553009543449137,209.074186619112
"weight_learning_material_to_motivation_inter_two",0.0171138643436202,6.47017273017696
"chance_of_good_trainer",0.181353556404899,-68.5636400763576
"weight_good_trainer_to_interest",0.112003630057625,-42.3447807186705
"weight_good_trainer_to_motivation_inter_one",0.00126248221103727,0.477301783523365
"weight_good_trainer_to_motivation_inter_two",0.182939021246954,69.1630506583134
"weight_good_trainer_to_successful_ch1",0.0858025860597864,-32.4390530014716
"weight_good_trainer_to_successful_ch2",0.208421013886204,78.7969293998209
"weight_good_trainer_to_successful_ch3",0.620443654424405,-234.56874104326
"weight_good_trainer_to_successful_ch4",0.448636375112553,169.614225153116
"chance_of_good_facility",0.167505602179277,-63.3281973966475
"weight_good_facility_to_motivation",0.494409583874434,-186.919525765378
