"","VIP","Coefficient"
"var_CV",0.411362042406114,746.258025969741
"total_egg_serving_all_athletes",0.185049853719045,-335.701703868026
"total_dairy_serving_all_athletes",0.229904932832163,417.073972922995
"total_sandwich_serving_all_athletes",0.369601220098119,-670.49909440631
"total_vegetable_mushroom_serving_all_athletes",0.452131721029245,820.21890896896
"total_bean_nut_serving_all_athletes",0.313950037645653,569.541453013479
"total_fruit_serving_all_athletes",0.090722871229931,164.581715897638
"total_sports_drink_serving_all_athletes",0.199694120841463,-362.268087607827
"total_chicken_serving_all_athletes",10.2801391925093,18649.3540717167
"total_pork_serving_all_athletes",0.0855560628868125,-155.208531701676
"total_beef_serving_all_athletes",0.134282662711722,243.604184311879
"total_fish_serving_all_athletes",0.13303152097798,241.334469403403
"total_prawn_serving_all_athletes",0.56771343610985,1029.89742483236
"total_rice_noodle_serving_all_athletes",0.0938837078763546,-170.315836873837
"total_fat_oil_serving_all_athletes",0.197651223673943,358.562037339855
"total_prawn_serving_per_person",0.287522317521789,521.59853116498
"total_beef_serving_per_person",0.117150554019122,212.524570016749
"total_pork_serving_per_person",0.536793109607248,973.804398642565
"total_dairy_serving_per_person",0.108716073670924,197.223453224567
"total_egg_serving_per_person",0.241766054088501,-438.591410173086
"prior_knowledge_ch_1",0.0074777787000529,13.5655500412721
"prior_knowledge_ch_2",0.476184704363613,863.853785334309
"prior_knowledge_ch_3",0.472195468832636,856.616853567191
"prior_knowledge_ch_4",0.17709123951576,-321.263862957719
"weight_contribution_ch_1",0.23849802825486,432.662835691186
"weight_contribution_ch_2",0.188757813160027,-342.42836847864
"weight_contribution_ch_3",0.38558477084888,699.495092582229
"weight_contribution_ch_4",0.274401086921175,497.795110730186
"chance_of_good_learning_hour",0.122021454327095,-221.360943025941
"weight_learning_hour_to_interest_in_class",0.503941055999715,-914.20699745598
"chance_of_good_learning_material",0.352273197357679,-639.064069510472
"weight_learning_material_to_interest",0.368587512212277,-668.660111788047
"weight_learning_material_to_motivation_inter_one",0.130205104037746,236.207024211694
"weight_learning_material_to_motivation_inter_two",0.0337172040036256,61.1668834435724
"chance_of_good_trainer",0.230786766403813,-418.673720377973
"weight_good_trainer_to_interest",0.160499746798973,-291.164988179921
"weight_good_trainer_to_motivation_inter_one",0.0222294739219875,-40.3268207011452
"weight_good_trainer_to_motivation_inter_two",0.284575158899539,516.252046684312
"weight_good_trainer_to_successful_ch1",0.392908291664518,-712.780801091111
"weight_good_trainer_to_successful_ch2",0.10992757911548,-199.421263348752
"weight_good_trainer_to_successful_ch3",0.570244505558367,-1034.4890757275
"weight_good_trainer_to_successful_ch4",0.0334547867372465,-60.6908283606994
"chance_of_good_facility",0.204301482456062,-370.626371136683
"weight_good_facility_to_motivation",0.181937936727411,-330.056328768333
"chance_athletes_understand_nutrition_importance",0.206814399277951,375.185091080702
"weight_understand_nutrition_importance_to_motivation",0.723683742112534,-1312.84548680388
"weight_understand_nutrition_importance_to_persistence",0.322771744009053,585.545042304141
"weight_understand_nutrition_importance_to_interest",0.102659580724354,186.236278899559
"weight_motivation_to_learning_success",0.125203252919346,227.133091381191
"weight_persistence_to_learning_success",0.0811078410395786,147.138946001995
"weight_interest_to_learning_success",0.0806121774458742,146.239755272536
"weight_knowledge_to_learning_success",0.550893138399563,-999.383471498008
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.229324765261136,-416.021482265972
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0419303042439902,-76.0663912752045
"weight_persistence_to_maintain_good_nutrition_inter_one",0.278738896173,505.664395291216
"weight_interest_to_maintain_good_nutrition_inter_one",0.802275692813056,1455.42031855995
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.42920553612638,-778.628174470081
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.317575603543643,576.118646266974
"weight_motivation_to_maintain_good_nutrition_inter_two",0.791548055715586,1435.95915185421
"weight_interest_to_maintain_good_nutrition_inter_two",0.51162132119688,-928.139881276367
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.275711430775391,500.172225089764
"chance_good_nutritionist_inter_one",0.23187344561322,-420.645081364347
"chance_good_nutrition_team_inter_two",0.466366335293501,-846.04213533946
"weight_good_nutritionist_to_maintain_good_nutrition",0.418022826659002,-758.341454180317
"weight_good_nutrition_team_to_maintain_good_nutrition",0.21067710735713,-382.192487507471
"chance_good_support",0.506705310822764,-919.221673422339
"weight_good_support_to_maintain_good_nutrition_inter_one",0.452960310468905,821.722065448743
"weight_good_support_to_maintain_good_nutrition_inter_two",0.561403198107639,-1018.44992781152
"chance_good_kitchen_staff",0.089285973451008,161.975018172813
"chance_regular_audit",0.241638534719329,-438.360075380613
"weight_good_kitchen_staff_to_good_food_safety",0.318950560917348,-578.612976977439
"weight_regular_audit_to_good_food_safety",0.470482984041648,853.510209327118
"chance_tasty_food_conditional_on_good_kitchen_staff",0.248945928816145,-451.616528167983
"weight_good_food_safety_to_maintain_good_nutrition",0.106255725693422,192.760099206412
"weight_tasty_food_to_maintain_good_nutrition",0.0679912099097838,123.34386953592
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.140362557845826,-254.633812894868
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.276245139354262,501.140433795121
"chance_athletes_good_health",0.113468465878656,205.844838918862
"weight_good_health_to_maintain_good_nutrition",0.275344497737689,499.5065663849
"total_main_meals_all_athletes",0.316999140764898,-575.072876528971
"total_snack_time_all_athletes",0.135281514124183,245.41621557986
"pork_restriction",0.0129647090825914,-23.5194724108624
"beef_restriction",0.0842614551714919,-152.859964506732
"prawn_restriction",0.455896663627984,-827.048947577263
"egg_restriction",0.280692756193537,509.208921940827
"dairy_restriction",0.5406237892423,980.75369179041
"percent_athlete_with_dietary_restriction",0.526184573677292,-954.559295143924
"number_athlete",0.020536963251123,37.2564118107567
"chance_good_water_intake_current",0.0336022100345075,-60.9582711664393
"weight_current_good_water_intake_to_maintain_good_water_intake",0.166448585456974,301.956865251918
"weight_good_learning_outcome_to_maintain_good_water_intake",0.277805325987616,503.970791672434
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.433977507254969,-787.285078577168
"weight_good_water_intake_to_nutrition_outcome",0.141693619542021,257.048511801059
"weight_good_carb_intake_to_nutrition_outcome",0.169630758798447,307.729693445329
"weight_good_protein_intake_to_nutrition_outcome",0.618864040830915,-1122.69050093396
"weight_good_fat_intake_to_nutrition_outcome",0.355897791189042,645.639499323376
"weight_vegetable_intake_to_nutrition_outcome",0.0636879872080399,115.537328952039
"weight_fruit_intake_to_nutrition_outcome",0.164385394088709,-298.213998971224
"chance_good_rest",0.0573271794497929,-103.998092581377
"chance_enough_recovery_time",0.486168590946556,881.965703121652
"chance_personal_problem",0.0492723151633039,-89.3856429573666
"chance_good_team_relationship",0.552684543490066,-1002.63328623233
"weight_good_rest_to_mental_health",0.383430670493575,-695.587306950167
"weight_recovery_time_to_mental_health",0.288401544530826,523.193550015784
"weight_personal_problem_to_mental_health",0.26118590831289,-473.821257811301
"weight_nutrition_outcome_to_mental_health",0.123596070836228,224.217478356455
"weight_team_relationship_to_mental_health",0.295303819147759,535.715069503107
"forty_dash_current_sec",0.102853714183442,-186.588459307616
"percent_increment_40_dash_if_optimal_training",0.62594393808651,1135.53424830337
"percent_increment_40_dash_current",0.794734644908213,1441.73999090916
"ten_dash_current_sec",0.664104233602231,-1204.76141042901
"percent_increment_10_dash_if_optimal_training",0.0553209449074208,100.358552529345
"percent_increment_10_dash_current",0.103222068282396,-187.256695980926
"shuttle_run_current",0.0441551427806108,80.1025040986643
"percent_increment_shuttle_run_if_optimal_training",0.440905196076696,799.852702353041
