"","VIP","Coefficient"
"var_CV",0.179944595470372,-11203.8993050851
"total_egg_serving_all_athletes",0.157825579080254,9826.70188654294
"total_dairy_serving_all_athletes",10.2585947397792,638731.394936984
"total_sandwich_serving_all_athletes",0.414518983179173,25809.2160836827
"total_vegetable_mushroom_serving_all_athletes",0.0350675842457885,2183.41474349582
"total_bean_nut_serving_all_athletes",0.0347384676200476,-2162.92293864449
"total_fruit_serving_all_athletes",0.0089609938064416,-557.938803432378
"total_sports_drink_serving_all_athletes",0.381157279477404,-23732.0146654148
"total_chicken_serving_all_athletes",0.294563747585078,-18340.4372787351
"total_pork_serving_all_athletes",0.241812242476198,-15055.9676902673
"total_beef_serving_all_athletes",0.396865066557738,24710.0293943026
"total_fish_serving_all_athletes",0.258268150353235,-16080.5627015603
"total_prawn_serving_all_athletes",0.248931839093465,-15499.2554888487
"total_rice_noodle_serving_all_athletes",0.051225708358476,3189.46882944599
"total_fat_oil_serving_all_athletes",0.329538494346723,-20518.0716773344
"total_prawn_serving_per_person",0.387805304176447,-24145.9409581778
"total_beef_serving_per_person",0.415509752079827,25870.9043770628
"total_pork_serving_per_person",0.115418323071293,-7186.29679470123
"total_dairy_serving_per_person",0.209307262752401,-13032.108519686
"total_egg_serving_per_person",0.150681585490367,9381.89505804084
"prior_knowledge_ch_1",0.610558911210346,38015.2598811971
"prior_knowledge_ch_2",0.513240984806274,-31955.9489851918
"prior_knowledge_ch_3",0.244110570935259,15199.0686295204
"prior_knowledge_ch_4",0.168812919245403,10510.8071941753
"weight_contribution_ch_1",0.128935870624527,-8027.94053088704
"weight_contribution_ch_2",0.105875097478419,-6592.10646456778
"weight_contribution_ch_3",0.317659927093331,-19778.475853143
"weight_contribution_ch_4",0.104398465231097,6500.16683744873
"chance_of_good_learning_hour",0.101090898314621,6294.22763388351
"weight_learning_hour_to_interest_in_class",0.42009950493442,-26156.6763875178
"chance_of_good_learning_material",0.872929276847418,-54351.2390171757
"weight_learning_material_to_interest",0.261328808784245,16271.1286298042
"weight_learning_material_to_motivation_inter_one",0.09595706799002,5974.57970083019
"weight_learning_material_to_motivation_inter_two",0.196718558033434,-12248.2973711262
"chance_of_good_trainer",0.285602596266808,17782.4886681359
"weight_good_trainer_to_interest",0.101674304473032,-6330.55228056559
"weight_good_trainer_to_motivation_inter_one",0.0346238801066409,-2155.78837059329
"weight_good_trainer_to_motivation_inter_two",0.102207565001239,6363.75470737807
"weight_good_trainer_to_successful_ch1",0.373829286192868,23275.7514547656
"weight_good_trainer_to_successful_ch2",0.190795307414891,-11879.4977230153
"weight_good_trainer_to_successful_ch3",0.0713969621899001,-4445.39261084012
"weight_good_trainer_to_successful_ch4",0.370010433328768,-23037.9780287926
"chance_of_good_facility",0.591324709168537,-36817.6798020246
"weight_good_facility_to_motivation",0.194740357301418,12125.1285604775
"chance_athletes_understand_nutrition_importance",0.245959295423813,15314.1758543773
"weight_understand_nutrition_importance_to_motivation",0.288423356660465,17958.1178129384
"weight_understand_nutrition_importance_to_persistence",0.247932874825172,-15437.0569268853
"weight_understand_nutrition_importance_to_interest",0.255260682563052,15893.3085848338
"weight_motivation_to_learning_success",0.347590105703627,-21642.0200538255
"weight_persistence_to_learning_success",0.452371286979453,28166.0159594181
"weight_interest_to_learning_success",0.186930909887589,11638.8885474102
"weight_knowledge_to_learning_success",0.105292314853728,6555.82064099676
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.213325677969819,13282.3073063975
"weight_motivation_to_maintain_good_nutrition_inter_one",0.201396597093643,-12539.5663499963
"weight_persistence_to_maintain_good_nutrition_inter_one",0.455626362270727,28368.6868743104
"weight_interest_to_maintain_good_nutrition_inter_one",0.330951415976264,20606.0444870871
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.680765729724103,-42386.5505170864
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.567243382443005,-35318.3029573883
"weight_motivation_to_maintain_good_nutrition_inter_two",0.107709236261049,-6706.30553889075
"weight_interest_to_maintain_good_nutrition_inter_two",0.484150397602528,-30144.6803060487
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.22005456020017,13701.2680356573
"chance_good_nutritionist_inter_one",0.00885983596738863,-551.64040786397
"chance_good_nutrition_team_inter_two",0.240494483734784,-14973.920012155
"weight_good_nutritionist_to_maintain_good_nutrition",0.570871971385112,35544.2299713153
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0567582431491629,-3533.94131851801
"chance_good_support",0.0122450410818848,762.413602417173
"weight_good_support_to_maintain_good_nutrition_inter_one",0.805439039355945,50149.0910007034
"weight_good_support_to_maintain_good_nutrition_inter_two",0.18938023271396,11791.3908564714
"chance_good_kitchen_staff",0.68080394014695,42388.9296145462
"chance_regular_audit",0.294901091906802,18361.4413650309
"weight_good_kitchen_staff_to_good_food_safety",0.206844195855542,-12878.7504628799
"weight_regular_audit_to_good_food_safety",0.0563846428739166,-3510.67982598321
"chance_tasty_food_conditional_on_good_kitchen_staff",0.613609617272937,38205.2061446309
"weight_good_food_safety_to_maintain_good_nutrition",0.446377627401275,27792.8324347486
"weight_tasty_food_to_maintain_good_nutrition",0.0197898296912821,-1232.17515116988
