"","VIP","Coefficient"
"var_CV",0.180110933939008,-2803.54410687946
"total_egg_serving_all_athletes",0.157800698094949,2456.27074120537
"total_dairy_serving_all_athletes",10.2586074869923,159681.913451662
"total_sandwich_serving_all_athletes",0.414371873495244,6449.96835332378
"total_vegetable_mushroom_serving_all_athletes",0.0349932147301214,544.692200478074
"total_bean_nut_serving_all_athletes",0.0349579318715466,-544.142999782325
"total_fruit_serving_all_athletes",0.00879984696737451,-136.975354950845
"total_sports_drink_serving_all_athletes",0.381139731188087,-5932.68839320899
"total_chicken_serving_all_athletes",0.294705609887517,-4587.28494597809
"total_pork_serving_all_athletes",0.241615559033962,-3760.90369332844
"total_beef_serving_all_athletes",0.396817739230432,6176.72680938647
"total_fish_serving_all_athletes",0.258338975849725,-4021.21457859984
"total_prawn_serving_all_athletes",0.24910341904533,-3877.45711598249
"total_rice_noodle_serving_all_athletes",0.0512004235004432,796.967970989528
"total_fat_oil_serving_all_athletes",0.329578359453007,-5130.10202763355
"total_prawn_serving_per_person",0.387794243128308,-6036.27020984918
"total_beef_serving_per_person",0.415744904363082,6471.34047390473
"total_pork_serving_per_person",0.115284589528357,-1794.47979374585
"total_dairy_serving_per_person",0.209309173389219,-3258.03373919471
"total_egg_serving_per_person",0.150875571784221,2348.476635466
"prior_knowledge_ch_1",0.610680894769815,9505.64624963611
"prior_knowledge_ch_2",0.513171974182962,-7987.85633149587
"prior_knowledge_ch_3",0.243799729953478,3794.90173762207
"prior_knowledge_ch_4",0.168995121597374,2630.51924102585
"weight_contribution_ch_1",0.128721957163962,-2003.64118124678
"weight_contribution_ch_2",0.105681364207323,-1644.99933097207
"weight_contribution_ch_3",0.317675536895463,-4944.826834692
"weight_contribution_ch_4",0.104495011950227,1626.53298466912
"chance_of_good_learning_hour",0.101265394359401,1576.26188137618
"weight_learning_hour_to_interest_in_class",0.420105297580862,-6539.21283702025
"chance_of_good_learning_material",0.872779917677776,-13585.3884119932
"weight_learning_material_to_interest",0.261545842919069,4071.1315551941
"weight_learning_material_to_motivation_inter_one",0.0958183615156193,1491.47526406658
"weight_learning_material_to_motivation_inter_two",0.196691550450757,-3061.63221232276
"chance_of_good_trainer",0.285506975063199,4444.10219805127
"weight_good_trainer_to_interest",0.10163089931887,-1581.95120435478
"weight_good_trainer_to_motivation_inter_one",0.0344951923290274,-536.940157128203
"weight_good_trainer_to_motivation_inter_two",0.102267197372549,1591.85559838348
"weight_good_trainer_to_successful_ch1",0.373827077363954,5818.8621690818
"weight_good_trainer_to_successful_ch2",0.190587829803515,-2966.62382123635
"weight_good_trainer_to_successful_ch3",0.0712541999197315,-1109.11807465848
"weight_good_trainer_to_successful_ch4",0.370007452010905,-5759.4072103248
"chance_of_good_facility",0.591258350294624,-9203.32168269746
"weight_good_facility_to_motivation",0.19469579179537,3030.56692775231
"chance_athletes_understand_nutrition_importance",0.246010701492289,3829.31695102722
"weight_understand_nutrition_importance_to_motivation",0.288689647845006,4493.64257478699
"weight_understand_nutrition_importance_to_persistence",0.247799712831034,-3857.1640788289
"weight_understand_nutrition_importance_to_interest",0.255140554026938,3971.42905777396
"weight_motivation_to_learning_success",0.347576656638739,-5410.25725699909
"weight_persistence_to_learning_success",0.452147233115766,7037.9664527908
"weight_interest_to_learning_success",0.186864591223046,2908.66918543221
"weight_knowledge_to_learning_success",0.105113480107952,1636.15984474343
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.213526005275279,3323.67147658974
"weight_motivation_to_maintain_good_nutrition_inter_one",0.201464493149903,-3135.92617707004
"weight_persistence_to_maintain_good_nutrition_inter_one",0.455643900181246,7092.39435525488
"weight_interest_to_maintain_good_nutrition_inter_one",0.331047660020269,5152.97264884735
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.68080402493454,-10597.1584861771
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.567212631936914,-8829.03440028146
"weight_motivation_to_maintain_good_nutrition_inter_two",0.10798351501692,-1680.83380916971
"weight_interest_to_maintain_good_nutrition_inter_two",0.483984929453149,-7533.54095230183
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.219811871460242,3421.51508171732
"chance_good_nutritionist_inter_one",0.00881074612167552,-137.14500739305
"chance_good_nutrition_team_inter_two",0.240726362083861,-3747.06276310399
"weight_good_nutritionist_to_maintain_good_nutrition",0.570789039243918,8884.70351159008
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0568233759845222,-884.492892188045
"chance_good_support",0.0127347216331698,198.224244395478
"weight_good_support_to_maintain_good_nutrition_inter_one",0.80532261586692,12535.3715317195
"weight_good_support_to_maintain_good_nutrition_inter_two",0.18932041958944,2946.89575498874
"chance_good_kitchen_staff",0.680783498821072,10596.8389838394
"chance_regular_audit",0.294999337527917,4591.85700819142
"weight_good_kitchen_staff_to_good_food_safety",0.206910585537369,-3220.69815556398
"weight_regular_audit_to_good_food_safety",0.0563529387658214,-877.170230185791
"chance_tasty_food_conditional_on_good_kitchen_staff",0.613482022229176,9549.24762468628
"weight_good_food_safety_to_maintain_good_nutrition",0.446184459416466,6945.15199283698
"weight_tasty_food_to_maintain_good_nutrition",0.0197627102627469,-307.619469186988
