"","VIP","Coefficient"
"var_CV",0.0820863609226064,16.5991614536911
"total_egg_serving_all_athletes",0.0567376267661419,-11.4732461837164
"total_dairy_serving_all_athletes",0.237497094562113,-48.025671659826
"total_sandwich_serving_all_athletes",0.114770788731131,-23.2084700905636
"total_vegetable_mushroom_serving_all_athletes",0.154501869938347,-31.2427235801304
"total_bean_nut_serving_all_athletes",0.28990686829181,58.623757457671
"total_fruit_serving_all_athletes",0.0101600082289376,2.05451447801386
"total_sports_drink_serving_all_athletes",0.201557500405963,-40.7581168642061
"total_chicken_serving_all_athletes",0.255849552797894,-51.7368292005419
"total_pork_serving_all_athletes",0.348813360164115,-70.5355824949733
"total_beef_serving_all_athletes",0.137287728981839,-27.761751810739
"total_fish_serving_all_athletes",0.114828367974813,23.2201135250089
"total_prawn_serving_all_athletes",0.327899289756607,66.3064264275555
"total_rice_noodle_serving_all_athletes",0.00544764103254341,-1.10159924285348
"total_fat_oil_serving_all_athletes",0.314699280719442,-63.6371756685328
"total_prawn_serving_per_person",0.24620312758604,49.7861693376507
"total_beef_serving_per_person",0.113226943347728,-22.8962801178249
"total_pork_serving_per_person",0.386738977054473,-78.2047425225136
"total_dairy_serving_per_person",6.15941740974182,1245.53169242545
"total_egg_serving_per_person",0.139921424282509,-28.2943266870557
"prior_knowledge_ch_1",0.860493585345188,-174.00542297736
"prior_knowledge_ch_2",0.0520362028864431,10.5225438604042
"prior_knowledge_ch_3",0.645091406195629,-130.447692935562
"prior_knowledge_ch_4",0.238740092450995,48.2770255073135
"weight_contribution_ch_1",0.173014691116721,34.9863090460871
"weight_contribution_ch_2",0.0489264901216643,-9.8937107183694
"weight_contribution_ch_3",0.882413841483776,178.438045725659
"weight_contribution_ch_4",0.444514791976182,89.8879267838823
"chance_of_good_learning_hour",0.272866421166556,-55.1779093302109
"weight_learning_hour_to_interest_in_class",0.229156422305934,46.3390557122245
"chance_of_good_learning_material",0.0826421976686869,16.7115604416154
"weight_learning_material_to_interest",0.271555460664643,-54.9128123666462
"weight_learning_material_to_motivation_inter_one",0.606740674177908,-122.692567900484
"weight_learning_material_to_motivation_inter_two",0.100558553116564,-20.3345310959172
"chance_of_good_trainer",0.0850629125070154,17.2010672973602
"weight_good_trainer_to_interest",0.176536793799056,-35.6985339568207
"weight_good_trainer_to_motivation_inter_one",0.139069667262975,28.1220879359691
"weight_good_trainer_to_motivation_inter_two",0.25412335761776,-51.3877652126445
"weight_good_trainer_to_successful_ch1",0.281655900689096,56.9552812108589
"weight_good_trainer_to_successful_ch2",0.225720359325227,45.6442293910092
"weight_good_trainer_to_successful_ch3",0.509685294482879,103.066433919151
"weight_good_trainer_to_successful_ch4",0.129775976870011,26.2427566365967
"chance_of_good_facility",0.205746808885233,41.6052613477127
"weight_good_facility_to_motivation",0.349524961283718,-70.6794795046854
"chance_athletes_understand_nutrition_importance",0.106719713111045,21.5804151665587
"weight_understand_nutrition_importance_to_motivation",0.566718697661274,-114.599490775018
"weight_understand_nutrition_importance_to_persistence",0.296622183746014,-59.9817005335238
"weight_understand_nutrition_importance_to_interest",0.0672739731816125,13.603862199784
"weight_motivation_to_learning_success",0.0407950382067312,8.24940243533857
"weight_persistence_to_learning_success",0.697903179250746,-141.127069359912
"weight_interest_to_learning_success",0.10415029717506,21.0608385952048
"weight_knowledge_to_learning_success",0.155562151540449,-31.4571293023705
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0696769227532799,14.0897766374187
"weight_motivation_to_maintain_good_nutrition_inter_one",0.201776322211893,40.8023660969094
"weight_persistence_to_maintain_good_nutrition_inter_one",0.504746187680932,102.06766834688
"weight_interest_to_maintain_good_nutrition_inter_one",0.0137636729914507,-2.78323253233631
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.769503975761841,-155.605883722522
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.120745758664793,24.4167035838636
"weight_motivation_to_maintain_good_nutrition_inter_two",0.352881691650885,71.3582635157546
"weight_interest_to_maintain_good_nutrition_inter_two",0.535750990357341,-108.337330196682
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.090171897863176,-18.2341850021566
"chance_good_nutritionist_inter_one",0.386984649226745,78.2544213242827
"chance_good_nutrition_team_inter_two",0.475947779927347,-96.2441744736202
"weight_good_nutritionist_to_maintain_good_nutrition",0.553690077137787,111.964897486224
"weight_good_nutrition_team_to_maintain_good_nutrition",0.103496129130016,20.9285554622276
"chance_good_support",0.329663303622513,66.6631379523159
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0858699158894849,-17.3642561546652
"weight_good_support_to_maintain_good_nutrition_inter_two",0.812183921367226,-164.236444268463
"chance_good_kitchen_staff",0.0957579617188865,-19.3637755308315
"chance_regular_audit",0.245824039416589,49.7095117095237
"weight_good_kitchen_staff_to_good_food_safety",0.392655014692277,-79.4010589728018
"weight_regular_audit_to_good_food_safety",0.732541982809862,-148.131583707705
"chance_tasty_food_conditional_on_good_kitchen_staff",0.463256529360617,-93.6778027300242
"weight_good_food_safety_to_maintain_good_nutrition",0.170505553806606,-34.478921766983
"weight_tasty_food_to_maintain_good_nutrition",0.14883989447524,30.0977825228998
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.188263172543361,38.0697933457876
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.156745542277868,31.6964296403614
"chance_athletes_good_health",0.76206836408828,154.102285350159
"weight_good_health_to_maintain_good_nutrition",0.466226441693579,94.2783660119636
"total_main_meals_all_athletes",0.0750179214993803,-15.1698111220034
"total_snack_time_all_athletes",0.269442711280104,-54.4855810001805
"pork_restriction",0.424240179871396,-85.788079306716
"beef_restriction",4.26812843614784,-863.083126361337
"prawn_restriction",1.33206566008464,-269.364760602674
"egg_restriction",0.0229823091897641,-4.64738668558131
"dairy_restriction",4.19767150169459,848.835619012043
"percent_athlete_with_dietary_restriction",4.16220887494553,841.664514575649
"number_athlete",3.64578348294183,737.235126254519
"chance_good_water_intake_current",0.155556433566561,-31.4559730375453
"weight_current_good_water_intake_to_maintain_good_water_intake",0.0101827393110875,2.05911106261552
"weight_good_learning_outcome_to_maintain_good_water_intake",0.10882736914822,22.0066165775691
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.107158296492829,-21.6691036683185
"weight_good_water_intake_to_nutrition_outcome",0.36102210117831,-73.0043831698138
"weight_good_carb_intake_to_nutrition_outcome",0.574840212217885,116.241789566907
"weight_good_protein_intake_to_nutrition_outcome",0.415319722854604,83.984221703599
"weight_good_fat_intake_to_nutrition_outcome",0.332986484223808,-67.3351376696949
"weight_vegetable_intake_to_nutrition_outcome",0.230478641298528,46.6064293208062
"weight_fruit_intake_to_nutrition_outcome",0.0416006807437922,8.41231610816229
"chance_good_rest",0.260331398064161,-52.6431292526951
"chance_enough_recovery_time",0.633095863110532,-128.022004256514
"chance_personal_problem",0.454440274656572,-91.8950164838744
"chance_good_team_relationship",0.454671494543443,-91.9417728047825
"weight_good_rest_to_mental_health",0.107770176415946,21.7928354736993
"weight_recovery_time_to_mental_health",0.0473586105813744,9.57666065869202
"weight_personal_problem_to_mental_health",0.0168826035564169,-3.41392965946974
"weight_nutrition_outcome_to_mental_health",0.145490940606309,-29.4205710428614
"weight_team_relationship_to_mental_health",0.241555857729317,48.8464178149422
"forty_dash_current_sec",0.413558333562356,83.6280409091746
"percent_increment_40_dash_if_optimal_training",0.37281158815766,-75.3884040427933
"percent_increment_40_dash_current",0.203180280647758,41.0862687147044
"ten_dash_current_sec",0.385071577192372,-77.8675678785434
"percent_increment_10_dash_if_optimal_training",0.173371526413063,-35.0584667910497
"percent_increment_10_dash_current",0.103272444193131,-20.8833228274709
"shuttle_run_current",0.0767441079863368,15.5188733520027
"percent_increment_shuttle_run_if_optimal_training",0.0630863124561708,-12.7570509181824
"percent_increment_shuttle_run_current",0.367048820826105,-74.2230812744136
"weight_nutrition_outcome_to_sports_performance",0.150708461125713,30.4756362755765
"weight_water_intake_to_sports_performance",0.0528496509579613,10.6870359358424
"weight_mental_health_to_sports_performance",0.112069094209494,-22.6621446954656
