"","VIP","Coefficient"
"var_CV",0.114291817984469,23.3227040865976
"total_egg_serving_all_athletes",0.295032438295869,-60.2051343277869
"total_dairy_serving_all_athletes",0.182627453958926,37.2674627273105
"total_sandwich_serving_all_athletes",0.204947169105172,41.8220854538804
"total_vegetable_mushroom_serving_all_athletes",0.333805195128138,-68.1172101891007
"total_bean_nut_serving_all_athletes",0.468600613837377,-95.6239356767627
"total_fruit_serving_all_athletes",0.549524289056067,112.137444377638
"total_sports_drink_serving_all_athletes",0.0208978618833268,4.26447542214833
"total_chicken_serving_all_athletes",0.267075461455286,-54.500156408043
"total_pork_serving_all_athletes",0.534482721399593,109.068020532284
"total_beef_serving_all_athletes",0.271151966123664,55.3320192112153
"total_fish_serving_all_athletes",0.196922582199519,-40.1845660835685
"total_prawn_serving_all_athletes",0.570454230796225,116.408466103986
"total_rice_noodle_serving_all_athletes",0.401997954970832,82.032813131699
"total_fat_oil_serving_all_athletes",0.200540234024089,40.9227941079424
"total_prawn_serving_per_person",0.325453967843448,66.4130356807628
"total_beef_serving_per_person",0.403543422980982,-82.3481856029019
"total_pork_serving_per_person",0.0953756587756832,19.4626203862803
"total_dairy_serving_per_person",6.14767814203528,1254.51218341646
"total_egg_serving_per_person",0.0321982752209849,-6.57046898300195
"prior_knowledge_ch_1",0.0823399490979826,16.8025174608625
"prior_knowledge_ch_2",0.15555746167752,-31.7434853268328
"prior_knowledge_ch_3",0.226966470982269,46.315405018915
"prior_knowledge_ch_4",0.00949448017257933,-1.93746985065218
"weight_contribution_ch_1",0.511851330902461,104.44979647267
"weight_contribution_ch_2",0.148994397296757,-30.4042082801187
"weight_contribution_ch_3",0.102204223367873,20.8560761395303
"weight_contribution_ch_4",0.533242764202226,-108.814991441451
"chance_of_good_learning_hour",0.25547652863502,52.1332461369669
"weight_learning_hour_to_interest_in_class",0.316718757684404,64.6305045664068
"chance_of_good_learning_material",0.405172634930293,-82.6806470936561
"weight_learning_material_to_interest",0.736422554804485,150.276420755991
"weight_learning_material_to_motivation_inter_one",0.0229539985201473,-4.68405634393131
"weight_learning_material_to_motivation_inter_two",0.524051525335146,-106.939401849243
"chance_of_good_trainer",0.0672695434798487,-13.7272088613922
"weight_good_trainer_to_interest",0.226664546384946,46.253793451578
"weight_good_trainer_to_motivation_inter_one",0.10898870359259,22.2405359149793
"weight_good_trainer_to_motivation_inter_two",0.0671393004875949,13.7006311166222
"weight_good_trainer_to_successful_ch1",0.0270673856929598,5.52344549283915
"weight_good_trainer_to_successful_ch2",0.522332682714362,106.588650076081
"weight_good_trainer_to_successful_ch3",0.276581619160619,-56.4400092082858
"weight_good_trainer_to_successful_ch4",0.115038584548715,-23.4750913344935
"chance_of_good_facility",0.165909261188635,33.8559021298829
"weight_good_facility_to_motivation",0.251733904616529,-51.3695159414903
"chance_athletes_understand_nutrition_importance",0.158555808937195,-32.3553363509872
"weight_understand_nutrition_importance_to_motivation",0.39693856992023,81.0003810427161
"weight_understand_nutrition_importance_to_persistence",0.321576474496568,65.6217836775851
"weight_understand_nutrition_importance_to_interest",0.442026837134126,90.2012173978613
"weight_motivation_to_learning_success",0.334640089151404,68.2875809697191
"weight_persistence_to_learning_success",0.636799001284317,129.946963234177
"weight_interest_to_learning_success",0.0966823937247343,-19.7292763295822
"weight_knowledge_to_learning_success",0.0971468453687701,19.8240536150205
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.162908029809996,33.2434625644458
"weight_motivation_to_maintain_good_nutrition_inter_one",0.00613571868851885,-1.25207170429626
"weight_persistence_to_maintain_good_nutrition_inter_one",0.572867029927302,116.900828559557
"weight_interest_to_maintain_good_nutrition_inter_one",0.331592054403281,-67.6655905794202
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.242335193000435,49.4515888870164
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.63238544246867,129.046320230667
"weight_motivation_to_maintain_good_nutrition_inter_two",0.131550702988455,26.8445998347891
"weight_interest_to_maintain_good_nutrition_inter_two",0.312576476378052,-63.7852192007946
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.149111771055123,-30.4281598934728
"chance_good_nutritionist_inter_one",0.565157577229706,115.327616346238
"chance_good_nutrition_team_inter_two",0.0280913102589958,5.73239036817484
"weight_good_nutritionist_to_maintain_good_nutrition",0.458325191193243,93.5271045481649
"weight_good_nutrition_team_to_maintain_good_nutrition",0.330024013484501,-67.345611818129
"chance_good_support",0.179705883634981,36.6712790167425
"weight_good_support_to_maintain_good_nutrition_inter_one",0.872496907846661,-178.044129116437
"weight_good_support_to_maintain_good_nutrition_inter_two",0.487810443180565,99.5439465159121
