"","VIP","Coefficient"
"var_CV",0.446192674615829,-14345.1933827625
"total_egg_serving_all_athletes",10.2531594603953,329641.349155519
"total_dairy_serving_all_athletes",0.157626975651394,5067.74220353598
"total_sandwich_serving_all_athletes",0.0266554622337965,856.97901871643
"total_vegetable_mushroom_serving_all_athletes",0.469529238436404,15095.4690818953
"total_bean_nut_serving_all_athletes",0.383075454522315,12315.9607674951
"total_fruit_serving_all_athletes",0.177888992652685,-5719.17054098818
"total_sports_drink_serving_all_athletes",0.275066228713112,-8843.44021863234
"total_chicken_serving_all_athletes",0.0796355698090553,2560.3012197387
"total_pork_serving_all_athletes",0.0474410208860177,-1525.23933628348
"total_beef_serving_all_athletes",0.447517343772581,14387.7817897509
"total_fish_serving_all_athletes",0.0512339385263909,1647.18247908135
"total_prawn_serving_all_athletes",0.629796444929837,20248.0952921819
"total_rice_noodle_serving_all_athletes",0.0647451271552528,2081.57018811061
"total_fat_oil_serving_all_athletes",0.195100767437244,-6272.53291511869
"total_prawn_serving_per_person",0.0530775166998754,-1706.45392596839
"total_beef_serving_per_person",0.0559709339209643,-1799.47793092157
"total_pork_serving_per_person",0.206284866875899,6632.1041909082
"total_dairy_serving_per_person",0.436730578164717,14040.9848846861
"total_egg_serving_per_person",0.417774951416613,-13431.5572834214
"prior_knowledge_ch_1",0.108946262975789,3502.64650145276
"prior_knowledge_ch_2",0.54767433200322,-17607.8511600977
"prior_knowledge_ch_3",0.264324485384512,8498.09078982462
"prior_knowledge_ch_4",0.0532450022553387,-1711.83862369793
"weight_contribution_ch_1",0.446015567707896,14339.4993564186
"weight_contribution_ch_2",0.0460016144548953,-1478.96210049376
"weight_contribution_ch_3",0.0248001306080527,797.329695734232
"weight_contribution_ch_4",0.282099109302652,9069.54888834928
"chance_of_good_learning_hour",0.456591239493952,-14679.5095483255
"weight_learning_hour_to_interest_in_class",0.119995250283303,3857.87389227995
"chance_of_good_learning_material",0.677562882029504,-21783.7968318592
"weight_learning_material_to_interest",0.401565032091681,12910.4047843685
"weight_learning_material_to_motivation_inter_one",0.291825949540001,-9382.26895783082
"weight_learning_material_to_motivation_inter_two",0.105168985985544,-3381.20620902311
"chance_of_good_trainer",0.00116385653513356,37.418245560974
"weight_good_trainer_to_interest",0.0424198302297446,-1363.80694379076
"weight_good_trainer_to_motivation_inter_one",0.364970133530171,-11733.8706847457
"weight_good_trainer_to_motivation_inter_two",0.0205282942766971,659.989210874035
"weight_good_trainer_to_successful_ch1",0.254794581108191,-8191.70225513892
"weight_good_trainer_to_successful_ch2",0.44001158090016,-14146.46984983
"weight_good_trainer_to_successful_ch3",0.114248504956411,3673.11475631535
"weight_good_trainer_to_successful_ch4",0.229262875002674,-7370.85224501528
"chance_of_good_facility",0.535783098439132,-17225.5453654468
"weight_good_facility_to_motivation",0.215896371121659,-6941.11618269712
"chance_athletes_understand_nutrition_importance",0.577846083112345,-18577.879645504
"weight_understand_nutrition_importance_to_motivation",0.663805710851458,-21341.5007293543
"weight_understand_nutrition_importance_to_persistence",0.162445142048307,-5222.64732109211
"weight_understand_nutrition_importance_to_interest",0.0693974615402341,-2231.14376972822
"weight_motivation_to_learning_success",0.019386327947605,-623.274740289024
"weight_persistence_to_learning_success",0.0785782247413533,2526.30734146278
"weight_interest_to_learning_success",0.281354146782327,-9045.59817820783
"weight_knowledge_to_learning_success",0.16881533112319,-5427.45031173428
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.367028721438966,-11800.0547422776
"weight_motivation_to_maintain_good_nutrition_inter_one",0.361713489262083,-11629.168849726
"weight_persistence_to_maintain_good_nutrition_inter_one",0.111726194602754,-3592.021919402
"weight_interest_to_maintain_good_nutrition_inter_one",0.299513357597904,9629.42083072468
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.191109557699151,-6144.21463742978
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0867689443862728,2789.64079343289
"weight_motivation_to_maintain_good_nutrition_inter_two",0.647649766935357,-20822.0835516584
"weight_interest_to_maintain_good_nutrition_inter_two",0.465503423644209,-14966.0382440471
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.417422001297566,-13420.2098588664
"chance_good_nutritionist_inter_one",0.484551674554248,15578.4437326472
"chance_good_nutrition_team_inter_two",0.245560896787648,-7894.83725768548
"weight_good_nutritionist_to_maintain_good_nutrition",0.0549879817428425,-1767.87580053405
"weight_good_nutrition_team_to_maintain_good_nutrition",0.307167304613953,9875.49692370663
"chance_good_support",0.101825212614743,3273.70315404001
"weight_good_support_to_maintain_good_nutrition_inter_one",0.226467463051316,7280.97913120579
"weight_good_support_to_maintain_good_nutrition_inter_two",0.503357720629191,-16183.0622821169
"chance_good_kitchen_staff",0.3623000988496,11648.0284779805
"chance_regular_audit",0.177778980884149,5715.63363824682
"weight_good_kitchen_staff_to_good_food_safety",0.583154688607976,-18748.5524887846
"weight_regular_audit_to_good_food_safety",0.456673631104534,-14682.1584568669
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0120431072689474,387.188567923372
"weight_good_food_safety_to_maintain_good_nutrition",0.23277603723282,-7483.80118936955
"weight_tasty_food_to_maintain_good_nutrition",0.025269844081518,-812.431088013139
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.0851731391737236,-2738.33530215617
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.533455764526475,-17150.721064326
"chance_athletes_good_health",0.40712440836061,-13089.1399635912
"weight_good_health_to_maintain_good_nutrition",0.0313823993975897,-1008.95109620776
"total_main_meals_all_athletes",0.0632298968129584,-2032.85519677114
"total_snack_time_all_athletes",0.262176832734272,-8429.04328111504
"pork_restriction",0.0971275326125722,3122.67170077939
"beef_restriction",0.305973669985576,9837.12130584788
"prawn_restriction",0.223565925538415,-7187.69405707106
"egg_restriction",0.0408283779259627,-1312.64139949569
"dairy_restriction",0.43570116082984,-14007.8888892104
"percent_athlete_with_dietary_restriction",0.14853025214576,-4775.28052663778
"number_athlete",0.584689023526076,-18797.8816964705
"chance_good_water_intake_current",0.706105958933494,22701.4630805921
"weight_current_good_water_intake_to_maintain_good_water_intake",0.200818691955715,6456.36545570471
"weight_good_learning_outcome_to_maintain_good_water_intake",0.232436978098872,-7472.90036306427
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.0561760683587786,1806.07304856317
"weight_good_water_intake_to_nutrition_outcome",0.427046761690246,-13729.6480387169
"weight_good_carb_intake_to_nutrition_outcome",0.278245230411229,8945.64582781874
"weight_good_protein_intake_to_nutrition_outcome",0.505009791516614,-16236.1767273115
"weight_good_fat_intake_to_nutrition_outcome",0.210385411089939,-6763.93759623162
"weight_vegetable_intake_to_nutrition_outcome",0.369710277712884,-11886.2673708225
"weight_fruit_intake_to_nutrition_outcome",0.150185351852676,-4828.49234905037
"chance_good_rest",0.282324345701489,9076.79028849314
"chance_enough_recovery_time",0.123357376909156,-3965.96700848075
"chance_personal_problem",0.143239721627429,4605.18879788359
"chance_good_team_relationship",0.11711646890632,3765.32043295863
"weight_good_rest_to_mental_health",0.873561989606319,28085.2115815727
"weight_recovery_time_to_mental_health",0.605189477462852,-19456.9758342455
"weight_personal_problem_to_mental_health",0.191674236037255,6162.36917115479
"weight_nutrition_outcome_to_mental_health",0.313027786214343,-10063.9127060726
"weight_team_relationship_to_mental_health",0.34137746054157,-10975.361019097
"forty_dash_current_sec",0.32237378877999,10364.3887600003
"percent_increment_40_dash_if_optimal_training",0.0281916934126509,906.369191605911
"percent_increment_40_dash_current",0.502343584600623,-16150.4575840259
"ten_dash_current_sec",0.304130046696899,-9777.84840849743
