"","VIP","Coefficient"
"var_CV",0.132990852777485,-75399.7542274852
"total_egg_serving_per_year_all_athletes",9.64975917963393,5470973.79483829
"total_dairy_serving_per_year_all_athletes",0.199043524183924,-112848.609438958
"total_sandwich_serving_per_year_all_athletes",0.231997024753482,-131531.742842405
"total_vegetable_mushroom_serving_per_year_all_athletes",0.225674873587944,-127947.371179881
"total_bean_nut_serving_per_year_all_athletes",0.0304762487044969,17278.6444639132
"total_fruit_serving_per_year_all_athletes",0.417927310211735,-236945.743386147
"total_sports_drink_serving_per_year_all_athletes",0.208449278169282,-118181.243405948
"total_chicken_serving_per_year_all_athletes",0.445598442081576,252634.014410871
"total_pork_serving_per_year_all_athletes",0.155344608030398,-88073.3149794496
"total_beef_serving_per_year_all_athletes",0.106589707157976,60431.5075438904
"total_fish_serving_per_year_all_athletes",0.0571431505672319,-32397.5628290948
"total_prawn_serving_per_year_all_athletes",0.0153877995913364,8724.1812730521
"total_rice_noodle_serving_per_year_all_athletes",0.0255489123618508,14485.0692557499
"total_fat_oil_serving_per_year_all_athletes",0.261768681809309,-148410.915943958
"total_prawn_serving_per_year_per_person",0.0850090339818613,48196.2491064906
"total_beef_serving_per_year_per_person",0.0684571220502733,38812.0691755232
"total_pork_serving_per_year_per_person",0.0807440274652986,45778.1847328038
"total_dairy_serving_per_year_per_person",0.429515342408357,243515.629670487
"total_egg_serving_per_year_per_person",0.569992730468941,323159.908303764
"prior_knowledge_ch_1",0.341066042627145,-193368.90660033
"prior_knowledge_ch_2",0.1117764849081,63372.1742094867
"prior_knowledge_ch_3",0.201037081387387,-113978.865543346
"prior_knowledge_ch_4",0.0547577820261361,-31045.167547883
"weight_contribution_ch_1",0.422625955946917,239609.661439425
"weight_contribution_ch_2",0.260614779420553,-147756.705863358
"weight_contribution_ch_3",0.287882725815179,163216.389093475
"weight_contribution_ch_4",0.211057128181708,119659.775544757
"chance_of_good_learning_hour",0.204826930510317,116127.53732385
"weight_learning_hour_to_interest_in_class",0.165016455593086,-93556.811881094
"chance_of_good_learning_material",0.523364999249047,-296724.109143594
"weight_learning_material_to_interest",0.505201707072802,286426.350031227
"weight_learning_material_to_motivation_inter_one",0.0944770964461235,-53564.2091421353
"weight_learning_material_to_motivation_inter_two",0.153942129499249,-87278.1735516783
"chance_of_good_trainer",0.245484371539961,-139178.453963078
"weight_good_trainer_to_interest",0.701830646583236,-397905.999973044
"weight_good_trainer_to_motivation_inter_one",0.405781199077771,230059.451771393
"weight_good_trainer_to_motivation_inter_two",0.42616955661604,241618.721566133
"weight_good_trainer_to_successful_ch1",0.0287641539641068,16307.9647521621
"weight_good_trainer_to_successful_ch2",0.00249668693903564,1415.50774098149
"weight_good_trainer_to_successful_ch3",0.0551293365651384,31255.8220428185
"weight_good_trainer_to_successful_ch4",0.166140261077656,-94193.9583882889
"chance_of_good_facility",0.301244911479662,170792.139560537
"weight_good_facility_to_motivation",0.169163657237797,-95908.0862598382
"chance_athletes_understand_nutrition_importance",0.544921013863034,-308945.387299755
"weight_understand_nutrition_importance_to_motivation",0.0428357388961718,-24285.912282464
"weight_understand_nutrition_importance_to_persistence",0.186075691900254,105496.439371383
"weight_understand_nutrition_importance_to_interest",0.606719817780099,-343982.493458443
"weight_motivation_to_learning_success",0.260673804453735,-147790.170367887
"weight_persistence_to_learning_success",0.156245283096725,-88583.9567057157
"weight_interest_to_learning_success",0.00255531227373351,-1448.74563468174
"weight_knowledge_to_learning_success",0.153141324961124,86824.153864626
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0898407160390957,-50935.592693003
"weight_motivation_to_maintain_good_nutrition_inter_one",0.413191013760674,-234260.479092399
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0743250191153362,-42138.8994596946
"weight_interest_to_maintain_good_nutrition_inter_one",0.35787254518524,202897.42781693
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0196060655524583,11115.7458813858
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.18004969989528,102079.976459365
"weight_motivation_to_maintain_good_nutrition_inter_two",0.388372357531349,-220189.431792036
"weight_interest_to_maintain_good_nutrition_inter_two",0.404092388251626,-229101.972978162
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.0889068786207586,-50406.1494240824
"chance_good_nutritionist_inter_one",0.228604905130059,-129608.565566865
"chance_good_nutrition_team_inter_two",0.104042306695386,58987.2475456508
"weight_good_nutritionist_to_maintain_good_nutrition",0.243772755287198,-138208.045532011
"weight_good_nutrition_team_to_maintain_good_nutrition",0.489623027181518,-277593.948324947
"chance_good_support",0.0828648619310919,-46980.6012459572
"weight_good_support_to_maintain_good_nutrition_inter_one",0.334614656775146,189711.264758742
"weight_good_support_to_maintain_good_nutrition_inter_two",0.00396694025318023,-2249.07438277248
