"","VIP","Coefficient"
"var_CV",0.050693035939392,12.5201442571842
"total_egg_serving_all_athletes",0.126922280634183,-31.347210391792
"total_dairy_serving_all_athletes",0.520505184729402,128.554147106436
"total_sandwich_serving_all_athletes",0.580368458588274,-143.339152788804
"total_vegetable_mushroom_serving_all_athletes",0.631967115336473,156.082966884625
"total_bean_nut_serving_all_athletes",0.0161207151552058,-3.98148730948887
"total_fruit_serving_all_athletes",0.293710951431466,-72.5406047140939
"total_sports_drink_serving_all_athletes",0.00261208870221438,0.645132546478089
"total_chicken_serving_all_athletes",0.15200392825666,-37.541864955719
"total_pork_serving_all_athletes",0.453093815071451,111.904915963504
"total_beef_serving_all_athletes",0.0353169158833318,-8.72255672567753
"total_fish_serving_all_athletes",0.192281997899812,47.4897253075057
"total_prawn_serving_all_athletes",0.245205123547247,-60.5606561635542
"total_rice_noodle_serving_all_athletes",0.0642949311818417,15.8795345057814
"total_fat_oil_serving_all_athletes",0.285160353924035,70.4287818119076
"total_prawn_serving_per_person",0.124214082792922,30.6783408514053
"total_beef_serving_per_person",0.0379795494082079,-9.38017281076108
"total_pork_serving_per_person",0.712412381581479,-175.951304212049
"total_dairy_serving_per_person",0.572373667910637,141.36460281887
"total_egg_serving_per_person",5.62124898396813,1388.33366123456
"prior_knowledge_ch_1",0.280271960632241,-69.2214485349604
"prior_knowledge_ch_2",0.0759950436348998,18.7692232573626
"prior_knowledge_ch_3",0.550103348523141,-135.864288895703
"prior_knowledge_ch_4",0.349392565342426,86.2928258174334
"weight_contribution_ch_1",0.155909644959764,38.506497190589
"weight_contribution_ch_2",0.0504307170531945,-12.4553568512671
"weight_contribution_ch_3",0.147124849616874,-36.3368322075266
"weight_contribution_ch_4",0.921999566960743,-227.715057295272
"chance_of_good_learning_hour",0.370366574561721,91.4729776116768
"weight_learning_hour_to_interest_in_class",0.0734723593649926,18.1461717792004
"chance_of_good_learning_material",0.555248955162317,137.135148614783
"weight_learning_material_to_interest",0.112654817677476,27.8234385148112
"weight_learning_material_to_motivation_inter_one",0.10406578118645,25.7021219689559
"weight_learning_material_to_motivation_inter_two",0.15781822947873,-38.9778785758556
"chance_of_good_trainer",0.198008775956284,-48.9041224937708
"weight_good_trainer_to_interest",0.191863345006853,47.3863265957024
"weight_good_trainer_to_motivation_inter_one",0.44186633417693,-109.131957551381
"weight_good_trainer_to_motivation_inter_two",0.487867361078442,-120.493271430355
"weight_good_trainer_to_successful_ch1",0.0664197933510647,16.404332052275
"weight_good_trainer_to_successful_ch2",0.969431495784909,-239.429774716912
"weight_good_trainer_to_successful_ch3",0.0348345016446042,8.60341026406471
"weight_good_trainer_to_successful_ch4",0.184441689545752,45.5533293155395
"chance_of_good_facility",0.0955582693135963,-23.6009403383039
"weight_good_facility_to_motivation",0.661440459751318,-163.36228083727
"chance_athletes_understand_nutrition_importance",0.509362585993316,125.802152853369
"weight_understand_nutrition_importance_to_motivation",0.146447505186921,-36.1695419709553
"weight_understand_nutrition_importance_to_persistence",0.402603718568266,-99.4348936011655
"weight_understand_nutrition_importance_to_interest",0.0186951132257878,-4.61731103994446
"weight_motivation_to_learning_success",0.0459568929189428,11.3504136869029
"weight_persistence_to_learning_success",0.374210672928863,92.4223913763794
"weight_interest_to_learning_success",0.0354209012849664,-8.74823899553926
"weight_knowledge_to_learning_success",0.40667583567831,-100.440623337117
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.206017871344606,50.8822054350101
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0830841210168197,-20.5200805462829
"weight_persistence_to_maintain_good_nutrition_inter_one",0.122828201320453,-30.3360564402012
"weight_interest_to_maintain_good_nutrition_inter_one",0.397085113191889,98.0719108140756
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.509088169054897,-125.734377475707
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0375775839030199,9.28089554282663
"weight_motivation_to_maintain_good_nutrition_inter_two",0.896145397420328,-221.329605599644
"weight_interest_to_maintain_good_nutrition_inter_two",0.217395499406845,53.6922471301677
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.0117807794462059,-2.90961185092395
"chance_good_nutritionist_inter_one",0.276914175528199,-68.3921442112364
"chance_good_nutrition_team_inter_two",0.146621373487946,36.2124838893125
