"","VIP","Coefficient"
"var_CV",0.0883046722950802,815.956651621505
"total_egg_serving_all_athletes",0.858034402010042,-7928.44658661602
"total_dairy_serving_all_athletes",0.197492219819199,1824.8761500013
"total_sandwich_serving_all_athletes",0.343273932892407,3171.93463937966
"total_vegetable_mushroom_serving_all_athletes",0.231500328103907,-2139.1193428331
"total_bean_nut_serving_all_athletes",0.00924303185882489,-85.4078626910646
"total_fruit_serving_all_athletes",0.0105161727122356,-97.1719938609329
"total_sports_drink_serving_all_athletes",0.068363017698929,-631.690912457728
"total_chicken_serving_all_athletes",0.220954893159973,-2041.6769588334
"total_pork_serving_all_athletes",0.060499720185548,559.032130731186
"total_beef_serving_all_athletes",0.197695234543085,-1826.75205543219
"total_fish_serving_all_athletes",0.380449990340306,-3515.45045306516
"total_prawn_serving_all_athletes",0.0549236317685917,-507.507717406358
"total_rice_noodle_serving_all_athletes",0.0280563517129662,-259.24751437759
"total_fat_oil_serving_all_athletes",10.250637749628,94718.3862165517
"total_prawn_serving_per_person",0.0611734661936133,-565.257707730637
"total_beef_serving_per_person",0.582141174168437,-5379.12605188337
"total_pork_serving_per_person",0.233942996625483,-2161.69019413784
"total_dairy_serving_per_person",0.216358851923879,-1999.2084198507
"total_egg_serving_per_person",0.0514318715811111,475.243003923008
"prior_knowledge_ch_1",0.0096560796954831,-89.2245251733499
"prior_knowledge_ch_2",0.110495626666347,1021.00646783688
"prior_knowledge_ch_3",0.123647233768441,-1142.53051651469
"prior_knowledge_ch_4",0.381831392911782,-3528.214948844
"weight_contribution_ch_1",0.225053505708847,-2079.54913574945
"weight_contribution_ch_2",0.695603549852554,-6427.54600228946
"weight_contribution_ch_3",0.153013653578261,-1413.88337877391
"weight_contribution_ch_4",0.557740743593198,5153.66013810064
"chance_of_good_learning_hour",0.320353594206641,2960.14513467968
"weight_learning_hour_to_interest_in_class",0.0552178866795811,-510.226704359753
"chance_of_good_learning_material",0.13581155741492,-1254.93182591148
"weight_learning_material_to_interest",0.149848449983346,-1384.63612763892
"weight_learning_material_to_motivation_inter_one",0.0521529352730528,-481.905807831237
"weight_learning_material_to_motivation_inter_two",0.659291419926332,6092.01308904976
"chance_of_good_trainer",0.0935831253471009,-864.7308417762
"weight_good_trainer_to_interest",0.707225496531249,-6534.93561657377
"weight_good_trainer_to_motivation_inter_one",0.0633785707744455,-585.633410436815
"weight_good_trainer_to_motivation_inter_two",0.278755504690898,-2575.76866905287
"weight_good_trainer_to_successful_ch1",0.630783982625587,5828.59743411706
"weight_good_trainer_to_successful_ch2",0.00143221087688504,-13.2339768796597
"weight_good_trainer_to_successful_ch3",0.305398304599074,2821.95462091567
"weight_good_trainer_to_successful_ch4",0.438847446915115,-4055.05715666932
"chance_of_good_facility",0.580579738248905,5364.69800417639
"weight_good_facility_to_motivation",0.0291239289160378,-269.112187416123
"chance_athletes_understand_nutrition_importance",0.199473421438213,1843.18293487714
"weight_understand_nutrition_importance_to_motivation",0.52906602454868,-4888.69875916514
"weight_understand_nutrition_importance_to_persistence",0.212925100517162,1967.47972161192
"weight_understand_nutrition_importance_to_interest",0.453984303134259,-4194.92539008937
"weight_motivation_to_learning_success",0.438550773983752,-4052.3158266195
"weight_persistence_to_learning_success",0.214494348678906,-1981.97995633722
"weight_interest_to_learning_success",0.0114978329816016,106.242773533215
"weight_knowledge_to_learning_success",0.219613565951773,2029.28276915933
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.479681514684278,4432.37387551375
"weight_motivation_to_maintain_good_nutrition_inter_one",0.246275154306878,-2275.64233084193
"weight_persistence_to_maintain_good_nutrition_inter_one",0.43095645144945,3982.1424391263
"weight_interest_to_maintain_good_nutrition_inter_one",0.25112712367659,2320.47570803234
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.102589307856427,947.950158865627
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.000727197507167976,6.7194818529364
"weight_motivation_to_maintain_good_nutrition_inter_two",0.145536521584467,-1344.79286038095
"weight_interest_to_maintain_good_nutrition_inter_two",0.279299725210167,-2580.79739902949
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.632809635353004,-5847.31495804703
"chance_good_nutritionist_inter_one",0.506848029425111,-4683.39907982098
"chance_good_nutrition_team_inter_two",0.123355948566136,1139.83897039191
"weight_good_nutritionist_to_maintain_good_nutrition",0.263296985805262,2432.9281943518
"weight_good_nutrition_team_to_maintain_good_nutrition",0.461667276322198,4265.91793118594
"chance_good_support",0.184446572236351,1704.33119305537
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0748980178011385,692.07590300417
"weight_good_support_to_maintain_good_nutrition_inter_two",0.451435563711896,-4171.3744178602
"chance_good_kitchen_staff",0.312840235682978,-2890.71987433883
"chance_regular_audit",0.048639509234631,-449.440896615093
"weight_good_kitchen_staff_to_good_food_safety",0.17587495846321,-1625.12739679469
"weight_regular_audit_to_good_food_safety",0.0981045034074424,906.509474853543
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0169337020957024,-156.4715263921
"weight_good_food_safety_to_maintain_good_nutrition",0.471719504176771,-4358.80296171009
"weight_tasty_food_to_maintain_good_nutrition",0.964962491372125,-8916.48814197811
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.0935230120421322,-864.175380216065
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.612468141636881,5659.35460815609
"chance_athletes_good_health",0.320151717206109,-2958.27974208932
"weight_good_health_to_maintain_good_nutrition",0.0252303400824009,-233.13447949973
"total_main_meals_all_athletes",0.122222565555415,1129.3662356838
"total_snack_time_all_athletes",1.16721524643966,10785.3527956475
"pork_restriction",0.279559871683434,-2583.20121572164
"beef_restriction",0.356217822931804,-3291.53933187215
"prawn_restriction",0.690086866141738,6376.57050289923
"egg_restriction",0.0338954873231176,-313.202547752291
"dairy_restriction",0.121178889139178,1119.72241172935
"percent_athlete_with_dietary_restriction",0.248189043248904,-2293.32713020898
"number_athlete",0.134015182865553,1238.33288811732
"chance_good_water_intake_current",0.150755472857747,-1393.0172396266
"weight_current_good_water_intake_to_maintain_good_water_intake",0.330021996326207,-3049.48352204892
"weight_good_learning_outcome_to_maintain_good_water_intake",0.318557275098002,-2943.54670917134
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.364433921889901,3367.45808476483
"weight_good_water_intake_to_nutrition_outcome",0.175964746318137,-1625.95705841461
"weight_good_carb_intake_to_nutrition_outcome",0.412548685875209,3812.05020763485
"weight_good_protein_intake_to_nutrition_outcome",0.14304472829313,1321.76808425428
"weight_good_fat_intake_to_nutrition_outcome",0.0406514292574641,375.629094570536
"weight_vegetable_intake_to_nutrition_outcome",0.274098396518934,2532.73585672854
"weight_fruit_intake_to_nutrition_outcome",0.226791932790672,-2095.61262484813
"chance_good_rest",0.219158200355152,2025.07508028143
"chance_enough_recovery_time",0.247337537117878,2285.45900643422
"chance_personal_problem",0.232183309690099,2145.43025882094
"chance_good_team_relationship",0.0979507146019472,905.088428882505
"weight_good_rest_to_mental_health",0.121858312495738,1126.00044880988
"weight_recovery_time_to_mental_health",0.367613380419522,-3396.83705496394
"weight_personal_problem_to_mental_health",0.219486473006321,-2028.1083994287
"weight_nutrition_outcome_to_mental_health",0.0666175069028982,615.561968116717
"weight_team_relationship_to_mental_health",0.229871187090312,2124.06568358809
"forty_dash_current_sec",0.291849803090706,-2696.76317138154
"percent_increment_40_dash_if_optimal_training",0.210594694845739,-1945.94620634989
"percent_increment_40_dash_current",0.00445629368746593,41.1772376405653
"ten_dash_current_sec",0.16232447277199,1499.91761292838
"percent_increment_10_dash_if_optimal_training",0.391737919979413,-3619.75366865591
"percent_increment_10_dash_current",0.432746764355422,3998.68536586103
"shuttle_run_current",0.139569432300596,-1289.65550393706
"percent_increment_shuttle_run_if_optimal_training",0.303747185729221,2806.69788093284
"percent_increment_shuttle_run_current",0.719001730951705,-6643.75088712159
"weight_nutrition_outcome_to_sports_performance",0.156489785796856,-1446.00368602334
"weight_water_intake_to_sports_performance",0.17906488994458,-1654.60313961545
"weight_mental_health_to_sports_performance",0.269156389668958,2487.07051131939
