"","VIP","Coefficient"
"var_CV",0.356115851246279,660.584653034634
"total_egg_serving_all_athletes",0.359397223156489,666.671503471641
"total_dairy_serving_all_athletes",0.335359676619741,-622.08254658244
"total_sandwich_serving_all_athletes",0.136636114722888,-253.456059651214
"total_vegetable_mushroom_serving_all_athletes",0.0668681334076849,124.038462628391
"total_bean_nut_serving_all_athletes",0.0663961656160402,123.162975960791
"total_fruit_serving_all_athletes",0.0714966262246946,132.624183569757
"total_sports_drink_serving_all_athletes",0.630666129343991,-1169.86751579694
"total_chicken_serving_all_athletes",0.171103482477836,-317.392034670964
"total_pork_serving_all_athletes",0.0647648978020581,120.137021122963
"total_beef_serving_all_athletes",0.211021072005138,391.438014190241
"total_fish_serving_all_athletes",10.3445215269777,19188.7896587396
"total_prawn_serving_all_athletes",0.388614567137148,720.868835515448
"total_rice_noodle_serving_all_athletes",0.321449420252653,-596.2794214373
"total_fat_oil_serving_all_athletes",0.383692614795807,-711.738755603872
"total_prawn_serving_per_person",0.0428854856195813,-79.5513413376287
"total_beef_serving_per_person",0.105188801674216,195.122199177359
"total_pork_serving_per_person",0.507191797606688,-940.82618471347
"total_dairy_serving_per_person",0.140909851880461,261.383719056197
"total_egg_serving_per_person",0.0961804044338597,-178.411881609092
"prior_knowledge_ch_1",0.473682432335548,-878.667276724457
"prior_knowledge_ch_2",0.103183311980803,-191.402073525407
"prior_knowledge_ch_3",0.119771926220812,-222.173475426536
"prior_knowledge_ch_4",0.634490485568599,1176.961586507
"weight_contribution_ch_1",0.0772307016357278,143.26072839812
"weight_contribution_ch_2",0.453006391395845,-840.313815954641
"weight_contribution_ch_3",0.187157357454765,347.171510631898
"weight_contribution_ch_4",0.275869528491025,511.730034266415
"chance_of_good_learning_hour",0.253969299040135,471.105739047412
"weight_learning_hour_to_interest_in_class",0.313230378502244,-581.033335580773
"chance_of_good_learning_material",0.237611476866142,-440.762449785244
"weight_learning_material_to_interest",0.319392777763148,-592.464408821066
"weight_learning_material_to_motivation_inter_one",0.08051988242413,-149.362064079391
"weight_learning_material_to_motivation_inter_two",0.468605101223788,-869.248973666432
"chance_of_good_trainer",0.0735388255908974,136.412404608022
"weight_good_trainer_to_interest",0.302528060724415,-561.180844176103
"weight_good_trainer_to_motivation_inter_one",0.141570490135877,-262.60918400309
"weight_good_trainer_to_motivation_inter_two",0.562687092123684,-1043.76835857422
"weight_good_trainer_to_successful_ch1",0.358100602851011,-664.266310129041
"weight_good_trainer_to_successful_ch2",0.464536372065157,861.701598198195
"weight_good_trainer_to_successful_ch3",0.313002646043312,580.610898424882
"weight_good_trainer_to_successful_ch4",0.0473101027677652,-87.7588787820171
"chance_of_good_facility",0.0287565123773535,-53.3425026850127
"weight_good_facility_to_motivation",0.106400168075883,197.369248982479
"chance_athletes_understand_nutrition_importance",0.697932846017052,-1294.64533890912
"weight_understand_nutrition_importance_to_motivation",0.394601573167861,731.974559362543
"weight_understand_nutrition_importance_to_persistence",0.383995671753758,-712.300917537177
"weight_understand_nutrition_importance_to_interest",0.273718587643271,507.740100910068
"weight_motivation_to_learning_success",0.094760521107779,-175.77803891148
"weight_persistence_to_learning_success",0.373492059542333,-692.817019238318
"weight_interest_to_learning_success",0.565194647709466,1048.41980200422
"weight_knowledge_to_learning_success",0.242355140432666,449.561809151694
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.373973271603932,-693.70965376058
"weight_motivation_to_maintain_good_nutrition_inter_one",0.095356743343124,176.884013995399
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0411013311467433,-76.2417861485651
"weight_interest_to_maintain_good_nutrition_inter_one",0.0170651932713844,-31.6554422856914
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0990151340271129,-183.670223405035
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.678239951358601,-1258.11558619052
"weight_motivation_to_maintain_good_nutrition_inter_two",0.143718427870275,-266.59354667061
"weight_interest_to_maintain_good_nutrition_inter_two",0.322389181594142,598.022651674119
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.170746144107279,316.7291822798
"chance_good_nutritionist_inter_one",0.106063857169652,-196.745401932349
"chance_good_nutrition_team_inter_two",0.153313145822192,-284.391472281197
"weight_good_nutritionist_to_maintain_good_nutrition",0.186981223926194,346.844788006518
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0253686514272991,-47.0581181444505
"chance_good_support",0.103663369273234,-192.292565984105
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0499403238253198,92.637863131151
"weight_good_support_to_maintain_good_nutrition_inter_two",0.154134045341228,-285.91421725888
"chance_good_kitchen_staff",0.0429434402084318,79.6588454316856
"chance_regular_audit",0.0265335527339273,49.2189765358014
"weight_good_kitchen_staff_to_good_food_safety",0.0164440601071593,30.5032581457773
"weight_regular_audit_to_good_food_safety",0.361288583671743,670.179922783391
"chance_tasty_food_conditional_on_good_kitchen_staff",0.404268744029802,-749.906883035621
"weight_good_food_safety_to_maintain_good_nutrition",0.233803464953356,433.698697303135
"weight_tasty_food_to_maintain_good_nutrition",0.315742393819715,585.693051684682
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.215885624558808,400.461619147979
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.555652499663158,-1030.71939205528
"chance_athletes_good_health",0.589135714950655,1092.82979257738
"weight_good_health_to_maintain_good_nutrition",0.189498925059754,351.515051135601
"total_main_meals_all_athletes",0.64338110541253,-1193.45343039519
"total_snack_time_all_athletes",0.260978360386193,484.107346083945
"pork_restriction",0.0599651307514007,-111.233591408421
"beef_restriction",0.67485898410601,1251.84398926031
"prawn_restriction",0.480386387162136,891.102919950062
"egg_restriction",0.1167247471837,216.52104602773
"dairy_restriction",0.235389845107816,436.641386824669
"percent_athlete_with_dietary_restriction",0.110218044438543,204.451299735149
"number_athlete",0.538493356602408,998.889675614724
"chance_good_water_intake_current",0.141123111579305,261.779309658734
"weight_current_good_water_intake_to_maintain_good_water_intake",0.190398613467952,-353.18394723469
"weight_good_learning_outcome_to_maintain_good_water_intake",0.280636298135262,520.572254741898
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.580948530356584,1077.64280082884
"weight_good_water_intake_to_nutrition_outcome",0.178171631731773,-330.503248075728
"weight_good_carb_intake_to_nutrition_outcome",0.199777682916996,-370.581851080032
"weight_good_protein_intake_to_nutrition_outcome",0.253668119907335,470.547060425707
"weight_good_fat_intake_to_nutrition_outcome",0.451070825587965,-836.723397097549
"weight_vegetable_intake_to_nutrition_outcome",0.28730707404639,-532.946352034404
"weight_fruit_intake_to_nutrition_outcome",0.37072603468299,687.686122746067
"chance_good_rest",0.272384495070522,-505.265397590344
"chance_enough_recovery_time",0.308089663152821,571.49745658644
"chance_personal_problem",0.0741571443186858,137.559368049361
"chance_good_team_relationship",0.594186509507008,1102.198871089
"weight_good_rest_to_mental_health",0.405183307231132,-751.60337144779
"weight_recovery_time_to_mental_health",0.446946998774357,829.073817065353
"weight_personal_problem_to_mental_health",0.108268327155112,-200.83463029827
"weight_nutrition_outcome_to_mental_health",0.559151027408246,-1037.20906031502
"weight_team_relationship_to_mental_health",0.538931452290774,-999.702330505774
"forty_dash_current_sec",0.0354879967385818,65.8292124049203
"percent_increment_40_dash_if_optimal_training",0.0146944035723091,-27.2576956386357
"percent_increment_40_dash_current",0.0883868851950105,163.955127762564
"ten_dash_current_sec",0.222860232556577,-413.399316215197
"percent_increment_10_dash_if_optimal_training",0.109187040256285,-202.538816655189
"percent_increment_10_dash_current",0.331254529717313,614.467617247769
"shuttle_run_current",0.0584368630563934,-108.398698826365
"percent_increment_shuttle_run_if_optimal_training",0.303073002319742,562.191695148935
"percent_increment_shuttle_run_current",0.238882282945016,-443.119758480573
"weight_nutrition_outcome_to_sports_performance",0.277959808322301,-515.607443183363
"weight_water_intake_to_sports_performance",0.0199318901390618,-36.9730824554926
"weight_mental_health_to_sports_performance",0.216143356372968,-400.939704244267
