"","VIP","Coefficient"
"var_CV",0.106214089252293,-355.219410037956
"total_egg_serving_all_athletes",0.0298692030742595,99.8937219067034
"total_dairy_serving_all_athletes",0.000694517650601149,2.32272527914333
"total_sandwich_serving_all_athletes",0.16881011568345,-564.563798679086
"total_vegetable_mushroom_serving_all_athletes",0.187264072423756,-626.280692099758
"total_bean_nut_serving_all_athletes",0.0965517761970892,322.905042262143
"total_fruit_serving_all_athletes",10.2985719252452,34442.2540293079
"total_sports_drink_serving_all_athletes",0.00757003749239748,-25.3170202836963
"total_chicken_serving_all_athletes",0.0901360076302276,301.448326478917
"total_pork_serving_all_athletes",0.00414520314244053,-13.8631006970049
"total_beef_serving_all_athletes",0.36907233965493,-1234.31514290108
"total_fish_serving_all_athletes",0.149856402097019,-501.175532531006
"total_prawn_serving_all_athletes",0.320073248953056,-1070.44396334248
"total_rice_noodle_serving_all_athletes",0.0224856347943468,75.2003240079033
"total_fat_oil_serving_all_athletes",0.349055447634528,1167.37121272821
"total_prawn_serving_per_person",0.218678873391135,-731.343468089725
"total_beef_serving_per_person",0.61626711742335,2061.02639883237
"total_pork_serving_per_person",0.327572245621095,-1095.52339669308
"total_dairy_serving_per_person",0.000622119242837298,-2.08059808232225
"total_egg_serving_per_person",0.117927315855782,394.39279534891
"prior_knowledge_ch_1",0.238399627336702,-797.297002421771
"prior_knowledge_ch_2",0.307400953225253,-1028.06309425115
"prior_knowledge_ch_3",0.0503605316843911,168.424344454293
"prior_knowledge_ch_4",0.0327580138336469,-109.554979286818
"weight_contribution_ch_1",0.472093644696839,1578.85669530663
"weight_contribution_ch_2",0.238336114754289,797.084592729108
"weight_contribution_ch_3",0.0819318435017967,-274.010550925117
"weight_contribution_ch_4",0.619610979092546,2072.20951566501
"chance_of_good_learning_hour",0.000372725606853797,1.246533026877
"weight_learning_hour_to_interest_in_class",0.226850572207843,758.672667568941
"chance_of_good_learning_material",0.35745884170044,-1195.47528727635
"weight_learning_material_to_interest",0.365104372957666,-1221.0447867819
"weight_learning_material_to_motivation_inter_one",0.394533186857445,1319.46568353097
"weight_learning_material_to_motivation_inter_two",0.124707240211022,417.067383499354
"chance_of_good_trainer",0.165064955100185,-552.038589055298
"weight_good_trainer_to_interest",0.307423199510787,1028.13749410222
"weight_good_trainer_to_motivation_inter_one",0.296351475724987,991.109532755652
"weight_good_trainer_to_motivation_inter_two",0.354381703991535,-1185.18419454791
"weight_good_trainer_to_successful_ch1",0.381471681052255,-1275.78315121356
"weight_good_trainer_to_successful_ch2",0.0516231435685339,-172.64698809554
"weight_good_trainer_to_successful_ch3",0.141040489403527,471.691842297691
"weight_good_trainer_to_successful_ch4",0.427574898643603,1429.96945426372
"chance_of_good_facility",0.916466398857226,3065.00442468037
"weight_good_facility_to_motivation",0.120259650915126,402.192991063275
"chance_athletes_understand_nutrition_importance",0.371478811392006,-1242.36327923341
"weight_understand_nutrition_importance_to_motivation",0.315249441868182,1054.31135872393
"weight_understand_nutrition_importance_to_persistence",0.125606302990475,-420.074183749233
"weight_understand_nutrition_importance_to_interest",0.191560912898053,640.650924420647
"weight_motivation_to_learning_success",0.463523100754242,-1550.19360941638
"weight_persistence_to_learning_success",0.16761492593269,-560.566639722707
"weight_interest_to_learning_success",0.938205510273169,-3137.70809691709
"weight_knowledge_to_learning_success",0.220074976212056,-736.012555062002
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0551159061559765,184.328084967415
"weight_motivation_to_maintain_good_nutrition_inter_one",0.37163346094987,1242.88048486116
"weight_persistence_to_maintain_good_nutrition_inter_one",0.366672570440603,-1226.28942229714
"weight_interest_to_maintain_good_nutrition_inter_one",0.395810382733181,-1323.73710146314
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.341419346153551,-1141.83324990089
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0873420575538884,-292.104318496744
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0232978523664103,77.9166815909875
"weight_interest_to_maintain_good_nutrition_inter_two",0.0919018745928117,307.354042237254
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.131885346913985,441.073641484201
"chance_good_nutritionist_inter_one",0.115907973156951,387.639362473923
"chance_good_nutrition_team_inter_two",0.0645274562139679,-215.803808034637
"weight_good_nutritionist_to_maintain_good_nutrition",0.434459292186989,1452.99342622606
"weight_good_nutrition_team_to_maintain_good_nutrition",0.114505890178828,382.95027563225
"chance_good_support",0.676772185150165,-2263.37784404577
"weight_good_support_to_maintain_good_nutrition_inter_one",0.250552581105501,837.94099888553
"weight_good_support_to_maintain_good_nutrition_inter_two",0.481797079272876,1611.3085887391
"chance_good_kitchen_staff",0.278747562245338,-932.235500086159
"chance_regular_audit",0.178988673862506,-598.604682114175
"weight_good_kitchen_staff_to_good_food_safety",0.494812905776281,1654.83835248554
"weight_regular_audit_to_good_food_safety",0.681051811915525,-2277.69050732307
"chance_tasty_food_conditional_on_good_kitchen_staff",0.611367421959144,2044.63999525434
"weight_good_food_safety_to_maintain_good_nutrition",0.127428064269484,-426.166830885927
"weight_tasty_food_to_maintain_good_nutrition",0.611715472989074,2045.80400732078
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.145996467613046,488.266476304716
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.0811156678341775,-271.280955998681
"chance_athletes_good_health",0.660146825536102,2207.77645937684
"weight_good_health_to_maintain_good_nutrition",0.329577998669454,-1102.23138072359
"total_main_meals_all_athletes",0.474548931621324,1587.06808777753
"total_snack_time_all_athletes",0.0832263542181105,278.339876122686
"pork_restriction",0.203785199475531,-681.533484321644
"beef_restriction",0.595648496940338,1992.07006492855
"prawn_restriction",0.0994751659992469,332.681944819456
"egg_restriction",0.200696571389706,671.203963500095
"dairy_restriction",0.0227027340322238,-75.9263845874483
"percent_athlete_with_dietary_restriction",0.46105770523847,-1541.94841005735
"number_athlete",0.158552945571133,-530.260007707425
"chance_good_water_intake_current",0.315455224057924,-1054.99957088629
"weight_current_good_water_intake_to_maintain_good_water_intake",0.241586509535236,807.95512153189
"weight_good_learning_outcome_to_maintain_good_water_intake",0.391137769684413,1308.11014592266
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.410663432044345,-1373.41122144777
