"","VIP","Coefficient"
"var_CV",0.534652710068665,-3668.90701787366
"total_egg_serving_all_athletes",0.0476203948420358,-326.781848365496
"total_dairy_serving_all_athletes",0.242720361232981,-1665.60165119923
"total_sandwich_serving_all_athletes",0.0712717611782167,-489.082837959227
"total_vegetable_mushroom_serving_all_athletes",0.293804489334386,-2016.15241539368
"total_bean_nut_serving_all_athletes",0.0496470300002666,-340.689074149028
"total_fruit_serving_all_athletes",0.204514456151205,1403.42414673893
"total_sports_drink_serving_all_athletes",0.270834775377791,1858.52907757673
"total_chicken_serving_all_athletes",0.196955101893851,-1351.5501594513
"total_pork_serving_all_athletes",10.3066354477449,70726.4480526812
"total_beef_serving_all_athletes",0.130223666019954,-893.62405381333
"total_fish_serving_all_athletes",0.298426132929521,-2047.86717209644
"total_prawn_serving_all_athletes",0.313504763163376,2151.34012050404
"total_rice_noodle_serving_all_athletes",0.46925739372142,3220.14966461595
"total_fat_oil_serving_all_athletes",0.287280889509311,1971.38600772515
"total_prawn_serving_per_person",0.0371183154332252,254.714219941237
"total_beef_serving_per_person",0.221547059080856,1520.30569478762
"total_pork_serving_per_person",0.0644452902808253,442.238060945878
"total_dairy_serving_per_person",0.318299505238047,-2184.24271786372
"total_egg_serving_per_person",0.111694867033359,766.475272268845
"prior_knowledge_ch_1",0.161640095139852,1109.2106488195
"prior_knowledge_ch_2",0.0831573641078547,-570.644515622113
"prior_knowledge_ch_3",0.160574905833253,1101.90108047963
"prior_knowledge_ch_4",0.082122878514247,563.545643059045
"weight_contribution_ch_1",0.110843084952775,-760.630152260474
"weight_contribution_ch_2",0.16426431171422,1127.21861254026
"weight_contribution_ch_3",0.329489870772905,-2261.0335203234
"weight_contribution_ch_4",0.370831107995522,-2544.72637835485
"chance_of_good_learning_hour",0.335628201989343,2303.15612824046
"weight_learning_hour_to_interest_in_class",0.0885854652905191,607.893365478776
"chance_of_good_learning_material",0.915132424648221,-6279.84430237788
"weight_learning_material_to_interest",0.370363056666071,2541.51450497422
"weight_learning_material_to_motivation_inter_one",0.279185712097289,-1915.83508156584
"weight_learning_material_to_motivation_inter_two",0.696012484856613,4776.19404545832
"chance_of_good_trainer",0.139425925154757,-956.772023484402
"weight_good_trainer_to_interest",0.708186248059549,4859.73314365807
"weight_good_trainer_to_motivation_inter_one",0.0524123406407325,359.665257051202
"weight_good_trainer_to_motivation_inter_two",0.0255789983947867,-175.528833864434
"weight_good_trainer_to_successful_ch1",0.315361318102222,2164.08021760992
"weight_good_trainer_to_successful_ch2",0.466363945517625,3200.29417296532
"weight_good_trainer_to_successful_ch3",0.375188208529136,-2574.62578113409
"weight_good_trainer_to_successful_ch4",0.692673700198543,-4753.28255500391
"chance_of_good_facility",0.443571830462064,3043.88955870872
"weight_good_facility_to_motivation",0.154295110474058,-1058.80771383196
"chance_athletes_understand_nutrition_importance",0.248995535429273,-1708.66330638882
"weight_understand_nutrition_importance_to_motivation",0.00325315978750934,22.3239133551283
"weight_understand_nutrition_importance_to_persistence",0.250877197309783,-1721.57569296923
"weight_understand_nutrition_importance_to_interest",0.0368575764744616,-252.924970625512
"weight_motivation_to_learning_success",0.0606896260993655,416.465849540899
"weight_persistence_to_learning_success",0.15092398644693,1035.67430336133
"weight_interest_to_learning_success",0.0891510801043769,-611.774741409162
"weight_knowledge_to_learning_success",0.214344445656557,-1470.87974324601
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0840379642178686,576.687391423033
"weight_motivation_to_maintain_good_nutrition_inter_one",0.256708874653792,-1761.59397311722
"weight_persistence_to_maintain_good_nutrition_inter_one",0.166527031828023,1142.74590633056
"weight_interest_to_maintain_good_nutrition_inter_one",0.376729093314707,2585.19967872602
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.30151457783699,-2069.06077493795
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.192063231192426,-1317.98104363276
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0969245087299527,-665.117755108003
"weight_interest_to_maintain_good_nutrition_inter_two",0.65944580906033,4525.26530064365
