"","VIP","Coefficient"
"var_CV",0.205289293239389,-364.045482139119
"total_egg_serving_all_athletes",0.387235016163017,686.695131225515
"total_dairy_serving_all_athletes",0.236719555329999,419.781681216936
"total_sandwich_serving_all_athletes",0.162646366229544,-288.425537824636
"total_vegetable_mushroom_serving_all_athletes",0.408878762395274,-725.076616728661
"total_bean_nut_serving_all_athletes",0.397214558100947,-704.392143568408
"total_fruit_serving_all_athletes",0.169434458808807,-300.463060078371
"total_sports_drink_serving_all_athletes",0.64320084119358,-1140.6067829926
"total_chicken_serving_all_athletes",0.00164363412291693,-2.91470425610484
"total_pork_serving_all_athletes",10.2763737342726,18223.3928116873
"total_beef_serving_all_athletes",0.490901679578935,-870.530244443006
"total_fish_serving_all_athletes",0.350329293321671,-621.249138141971
"total_prawn_serving_all_athletes",0.485853767985928,861.578635809772
"total_rice_noodle_serving_all_athletes",0.5489418896367,973.454639186261
"total_fat_oil_serving_all_athletes",0.39510387044097,-700.649199673494
"total_prawn_serving_per_person",0.320997739336933,569.234639266904
"total_beef_serving_per_person",0.0757194009873655,-134.275418872366
"total_pork_serving_per_person",0.0310415293860655,-55.0468480521693
"total_dairy_serving_per_person",0.809823151440201,1436.08297813022
"total_egg_serving_per_person",0.360886760968044,-639.971002974007
"prior_knowledge_ch_1",0.333855431443035,-592.035559120548
"prior_knowledge_ch_2",0.29028228528654,-514.766030103454
"prior_knowledge_ch_3",0.265921218360017,471.565840679313
"prior_knowledge_ch_4",0.399849083177251,709.064023608894
"weight_contribution_ch_1",0.421137722130878,746.815787033407
"weight_contribution_ch_2",0.350173010386275,620.97199706136
"weight_contribution_ch_3",0.25593564075308,-453.858125108799
"weight_contribution_ch_4",0.687979172034431,-1220.01350110787
"chance_of_good_learning_hour",0.213630099108704,-378.836476088242
"weight_learning_hour_to_interest_in_class",0.179321016131122,-317.995180094496
"chance_of_good_learning_material",0.104509254509105,-185.329304540989
"weight_learning_material_to_interest",0.0805625529423968,-142.863921276562
"weight_learning_material_to_motivation_inter_one",0.139800245436769,247.911846497755
"weight_learning_material_to_motivation_inter_two",0.12693676514968,225.100662294203
"chance_of_good_trainer",0.210823258025759,373.859023054991
"weight_good_trainer_to_interest",0.102791520203016,182.283196272118
"weight_good_trainer_to_motivation_inter_one",0.305048691308272,-540.951727929276
"weight_good_trainer_to_motivation_inter_two",0.0551778464216812,-97.8484819495939
"weight_good_trainer_to_successful_ch1",0.0756091812606825,-134.079963021218
"weight_good_trainer_to_successful_ch2",0.166797742374258,295.787294038492
"weight_good_trainer_to_successful_ch3",0.186400355322926,330.549178447938
"weight_good_trainer_to_successful_ch4",0.61159294005954,1084.55557142586
"chance_of_good_facility",0.464339336484732,823.426467885123
"weight_good_facility_to_motivation",0.0923962744555891,-163.849004257712
"chance_athletes_understand_nutrition_importance",0.379204315850664,-672.454056491451
"weight_understand_nutrition_importance_to_motivation",0.090482529325789,160.455304286925
"weight_understand_nutrition_importance_to_persistence",0.547394242828119,-970.710152030011
"weight_understand_nutrition_importance_to_interest",0.0750496636265931,133.087754106407
"weight_motivation_to_learning_success",0.116152092911955,-205.975888943668
"weight_persistence_to_learning_success",0.269159193435517,477.307836177053
"weight_interest_to_learning_success",0.222255647634255,-394.132412481949
"weight_knowledge_to_learning_success",0.622715148341633,1104.27890727361
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.360020506196996,638.434848161423
"weight_motivation_to_maintain_good_nutrition_inter_one",0.411153192450202,729.109929781049
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0365540775973983,64.8224103318329
"weight_interest_to_maintain_good_nutrition_inter_one",0.712836969999479,-1264.09455814843
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0112903296038782,20.0214702836962
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.733425102946663,-1300.60409387158
"weight_motivation_to_maintain_good_nutrition_inter_two",0.154813972896422,-274.53612663194
"weight_interest_to_maintain_good_nutrition_inter_two",0.174429780662263,309.321409794939
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.771391956276158,-1367.93182055201
