"","VIP","Coefficient"
"var_CV",0.201267409932534,30.4445559943034
"total_egg_serving_all_athletes",0.112670604829632,17.0430301597143
"total_dairy_serving_all_athletes",0.40964053864605,61.9639529346887
"total_sandwich_serving_all_athletes",0.186478805747521,-28.2075694481996
"total_vegetable_mushroom_serving_all_athletes",0.00998912045503761,-1.5109964257461
"total_bean_nut_serving_all_athletes",0.20378303500294,-30.8250800361356
"total_fruit_serving_all_athletes",0.773197491399274,-116.957108602186
"total_sports_drink_serving_all_athletes",0.0925367176528988,-13.9974935984771
"total_chicken_serving_all_athletes",0.214625705173658,-32.4651879863043
"total_pork_serving_all_athletes",0.426456943062158,64.5076730831255
"total_beef_serving_all_athletes",0.31425788830759,-47.5359715735349
"total_fish_serving_all_athletes",0.0918449333729385,-13.8928513950807
"total_prawn_serving_all_athletes",0.0518123287753675,-7.837351040219
"total_rice_noodle_serving_all_athletes",0.231836322588551,-35.0685384530284
"total_fat_oil_serving_all_athletes",0.373539782338575,56.5032005098027
"total_prawn_serving_per_person",0.390587350025813,-59.0818873880945
"total_beef_serving_per_person",0.138425773424118,20.9388654202783
"total_pork_serving_per_person",4.19751069578775,634.933144205681
"total_dairy_serving_per_person",0.0694167556673307,-10.500270786837
"total_egg_serving_per_person",0.0661236705846907,-10.0021448695509
"prior_knowledge_ch_1",0.0235442918014317,3.56140872650559
"prior_knowledge_ch_2",0.501541477225873,75.8652759132094
"prior_knowledge_ch_3",1.11817042142946,-169.139166732429
"prior_knowledge_ch_4",0.214886697031725,-32.5046667138322
"weight_contribution_ch_1",0.151153813386893,22.8641623447745
"weight_contribution_ch_2",0.0365218210886892,-5.52444445686084
"weight_contribution_ch_3",0.0618975080234186,9.36287772351461
"weight_contribution_ch_4",0.537201791798818,-81.2594052665628
"chance_of_good_learning_hour",0.359376871044467,54.360858905266
"weight_learning_hour_to_interest_in_class",0.0842350152144195,12.7417431278915
"chance_of_good_learning_material",0.270243738687117,40.8782059516129
"weight_learning_material_to_interest",0.0956323314541728,14.465749178162
"weight_learning_material_to_motivation_inter_one",0.258275206409808,-39.0677953580234
"weight_learning_material_to_motivation_inter_two",0.128022103127869,-19.3651624398176
"chance_of_good_trainer",0.0291143046617289,-4.40395232793193
"weight_good_trainer_to_interest",0.133088094388249,20.1314656115282
"weight_good_trainer_to_motivation_inter_one",0.137167730436659,20.7485685401835
"weight_good_trainer_to_motivation_inter_two",0.433116955571302,-65.5150946215919
"weight_good_trainer_to_successful_ch1",0.257923085696765,39.0145320961342
"weight_good_trainer_to_successful_ch2",0.0792036356187722,11.9806754623433
"weight_good_trainer_to_successful_ch3",0.276297640149237,41.7939445806799
"weight_good_trainer_to_successful_ch4",0.279190025226192,42.231458927697
"chance_of_good_facility",0.195099998529385,-29.5116473735484
"weight_good_facility_to_motivation",0.190529602345205,-28.8203100000907
"chance_athletes_understand_nutrition_importance",0.07278943996158,11.0104372160755
"weight_understand_nutrition_importance_to_motivation",0.451724283525443,-68.329717406245
"weight_understand_nutrition_importance_to_persistence",0.399223868301857,-60.388283512231
"weight_understand_nutrition_importance_to_interest",0.257278311976879,38.9170009080234
"weight_motivation_to_learning_success",0.0722689047289224,10.9316988647301
"weight_persistence_to_learning_success",0.322442252711584,48.7739729988959
"weight_interest_to_learning_success",0.0740417716911175,-11.1998701872462
"weight_knowledge_to_learning_success",0.111789723934131,16.9097844059364
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.291485221057766,-44.0912820261348
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0542764558664786,8.21008528083728
"weight_persistence_to_maintain_good_nutrition_inter_one",0.00861511199882551,1.30315812049927
"weight_interest_to_maintain_good_nutrition_inter_one",0.201267383070188,30.4445519309917
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.917645427655819,-138.806911732748
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.457380634621447,69.1853208927879
"weight_motivation_to_maintain_good_nutrition_inter_two",0.542729548463831,-82.095557017943
"weight_interest_to_maintain_good_nutrition_inter_two",0.110394698604778,-16.698766999953
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.228946029095855,-34.6313404878545
"chance_good_nutritionist_inter_one",0.450396852027454,-68.1289245278416
"chance_good_nutrition_team_inter_two",0.114284200610105,-17.2871094525677
"weight_good_nutritionist_to_maintain_good_nutrition",0.824150939063053,-124.664541668586
"weight_good_nutrition_team_to_maintain_good_nutrition",0.377436104882554,-57.0925746658163
"chance_good_support",0.632479000440436,95.671437072621
"weight_good_support_to_maintain_good_nutrition_inter_one",0.150837886849594,-22.8163739663276
"weight_good_support_to_maintain_good_nutrition_inter_two",0.250871285704336,37.947847133069
"chance_good_kitchen_staff",0.777172405005728,-117.558370773269
"chance_regular_audit",0.0924117769306462,13.9785945386847
"weight_good_kitchen_staff_to_good_food_safety",0.168531803754194,25.4928303491132
"weight_regular_audit_to_good_food_safety",0.154690987659967,-23.3992102209026
"chance_tasty_food_conditional_on_good_kitchen_staff",0.408907275387585,-61.8530364463294
"weight_good_food_safety_to_maintain_good_nutrition",0.128072150720084,19.3727328493741
"weight_tasty_food_to_maintain_good_nutrition",0.260275002081963,-39.3702928728396
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.25273011922565,38.2290221193357
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.117913708686622,17.8361241286365
"chance_athletes_good_health",0.677307411358665,102.452371287421
