"","VIP","Coefficient"
"var_CV",0.255269104198454,-449.927308888203
"total_egg_serving_all_athletes",0.365053350662646,643.428714885036
"total_dairy_serving_all_athletes",0.381885482732149,673.096370548508
"total_sandwich_serving_all_athletes",0.61393744793006,-1082.10206103954
"total_vegetable_mushroom_serving_all_athletes",0.172222359946561,303.552375382218
"total_bean_nut_serving_all_athletes",0.0969888717769525,170.948780533902
"total_fruit_serving_all_athletes",0.283947128865292,500.474070130993
"total_sports_drink_serving_all_athletes",0.293260746287311,516.889886827107
"total_chicken_serving_all_athletes",0.581712105690745,-1025.30293700428
"total_pork_serving_all_athletes",0.489738137397756,863.193228617237
"total_beef_serving_all_athletes",0.508677838144454,-896.575602151501
"total_fish_serving_all_athletes",0.0489770993483056,86.3251139464248
"total_prawn_serving_all_athletes",10.3463938149582,18236.1478506332
"total_rice_noodle_serving_all_athletes",0.542044303166303,-955.386024437159
"total_fat_oil_serving_all_athletes",0.343549949289027,605.527663199386
"total_prawn_serving_per_person",0.226914073993432,399.949845012781
"total_beef_serving_per_person",0.0512986727244029,90.4170281041281
"total_pork_serving_per_person",0.0298720307362079,-52.6512694999661
"total_dairy_serving_per_person",0.283246358084919,499.238919044649
"total_egg_serving_per_person",0.0823853328288236,-145.209155678762
"prior_knowledge_ch_1",0.205063037581853,-361.436065446898
"prior_knowledge_ch_2",0.366739767031472,646.401126218846
"prior_knowledge_ch_3",0.248155862441737,437.389788019314
"prior_knowledge_ch_4",0.0411099947168009,72.4588639483716
"weight_contribution_ch_1",0.145584283588855,256.601147002212
"weight_contribution_ch_2",0.404692987854291,713.295984341493
"weight_contribution_ch_3",0.371656541838886,655.067240609992
"weight_contribution_ch_4",0.20787144444349,366.386053207803
"chance_of_good_learning_hour",0.493631554045125,870.055612061688
"weight_learning_hour_to_interest_in_class",0.0091944037675784,16.2056953855333
"chance_of_good_learning_material",0.123631398715011,-217.907853332242
"weight_learning_material_to_interest",0.0894603447866772,157.679294203925
"weight_learning_material_to_motivation_inter_one",0.446524627047488,-787.026790533946
"weight_learning_material_to_motivation_inter_two",0.126446300495782,222.869288782818
"chance_of_good_trainer",0.0815433293213894,143.725073328241
"weight_good_trainer_to_interest",0.598232186214814,1054.42058285551
"weight_good_trainer_to_motivation_inter_one",0.254884617764836,-449.249628183658
"weight_good_trainer_to_motivation_inter_two",0.0967925153287745,-170.60269036138
"weight_good_trainer_to_successful_ch1",0.258526265453096,455.668253537645
"weight_good_trainer_to_successful_ch2",0.263751243279945,464.877594480085
"weight_good_trainer_to_successful_ch3",0.647141899677732,-1140.62692508389
"weight_good_trainer_to_successful_ch4",0.467623652954834,824.215105886338
"chance_of_good_facility",0.283407964881372,499.523760844264
"weight_good_facility_to_motivation",0.0686297944109561,120.964183291317
"chance_athletes_understand_nutrition_importance",0.0524390894203387,-92.4270818339938
"weight_understand_nutrition_importance_to_motivation",0.306638960047931,-540.469801576082
"weight_understand_nutrition_importance_to_persistence",0.283641768901376,-499.935854637823
