"","VIP","Coefficient"
"var_CV",0.69655489017672,-2941.99082570556
"total_egg_serving_all_athletes",0.438740588779006,-1853.07835068822
"total_dairy_serving_all_athletes",0.388323998816456,1640.13727852728
"total_sandwich_serving_all_athletes",0.205700600365257,-868.803431935102
"total_vegetable_mushroom_serving_all_athletes",0.195828108330871,827.105668554753
"total_bean_nut_serving_all_athletes",0.432337068414416,1826.03224358235
"total_fruit_serving_all_athletes",0.166021816032671,701.214888479466
"total_sports_drink_serving_all_athletes",0.502367096213986,-2121.81323976194
"total_chicken_serving_all_athletes",0.325153782533817,-1373.32959490853
"total_pork_serving_all_athletes",0.222820510582871,941.11161540697
"total_beef_serving_all_athletes",0.323915182705831,-1368.09820628138
"total_fish_serving_all_athletes",0.320434777196728,-1353.39825768879
"total_prawn_serving_all_athletes",0.152839170319902,-645.536257416157
"total_rice_noodle_serving_all_athletes",10.3205665700559,43590.2648784573
"total_fat_oil_serving_all_athletes",0.0282015622638037,-119.112992559172
"total_prawn_serving_per_person",0.0964739929428417,407.470547059135
"total_beef_serving_per_person",0.161504844273484,-682.136866541914
"total_pork_serving_per_person",0.387084455199877,-1634.90190368537
"total_dairy_serving_per_person",0.0616314229230829,-260.308388286367
"total_egg_serving_per_person",0.0970650720333437,409.967047027834
"prior_knowledge_ch_1",0.495842849783605,2094.25723030237
"prior_knowledge_ch_2",0.0636241567487453,268.724960642473
"prior_knowledge_ch_3",0.222878714075548,941.357445482811
"prior_knowledge_ch_4",0.147578003683234,-623.315030925797
"weight_contribution_ch_1",0.737748773431063,3115.97858793162
"weight_contribution_ch_2",0.0152966094988441,-64.6072340380561
"weight_contribution_ch_3",0.696004901552007,-2939.66787670188
"weight_contribution_ch_4",0.215225812281108,-909.034412241945
"chance_of_good_learning_hour",0.278571105236648,1176.58155512332
"weight_learning_hour_to_interest_in_class",0.0652905789249689,-275.76331300112
"chance_of_good_learning_material",0.11302100170988,477.35900620576
"weight_learning_material_to_interest",0.182975739569273,-772.822005460214
"weight_learning_material_to_motivation_inter_one",0.0236878660079648,-100.048805139096
"weight_learning_material_to_motivation_inter_two",0.336310911038069,1420.4531887037
"chance_of_good_trainer",0.352156928545262,1487.38091943617
"weight_good_trainer_to_interest",0.276058799954388,1165.97050465764
"weight_good_trainer_to_motivation_inter_one",0.376583140568877,-1590.54822569395
"weight_good_trainer_to_motivation_inter_two",0.441254993650756,-1863.69826904515
"weight_good_trainer_to_successful_ch1",0.016852659028498,-71.1794130653598
"weight_good_trainer_to_successful_ch2",0.454318907902797,-1918.87542223054
"weight_good_trainer_to_successful_ch3",0.189138998387701,-798.85333645218
"weight_good_trainer_to_successful_ch4",0.115603952396912,-488.268436792872
"chance_of_good_facility",0.002203699646339,-9.30761413575761
"weight_good_facility_to_motivation",0.256032053462176,-1081.38491739133
"chance_athletes_understand_nutrition_importance",0.0695016230260054,293.549209398671
"weight_understand_nutrition_importance_to_motivation",0.0187615286555528,79.2417739926351
"weight_understand_nutrition_importance_to_persistence",0.231050470046549,975.871927307049
"weight_understand_nutrition_importance_to_interest",0.220164623428593,929.894128095937
"weight_motivation_to_learning_success",0.180130176021173,-760.803395052716
"weight_persistence_to_learning_success",0.0274537037043374,-115.954313965563
"weight_interest_to_learning_success",0.087235255455755,-368.44952902965
"weight_knowledge_to_learning_success",0.0454770171259387,192.078139213153
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.500899409651912,2115.61427330355
"weight_motivation_to_maintain_good_nutrition_inter_one",0.0270474516716444,114.238455287428
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0011816556070144,-4.99087725031681
"weight_interest_to_maintain_good_nutrition_inter_one",0.953270668600907,-4026.2635450403
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.294713783754085,1244.76227249444
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.347007287747522,-1465.63073693614
"weight_motivation_to_maintain_good_nutrition_inter_two",0.433748330982639,-1831.9928959113
"weight_interest_to_maintain_good_nutrition_inter_two",0.486091856254408,2053.0726317747
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.407039239853326,-1719.18355069884
"chance_good_nutritionist_inter_one",0.395348592589194,-1669.80657053162
"chance_good_nutrition_team_inter_two",0.228314890885143,964.317850364446
"weight_good_nutritionist_to_maintain_good_nutrition",0.0611123857749422,-258.116166898555
"weight_good_nutrition_team_to_maintain_good_nutrition",0.032535834726619,137.41936008532
"chance_good_support",0.213993630236664,-903.830129964302
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0436518788464773,-184.369428601047
"weight_good_support_to_maintain_good_nutrition_inter_two",0.366428456911278,-1547.65858902652
"chance_good_kitchen_staff",0.201547237077591,-851.26115800887
"chance_regular_audit",0.430803091214881,-1819.55328993272
"weight_good_kitchen_staff_to_good_food_safety",0.557903722282336,2356.37945512836
"weight_regular_audit_to_good_food_safety",0.879615680728527,-3715.17205513199
"chance_tasty_food_conditional_on_good_kitchen_staff",0.39746811959458,-1678.75867049189
"weight_good_food_safety_to_maintain_good_nutrition",0.109831443198828,-463.887488009702
"weight_tasty_food_to_maintain_good_nutrition",0.287349193017632,1213.65695877505
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.147230345436013,-621.846650776248
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.0687663045754726,290.443495597867
"chance_athletes_good_health",0.0407586089056073,172.149323994259
"weight_good_health_to_maintain_good_nutrition",0.0687504678220587,-290.376606995246
"total_main_meals_all_athletes",0.0938066875033021,396.204833124531
"total_snack_time_all_athletes",0.0337885689718841,142.710447275423
"pork_restriction",0.580877105016426,-2453.41054656463
"beef_restriction",0.318255576956464,-1344.19412000395
"prawn_restriction",0.0801992340083158,338.731970744212
"egg_restriction",0.235959155399119,996.604402919808
"dairy_restriction",0.264775303891186,1118.31318092339
"percent_athlete_with_dietary_restriction",0.55113738790529,-2327.8009555131
"number_athlete",0.295036442149638,-1246.12506249555
"chance_good_water_intake_current",0.188748730279104,797.204987971324
"weight_current_good_water_intake_to_maintain_good_water_intake",0.298357013561854,1260.14993084205
"weight_good_learning_outcome_to_maintain_good_water_intake",0.704905389641695,-2977.26025409158
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.0666499403786449,281.504754173858
"weight_good_water_intake_to_nutrition_outcome",0.128655037447081,-543.391404163556
"weight_good_carb_intake_to_nutrition_outcome",0.0157841417060476,-66.666390180747
"weight_good_protein_intake_to_nutrition_outcome",0.519514859781802,-2194.23906550711
"weight_good_fat_intake_to_nutrition_outcome",0.418065039103182,-1765.75245818424
"weight_vegetable_intake_to_nutrition_outcome",0.157842645935005,666.669092120025
"weight_fruit_intake_to_nutrition_outcome",0.0531985679226948,-224.691120508156
"chance_good_rest",0.0781443499305929,-330.052898656993
"chance_enough_recovery_time",0.387814342359977,-1637.98467771955
"chance_personal_problem",0.0766171117675838,-323.602408210934
"chance_good_team_relationship",0.140610743133986,-593.887893301385
"weight_good_rest_to_mental_health",0.207255955011202,875.372676030033
"weight_recovery_time_to_mental_health",0.269381313776453,-1137.76726705022
