"","VIP","Coefficient"
"var_CV",0.252855810139364,4077.77293889725
"total_egg_serving_all_athletes",0.279993683550941,-4515.42191265805
"total_dairy_serving_all_athletes",0.310351593008159,5004.9999911602
"total_sandwich_serving_all_athletes",10.351078659098,166930.506446353
"total_vegetable_mushroom_serving_all_athletes",0.0982324160616005,1584.18146578365
"total_bean_nut_serving_all_athletes",0.0719879163368067,-1160.93981389645
"total_fruit_serving_all_athletes",0.358979244232703,-5789.21183164071
"total_sports_drink_serving_all_athletes",0.584054099786222,9418.96490987328
"total_chicken_serving_all_athletes",0.389326406806371,6278.61659654215
"total_pork_serving_all_athletes",0.274393417815664,4425.10715163532
"total_beef_serving_all_athletes",0.186260319311281,3003.79607357758
"total_fish_serving_all_athletes",0.136476592809587,-2200.94035666059
"total_prawn_serving_all_athletes",0.0169098144711225,-272.702390402307
"total_rice_noodle_serving_all_athletes",0.206353964360385,-3327.84368782811
"total_fat_oil_serving_all_athletes",0.346634429553008,5590.12860231402
"total_prawn_serving_per_person",0.0978464668721052,-1577.95731313378
"total_beef_serving_per_person",0.619682387739594,9993.53770056938
"total_pork_serving_per_person",0.160301372615364,2585.15949844593
"total_dairy_serving_per_person",0.170254248568092,-2745.66824136098
"total_egg_serving_per_person",0.409932883690888,-6610.93458345881
"prior_knowledge_ch_1",0.171285574984112,-2762.30030905242
"prior_knowledge_ch_2",0.0502209623569273,-809.906962990424
"prior_knowledge_ch_3",0.465603101792146,7508.72098888369
"prior_knowledge_ch_4",0.0047163981016577,76.0607420387374
"weight_contribution_ch_1",0.694834919298745,-11205.5128547595
"weight_contribution_ch_2",0.081199382156109,1309.49193150381
"weight_contribution_ch_3",0.051524168043814,-830.923592510919
"weight_contribution_ch_4",0.269291262194701,4342.82534798707
"chance_of_good_learning_hour",0.431651550107495,6961.18870707877
"weight_learning_hour_to_interest_in_class",0.972792011267833,15688.090918445
"chance_of_good_learning_material",0.525004628193103,-8466.68172054934
"weight_learning_material_to_interest",0.092406405305124,1490.22614400801
"weight_learning_material_to_motivation_inter_one",0.447842695504563,7222.30121429593
"weight_learning_material_to_motivation_inter_two",0.67405090856658,10870.3318024489
"chance_of_good_trainer",0.240330807836076,3875.78384707522
"weight_good_trainer_to_interest",0.0841080982906653,-1356.40042031366
"weight_good_trainer_to_motivation_inter_one",0.527862670625187,-8512.77300111493
