"","VIP","Coefficient"
"var_CV",0.0275138453560673,850.859954195042
"total_egg_serving_all_athletes",0.0273158387037853,844.736639590679
"total_dairy_serving_all_athletes",0.420287189350497,12997.2940551063
"total_sandwich_serving_all_athletes",10.393429150502,321414.638211428
"total_vegetable_mushroom_serving_all_athletes",0.384757126095353,-11898.5342270057
"total_bean_nut_serving_all_athletes",0.229790868454583,7106.234889286
"total_fruit_serving_all_athletes",0.0756836213459093,-2340.50027389191
"total_sports_drink_serving_all_athletes",0.0379738617697764,-1174.33378969384
"total_chicken_serving_all_athletes",0.0021451508878327,66.3383457507256
"total_pork_serving_all_athletes",0.0719397816210227,-2224.72280783415
"total_beef_serving_all_athletes",0.63822433568069,19736.9550492034
"total_fish_serving_all_athletes",0.0843245899690002,2607.72043420377
"total_prawn_serving_all_athletes",0.327725624040045,-10134.8468689333
"total_rice_noodle_serving_all_athletes",0.221023431974008,6835.10373674338
"total_fat_oil_serving_all_athletes",0.256454005144355,7930.78685463145
"total_prawn_serving_per_person",0.453927428762114,-14037.6114732809
"total_beef_serving_per_person",0.204899387612328,6336.47101312839
"total_pork_serving_per_person",0.0108955519355001,336.942681068205
"total_dairy_serving_per_person",0.396509145844363,-12261.9629973552
"total_egg_serving_per_person",0.126139380553432,-3900.83414989524
"prior_knowledge_ch_1",0.233538797507862,-7222.13881697514
"prior_knowledge_ch_2",0.129941549379912,-4018.41543130733
"prior_knowledge_ch_3",0.0206221552672979,-637.735869307226
"prior_knowledge_ch_4",0.292289827263366,-9039.00221210417
"weight_contribution_ch_1",0.53583840251432,16570.6913271845
"weight_contribution_ch_2",0.280386876406507,-8670.90592858634
"weight_contribution_ch_3",0.0794380503003121,-2456.60520967354
"weight_contribution_ch_4",0.212926011172015,-6584.69267992751
"chance_of_good_learning_hour",0.348158713167831,-10766.735907137
"weight_learning_hour_to_interest_in_class",0.319976913136826,-9895.21959332499
"chance_of_good_learning_material",0.17374034593335,5372.88411959771
"weight_learning_material_to_interest",0.295791177090647,9147.28072843319
"weight_learning_material_to_motivation_inter_one",0.367422400557742,11362.4614394314
"weight_learning_material_to_motivation_inter_two",0.125456750657328,-3879.72396211108
"chance_of_good_trainer",0.0345077545735373,1067.14514441141
"weight_good_trainer_to_interest",0.19782101882605,6117.57392828526
"weight_good_trainer_to_motivation_inter_one",0.0136128516213509,420.974609586964
"weight_good_trainer_to_motivation_inter_two",0.154480198305884,4777.2680537219
"weight_good_trainer_to_successful_ch1",0.182091549305246,-5631.14334968814
"weight_good_trainer_to_successful_ch2",0.00916821268381426,-283.52507340383
"weight_good_trainer_to_successful_ch3",0.157185831938108,-4860.93921195482
"weight_good_trainer_to_successful_ch4",0.155142828930491,4797.75976818804
"chance_of_good_facility",0.208174101660157,6437.74086504034
"weight_good_facility_to_motivation",0.568976318051148,-17595.4744838422
"chance_athletes_understand_nutrition_importance",0.50885598014244,-15736.2655184217
"weight_understand_nutrition_importance_to_motivation",0.235649851735965,7287.42273060412
"weight_understand_nutrition_importance_to_persistence",0.061171299252899,-1891.70972675018
"weight_understand_nutrition_importance_to_interest",0.456532532058463,-14118.1737517526
"weight_motivation_to_learning_success",0.310573872423088,-9604.43251185942
"weight_persistence_to_learning_success",0.156337192466505,-4834.69521252137
