"","VIP","Coefficient"
"var_CV",0.114846272635837,1582.1182504332
"total_egg_serving_all_athletes",0.0370662963681375,-510.624007328007
"total_dairy_serving_all_athletes",0.0367661733329832,-506.48952285241
"total_sandwich_serving_all_athletes",0.130362894171292,1795.87468808572
"total_vegetable_mushroom_serving_all_athletes",0.373889533422451,-5150.68918561511
"total_bean_nut_serving_all_athletes",0.203476746857399,-2803.08857530489
"total_fruit_serving_all_athletes",0.366109926385034,-5043.5175901196
"total_sports_drink_serving_all_athletes",10.2113728584278,140671.516719782
"total_chicken_serving_all_athletes",0.454266257740079,6257.95613938193
"total_pork_serving_all_athletes",0.639315924290761,-8807.19389840567
"total_beef_serving_all_athletes",0.00740369131803725,101.99299364275
"total_fish_serving_all_athletes",0.336637395529086,4637.50503191054
"total_prawn_serving_all_athletes",0.289473636286629,3987.77872783506
"total_rice_noodle_serving_all_athletes",0.0902067677695602,1242.68528986874
"total_fat_oil_serving_all_athletes",0.197513884052576,2720.94438505978
"total_prawn_serving_per_person",0.226990490797734,3127.01309257658
"total_beef_serving_per_person",0.0305261278225009,-420.526873311556
"total_pork_serving_per_person",0.250840098339429,-3455.56445511868
"total_dairy_serving_per_person",0.413658872654207,5698.55021725469
"total_egg_serving_per_person",0.32378088283543,4460.39416098087
"prior_knowledge_ch_1",0.123218264203791,1697.45051458192
"prior_knowledge_ch_2",0.0621840820531148,-856.645747786928
"prior_knowledge_ch_3",0.338228265431692,-4659.4208002608
"prior_knowledge_ch_4",0.706029908087847,-9726.2434147897
"weight_contribution_ch_1",0.53552550697617,7377.38072567715
"weight_contribution_ch_2",0.24542123155117,3380.91433504421
"weight_contribution_ch_3",0.0972345539263061,1339.49982710658
"weight_contribution_ch_4",0.207079666519633,-2852.72227104128
"chance_of_good_learning_hour",0.720379745993,9923.9262818035
"weight_learning_hour_to_interest_in_class",0.359649559415377,4954.51979983345
"chance_of_good_learning_material",0.229534811456703,-3162.063565327
"weight_learning_material_to_interest",0.4556755062483,6277.36989773108
"weight_learning_material_to_motivation_inter_one",0.148024339042363,2039.17813728118
"weight_learning_material_to_motivation_inter_two",0.0160535126523458,-221.152630972814
"chance_of_good_trainer",0.152484581189712,2100.62227770224
"weight_good_trainer_to_interest",0.859224886011169,11836.652093143
