"","VIP","Coefficient"
"var_CV",0.51809845692095,1813.70766136707
"total_egg_serving_all_athletes",0.277514837810733,-971.496403350923
"total_dairy_serving_all_athletes",0.384908017102456,-1347.44778760622
"total_sandwich_serving_all_athletes",0.037559473711882,-131.484478129896
"total_vegetable_mushroom_serving_all_athletes",0.310915607315541,1088.42250250676
"total_bean_nut_serving_all_athletes",0.268894798923494,-941.320226675968
"total_fruit_serving_all_athletes",0.0523144398214692,183.137199188381
"total_sports_drink_serving_all_athletes",10.3588194172812,36263.1269961636
"total_chicken_serving_all_athletes",0.0118314624681451,41.4184096420228
"total_pork_serving_all_athletes",0.272689145123143,954.603097296894
"total_beef_serving_all_athletes",0.265590588916351,929.75317619615
"total_fish_serving_all_athletes",0.226786149184778,793.910444576223
"total_prawn_serving_all_athletes",0.401416578545162,-1405.23932117829
"total_rice_noodle_serving_all_athletes",0.494227565867314,1730.14281493819
"total_fat_oil_serving_all_athletes",0.271732334387476,-951.25358922835
"total_prawn_serving_per_person",0.0297726580260603,-104.22516654854
"total_beef_serving_per_person",0.178809934380136,-625.960072996854
"total_pork_serving_per_person",0.554134463081077,-1939.85893548226
"total_dairy_serving_per_person",0.333245204714355,-1166.5917410684
"total_egg_serving_per_person",0.17816700976207,623.709386298427
"prior_knowledge_ch_1",0.263793339188671,923.461542710392
"prior_knowledge_ch_2",0.105728951524351,370.125420846951
"prior_knowledge_ch_3",0.372162820437372,1302.83066796747
"prior_knowledge_ch_4",0.342835572884143,1200.16475019923
"weight_contribution_ch_1",0.599757755095726,2099.57242846489
"weight_contribution_ch_2",0.546163009885933,1911.95326323188
"weight_contribution_ch_3",0.187515254055421,656.434792191245
"weight_contribution_ch_4",0.274794492882487,-961.973289795938
"chance_of_good_learning_hour",0.314103641902671,-1099.58285760557
"weight_learning_hour_to_interest_in_class",0.0509876061664866,-178.49235160535
"chance_of_good_learning_material",0.459198968870954,-1607.5181788472
"weight_learning_material_to_interest",0.138551634166531,485.027810884034
"weight_learning_material_to_motivation_inter_one",0.147779575669747,517.332072708123
"weight_learning_material_to_motivation_inter_two",0.47263616372216,1654.55777706131
"chance_of_good_trainer",0.230588583095684,807.221627854085
"weight_good_trainer_to_interest",0.864413203744265,-3026.05195841576
"weight_good_trainer_to_motivation_inter_one",0.292696705410251,-1024.64357877922
"weight_good_trainer_to_motivation_inter_two",0.366076597136143,1281.52462143757
"weight_good_trainer_to_successful_ch1",0.0486167433735058,170.192670426536
"weight_good_trainer_to_successful_ch2",0.113143123506507,396.080218332057
"weight_good_trainer_to_successful_ch3",0.168026492331952,588.210469234413
"weight_good_trainer_to_successful_ch4",0.37423982568489,-1310.10164181386
"chance_of_good_facility",0.75798840191763,2653.49057388747
"weight_good_facility_to_motivation",0.419565141623954,1468.77200972253
"chance_athletes_understand_nutrition_importance",0.243241236191902,-851.514780151068
"weight_understand_nutrition_importance_to_motivation",0.0831514833105845,-291.08846073528
"weight_understand_nutrition_importance_to_persistence",0.748007358107037,2618.54992624437
"weight_understand_nutrition_importance_to_interest",0.261830113524216,916.588877136796
"weight_motivation_to_learning_success",0.401256957230934,-1404.68053472242
"weight_persistence_to_learning_success",0.0481710099849899,-168.632291215058
"weight_interest_to_learning_success",0.0732677858097788,256.488593392728
"weight_knowledge_to_learning_success",0.625266021474838,-2188.86923593839
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0893570066532476,312.812141010779
"weight_motivation_to_maintain_good_nutrition_inter_one",0.210489902279097,736.86216066506
"weight_persistence_to_maintain_good_nutrition_inter_one",0.465613507276334,-1629.97355831139
"weight_interest_to_maintain_good_nutrition_inter_one",0.442088664139947,-1547.62012208906
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0822365342183424,-287.885497753644
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.20454531975765,-716.051956120437
"weight_motivation_to_maintain_good_nutrition_inter_two",0.129754537471352,454.231807806442
"weight_interest_to_maintain_good_nutrition_inter_two",0.267419270241208,936.154842297999
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.152323609924883,-533.239376873885
"chance_good_nutritionist_inter_one",0.183069249811981,640.870661761831
"chance_good_nutrition_team_inter_two",0.508574305828521,1780.36645840921
"weight_good_nutritionist_to_maintain_good_nutrition",0.25502930756982,892.781290570597
"weight_good_nutrition_team_to_maintain_good_nutrition",0.15015372304043,-525.643252210589
"chance_good_support",0.00327771367831814,11.4742947613918
"weight_good_support_to_maintain_good_nutrition_inter_one",0.247828257212178,867.572568118183
"weight_good_support_to_maintain_good_nutrition_inter_two",0.19383774576344,678.567943712124
"chance_good_kitchen_staff",0.0756506723217877,264.830366013869
"chance_regular_audit",0.391590858176082,-1370.84241442478
"weight_good_kitchen_staff_to_good_food_safety",0.0151737229531058,53.1186634584176
"weight_regular_audit_to_good_food_safety",0.445385157635239,1559.16015936999
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0116295925745809,-40.7117235524081
"weight_good_food_safety_to_maintain_good_nutrition",0.0707883506879664,247.808832979969
"weight_tasty_food_to_maintain_good_nutrition",0.519136991122644,1817.34325883516
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.288005565315874,1008.22130109037
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.0716604216721956,250.861692536341
"chance_athletes_good_health",0.132039504108349,-462.230792246813
"weight_good_health_to_maintain_good_nutrition",0.136296675754931,477.13387626109
"total_main_meals_all_athletes",0.172969914545828,605.515911130463
"total_snack_time_all_athletes",0.0621949840708981,217.726027941446
"pork_restriction",0.299513173736821,-1048.50599462357
"beef_restriction",0.192265797222364,-673.06502226131
"prawn_restriction",0.165261525192992,-578.531146672511
"egg_restriction",0.36880041475087,1291.05989182875
"dairy_restriction",0.321218983626151,-1124.49153977732
"percent_athlete_with_dietary_restriction",0.0558252883786128,195.427629397021
"number_athlete",0.393966681418716,-1379.15946065345
"chance_good_water_intake_current",0.0624437637000374,218.596930977991
"weight_current_good_water_intake_to_maintain_good_water_intake",0.321827478125518,-1126.62169693309
"weight_good_learning_outcome_to_maintain_good_water_intake",0.410629969547328,-1437.49264605231
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.299611196545991,-1048.84914314603
"weight_good_water_intake_to_nutrition_outcome",0.636398826541883,2227.84185508612
"weight_good_carb_intake_to_nutrition_outcome",0.43927871559108,1537.78333307136
"weight_good_protein_intake_to_nutrition_outcome",0.391600958470819,1370.87777253423
"weight_good_fat_intake_to_nutrition_outcome",0.0982901757325434,344.084492786724
"weight_vegetable_intake_to_nutrition_outcome",0.0439141325633787,153.730237194359
"weight_fruit_intake_to_nutrition_outcome",0.176459235145635,-617.730978402514
"chance_good_rest",0.291407131166462,-1020.12916524523
"chance_enough_recovery_time",0.0730407352019112,-255.69375715744
"chance_personal_problem",0.0255404225003728,-89.4093764316034
