"","VIP","Coefficient"
"var_CV",0.384873128593019,-8593.00746563707
"total_egg_serving_all_athletes",0.478183472849767,10676.3342173659
"total_dairy_serving_all_athletes",0.0354481653272355,791.446132946775
"total_sandwich_serving_all_athletes",0.386344486550129,-8625.85826495448
"total_vegetable_mushroom_serving_all_athletes",10.4395735334395,233082.869772842
"total_bean_nut_serving_all_athletes",0.408070419515579,-9110.93007252007
"total_fruit_serving_all_athletes",0.149515701844983,3338.21575665911
"total_sports_drink_serving_all_athletes",0.312712562646922,6981.88879864616
"total_chicken_serving_all_athletes",0.112036009560112,2501.41201099092
"total_pork_serving_all_athletes",0.297888746067259,-6650.91955949987
"total_beef_serving_all_athletes",0.224663410303256,5016.0279286029
"total_fish_serving_all_athletes",0.0554085150535026,-1237.09801527372
"total_prawn_serving_all_athletes",0.326174646082965,7282.45481605516
"total_rice_noodle_serving_all_athletes",0.137634422533673,3072.94412754685
"total_fat_oil_serving_all_athletes",0.3979048597863,-8883.96506988293
"total_prawn_serving_per_person",0.285312138673538,-6370.12343943376
"total_beef_serving_per_person",0.0585873069645403,1308.070449029
"total_pork_serving_per_person",0.617743652534477,-13792.2744502432
"total_dairy_serving_per_person",0.440473160353852,-9834.38144712828
"total_egg_serving_per_person",0.159996363640866,3572.21599820904
"prior_knowledge_ch_1",0.0845184320154221,-1887.0309806961
"prior_knowledge_ch_2",0.338649289957647,7560.97441117
"prior_knowledge_ch_3",0.00485165068458374,-108.322113070607
"prior_knowledge_ch_4",0.295170137050787,-6590.2215636172
"weight_contribution_ch_1",0.566105412047513,-12639.3548176386
"weight_contribution_ch_2",0.119202887121488,2661.4258644271
"weight_contribution_ch_3",0.350947321935686,7835.55081765037
"weight_contribution_ch_4",0.175416079083305,3916.48978629932
"chance_of_good_learning_hour",0.132353040104933,-2955.027455097
"weight_learning_hour_to_interest_in_class",0.31177725698799,-6961.0063625581
"chance_of_good_learning_material",0.299497695576185,6686.84234577643
"weight_learning_material_to_interest",0.284555679797166,-6353.23408995935
"weight_learning_material_to_motivation_inter_one",0.0125959285828461,281.227501500845
"weight_learning_material_to_motivation_inter_two",0.398082881215464,-8887.93972894902
"chance_of_good_trainer",0.00207315249337939,-46.2869801228736
"weight_good_trainer_to_interest",0.261443006004415,5837.20071766862
"weight_good_trainer_to_motivation_inter_one",0.154195474746786,3442.70037898046
"weight_good_trainer_to_motivation_inter_two",0.259354258621324,-5790.56555266671
"weight_good_trainer_to_successful_ch1",0.631601862782934,14101.6847345119
"weight_good_trainer_to_successful_ch2",0.188131481983032,-4200.38477383812
"weight_good_trainer_to_successful_ch3",0.361624806835776,8073.94550058424
"weight_good_trainer_to_successful_ch4",0.242321113109003,-5410.26894145428
"chance_of_good_facility",0.319867697869984,-7141.64048256906
"weight_good_facility_to_motivation",0.253280670228884,5654.96141062064
"chance_athletes_understand_nutrition_importance",0.142906282881872,-3190.64820186214
"weight_understand_nutrition_importance_to_motivation",0.470958198811238,-10515.0165541107
"weight_understand_nutrition_importance_to_persistence",0.0326356624422493,728.651782049473
"weight_understand_nutrition_importance_to_interest",0.115257333286118,2573.33404651465
"weight_motivation_to_learning_success",0.736075895949368,16434.2615767723
"weight_persistence_to_learning_success",0.686648983661844,-15330.7139535783
"weight_interest_to_learning_success",0.132989446112568,-2969.23640128865
"weight_knowledge_to_learning_success",0.0362106248819893,808.469458711805
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.062653267931131,1398.85057979216
"weight_motivation_to_maintain_good_nutrition_inter_one",0.189517774992295,-4231.33634019379
"weight_persistence_to_maintain_good_nutrition_inter_one",0.499692852382796,11156.5710673227
"weight_interest_to_maintain_good_nutrition_inter_one",0.505737200810856,-11291.5223728532
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0173886311103447,-388.233487473231
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0355455850073542,-793.621208254371
"weight_motivation_to_maintain_good_nutrition_inter_two",0.122737557325541,2740.34394208826
"weight_interest_to_maintain_good_nutrition_inter_two",0.0774129812321605,1728.38859417644
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.370854656238538,-8280.01903217784
"chance_good_nutritionist_inter_one",0.253306140323653,5655.53007779495
