"","VIP","Coefficient"
"var_CV",0.00235033567100252,12.1440660591048
"total_egg_serving_all_athletes",0.122673801886401,-633.849357013137
"total_dairy_serving_all_athletes",0.0347571855757417,-179.588627644974
"total_sandwich_serving_all_athletes",0.190309534438961,-983.319781262744
"total_vegetable_mushroom_serving_all_athletes",10.3023472142348,53231.7092733126
"total_bean_nut_serving_all_athletes",0.343025480041296,1772.3953820608
"total_fruit_serving_all_athletes",0.259683029183321,-1341.76913525103
"total_sports_drink_serving_all_athletes",0.377227430627019,-1949.11513847163
"total_chicken_serving_all_athletes",0.00874880650439265,-45.2046426552986
"total_pork_serving_all_athletes",0.409887235548313,-2117.8667058903
"total_beef_serving_all_athletes",0.172013059724258,888.782817744971
"total_fish_serving_all_athletes",0.0546735715866107,-282.495591258158
"total_prawn_serving_all_athletes",0.171820954090908,887.790217611075
"total_rice_noodle_serving_all_athletes",0.528336574386559,2729.88847505972
"total_fat_oil_serving_all_athletes",0.0953292359955217,492.561362011668
"total_prawn_serving_per_person",0.319779791471105,1652.2860797732
"total_beef_serving_per_person",0.528042174909727,2728.36732778764
"total_pork_serving_per_person",0.0987705766819153,510.3425960469
"total_dairy_serving_per_person",0.204063625681988,-1054.3864781176
"total_egg_serving_per_person",0.2639008086813,1363.56218952755
"prior_knowledge_ch_1",0.369189861521646,-1907.58542364216
"prior_knowledge_ch_2",0.0409210131583967,211.436814380261
"prior_knowledge_ch_3",0.155108706995831,-801.438878428905
"prior_knowledge_ch_4",0.240028583528575,1240.21560426772
"weight_contribution_ch_1",0.44098025011234,-2278.5227464299
"weight_contribution_ch_2",0.120025951441873,620.168047100814
"weight_contribution_ch_3",0.140316330345965,-725.00741316058
"weight_contribution_ch_4",0.200710979634326,-1037.06352481441
"chance_of_good_learning_hour",0.323603529367946,1672.04314093891
"weight_learning_hour_to_interest_in_class",0.0961978198719057,-497.049291162734
"chance_of_good_learning_material",0.049118830348826,-253.794522995804
"weight_learning_material_to_interest",0.144523208268558,746.744139546036
"weight_learning_material_to_motivation_inter_one",0.0125267099551743,64.7248795462455
"weight_learning_material_to_motivation_inter_two",0.118259782221972,611.0423396784
"chance_of_good_trainer",0.154331730272479,-797.424278824608
"weight_good_trainer_to_interest",0.276006808263735,-1426.11327976305
"weight_good_trainer_to_motivation_inter_one",0.299080632709373,-1545.33456877343
"weight_good_trainer_to_motivation_inter_two",0.0199310350001629,102.982654203204
"weight_good_trainer_to_successful_ch1",0.0613787322704393,317.140818867964
"weight_good_trainer_to_successful_ch2",0.0660819093983693,341.441898255867
"weight_good_trainer_to_successful_ch3",0.273472368191425,-1413.0179555331
"weight_good_trainer_to_successful_ch4",0.0187851861651841,-97.0621109729705
"chance_of_good_facility",0.624540950983964,3226.97164449294
"weight_good_facility_to_motivation",0.874314966614961,-4517.54140569513
"chance_athletes_understand_nutrition_importance",0.423957192964697,-2190.5654673572
"weight_understand_nutrition_importance_to_motivation",0.152019057490003,-785.474815013975
"weight_understand_nutrition_importance_to_persistence",0.632646175478093,-3268.85093130927
"weight_understand_nutrition_importance_to_interest",0.455645358840302,-2354.29662475442
"weight_motivation_to_learning_success",0.129206988762457,667.606004618056
"weight_persistence_to_learning_success",0.349830680801335,-1807.55751170679
"weight_interest_to_learning_success",0.640173026956437,-3307.74179387746
"weight_knowledge_to_learning_success",0.17602238707537,909.498810275394
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0265541735172905,137.204077407955
"weight_motivation_to_maintain_good_nutrition_inter_one",0.55169840243528,-2850.59786418459
"weight_persistence_to_maintain_good_nutrition_inter_one",0.190584251749491,-984.739231772655
"weight_interest_to_maintain_good_nutrition_inter_one",0.225975890648097,-1167.60604778848
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.322440577263771,1666.03422597798
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.425210347122701,2197.04045178806
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0220668036721087,114.01806338287
"weight_interest_to_maintain_good_nutrition_inter_two",0.0396266374835338,204.74884044753
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.0396601265589508,-204.921876813842
"chance_good_nutritionist_inter_one",0.118163557603452,-610.54515191997
"chance_good_nutrition_team_inter_two",0.0186567414857253,-96.3984437821378
"weight_good_nutritionist_to_maintain_good_nutrition",0.496160454535258,2563.63608404137
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0579605470289304,-299.479227850441
"chance_good_support",0.0933752532415577,482.465231516245
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0356713367507279,184.312000733341
"weight_good_support_to_maintain_good_nutrition_inter_two",0.129138738630485,-667.253359622946
"chance_good_kitchen_staff",0.123184887151304,-636.490108840803
"chance_regular_audit",0.242876745920992,1254.93191592793
"weight_good_kitchen_staff_to_good_food_safety",0.811180020889274,4191.32632033938
"weight_regular_audit_to_good_food_safety",0.408123578296328,-2108.75397767961
"chance_tasty_food_conditional_on_good_kitchen_staff",0.522739537493225,-2700.96886727497
"weight_good_food_safety_to_maintain_good_nutrition",0.0156446267788484,-80.8349987690636
"weight_tasty_food_to_maintain_good_nutrition",0.164987765512105,852.483476314881
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.369366505973902,1908.4981366319
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.279936115305055,1446.41581138226
"chance_athletes_good_health",0.492854246598285,-2546.55307411768
"weight_good_health_to_maintain_good_nutrition",0.401606234593128,2075.07919095105
"total_main_meals_all_athletes",0.54524438139909,-2817.2502624878
"total_snack_time_all_athletes",0.408750224822899,2111.99182872713
"pork_restriction",0.829325950164766,4285.08542315358
"beef_restriction",0.029832435411442,154.14269153563
"prawn_restriction",0.176563091640541,-912.292603536036
"egg_restriction",0.210011933134701,1085.12108319416
"dairy_restriction",0.494565722572259,2555.39618429252
"percent_athlete_with_dietary_restriction",0.0495318580364281,-255.928616259316
"number_athlete",0.230339264327028,-1190.15137986647
"chance_good_water_intake_current",0.205123428235297,-1059.86242454337
"weight_current_good_water_intake_to_maintain_good_water_intake",0.507578708927653,-2622.63362951187
"weight_good_learning_outcome_to_maintain_good_water_intake",0.0208014564263822,107.480077881737
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.120766056160248,623.992130912113
"weight_good_water_intake_to_nutrition_outcome",0.323308635319507,1670.51943824024
"weight_good_carb_intake_to_nutrition_outcome",0.0362756433193625,187.434422343153
"weight_good_protein_intake_to_nutrition_outcome",0.562979746806024,-2908.88800246743
"weight_good_fat_intake_to_nutrition_outcome",0.392770197828816,-2029.42383393529
"weight_vegetable_intake_to_nutrition_outcome",0.386616974862485,-1997.63044071855
"weight_fruit_intake_to_nutrition_outcome",0.24576244495287,-1269.84217751404
"chance_good_rest",0.326378462901466,-1686.38108277269
"chance_enough_recovery_time",0.322518357269837,-1666.43611135266
"chance_personal_problem",0.0034488694877579,17.8201349727624
"chance_good_team_relationship",0.349233153408681,1804.4701177579
"weight_good_rest_to_mental_health",0.765858033166103,3957.1498919974
"weight_recovery_time_to_mental_health",0.145171189400035,-750.092225422788
"weight_personal_problem_to_mental_health",0.0766198522656499,395.890918404866
"weight_nutrition_outcome_to_mental_health",0.771255199097419,3985.03677658605
"weight_team_relationship_to_mental_health",0.13682662558463,-706.976284385539
"forty_dash_current_sec",0.298730776225985,-1543.52687794106
"percent_increment_40_dash_if_optimal_training",0.111002069261621,-573.542102279999
"percent_increment_40_dash_current",0.500690597366498,2587.04310393155
"ten_dash_current_sec",0.116582945869701,602.378210684602
"percent_increment_10_dash_if_optimal_training",0.297755330112829,-1538.48679699372
"percent_increment_10_dash_current",0.539013055786466,2785.05331683058
"shuttle_run_current",0.0806485696560987,416.707098292144
"percent_increment_shuttle_run_if_optimal_training",0.150143405207167,775.783414118478
"percent_increment_shuttle_run_current",0.056140799849779,290.076685810538
"weight_nutrition_outcome_to_sports_performance",0.361027723106052,-1865.41206545956
"weight_water_intake_to_sports_performance",0.339692264061882,1755.17282294183
"weight_mental_health_to_sports_performance",0.0262764310484428,135.768996057355
