"","VIP","Coefficient"
"var_CV",0.369171074868858,1745.75704308164
"total_egg_serving_all_athletes",0.165887810228001,784.459652397736
"total_dairy_serving_all_athletes",0.164406747570717,-777.455919599557
"total_sandwich_serving_all_athletes",5.39032695247232e-05,-0.254900827350414
"total_vegetable_mushroom_serving_all_athletes",8.67107182805187,41004.2545187641
"total_bean_nut_serving_all_athletes",0.0271589512204143,128.430783458839
"total_fruit_serving_all_athletes",0.528205152075476,2497.80637541914
"total_sports_drink_serving_all_athletes",0.151789533444887,717.790924361073
"total_chicken_serving_all_athletes",0.420969141852466,-1990.70266967704
"total_pork_serving_all_athletes",0.123368295437717,583.390967805042
"total_beef_serving_all_athletes",0.560609827795795,2651.0434373629
"total_fish_serving_all_athletes",0.355507439140481,1681.14367022899
"total_prawn_serving_all_athletes",0.261316419861243,-1235.72785491848
"total_rice_noodle_serving_all_athletes",0.219772605180188,1039.27311614542
"total_fat_oil_serving_all_athletes",0.352634985911408,-1667.56025105846
"total_prawn_serving_per_person",0.0190378795312056,-90.0274006806961
"total_beef_serving_per_person",0.287530048063799,1359.68834146416
"total_pork_serving_per_person",0.538918758211404,-2548.4694816098
"total_dairy_serving_per_person",0.602577965126153,-2849.5047370612
"total_egg_serving_per_person",0.36533331225119,1727.60881431846
"prior_knowledge_ch_1",0.08466037769978,400.346778771455
"prior_knowledge_ch_2",0.110119588467986,520.739733516581
"prior_knowledge_ch_3",0.689379011833936,-3259.97443242073
"prior_knowledge_ch_4",0.0770435557268129,364.327920549884
"weight_contribution_ch_1",0.271808442976437,1285.3431267976
"weight_contribution_ch_2",0.136168092629294,643.91937216378
"weight_contribution_ch_3",0.271112058515325,-1282.05002460071
"weight_contribution_ch_4",0.101245071541358,-478.773416317671
"chance_of_good_learning_hour",0.273266587050218,-1292.23848090284
"weight_learning_hour_to_interest_in_class",0.509621070538608,2409.92492034113
"chance_of_good_learning_material",0.972660554972581,-4599.57220368437
"weight_learning_material_to_interest",0.107494011488318,508.323756706815
"weight_learning_material_to_motivation_inter_one",0.526739726687931,2490.87658902587
"weight_learning_material_to_motivation_inter_two",0.234538410114447,1109.09848902955
