"","VIP","Coefficient"
"var_CV",0.293618895961973,1360.80661599743
"total_egg_serving_all_athletes",0.192686042833256,-893.023049619458
"total_dairy_serving_all_athletes",0.133968753480928,620.89180424337
"total_sandwich_serving_all_athletes",0.226434923881552,-1049.43566898636
"total_vegetable_mushroom_serving_all_athletes",8.30996528093889,38513.3786977905
"total_bean_nut_serving_all_athletes",0.268470724334112,-1244.25485859329
"total_fruit_serving_all_athletes",0.073510202525312,340.69050498954
"total_sports_drink_serving_all_athletes",0.0136755974160112,63.3809461766919
"total_chicken_serving_all_athletes",0.135424106946356,-627.636787797242
"total_pork_serving_all_athletes",0.00748344085172202,34.6827672247895
"total_beef_serving_all_athletes",0.280471709082358,1299.87464215795
"total_fish_serving_all_athletes",0.383325235481608,1776.55976402044
"total_prawn_serving_all_athletes",0.608130245002179,2818.44142924059
"total_rice_noodle_serving_all_athletes",0.623935239896073,2891.69128445495
"total_fat_oil_serving_all_athletes",0.0576773271326396,267.311434769884
"total_prawn_serving_per_person",0.0889375019102842,412.189891979818
"total_beef_serving_per_person",0.424178966323419,1965.90053187387
"total_pork_serving_per_person",0.327769154928327,1519.07946212059
"total_dairy_serving_per_person",0.101463522384187,-470.243006978298
"total_egg_serving_per_person",0.260060979249105,-1205.27904025219
"prior_knowledge_ch_1",0.652164918876417,-3022.52460088058
"prior_knowledge_ch_2",0.319979153022292,1482.97590653152
"prior_knowledge_ch_3",0.166719923211045,-772.68042910139
"prior_knowledge_ch_4",0.445180942520258,2063.23632514441
"weight_contribution_ch_1",0.0124952403958799,-57.9104615984727
"weight_contribution_ch_2",0.266625450885841,1235.70275124848
"weight_contribution_ch_3",0.208912460286562,968.226030517715
"weight_contribution_ch_4",0.0110748570140616,-51.3275504513594
"chance_of_good_learning_hour",0.359526176293566,1666.26060533893
"weight_learning_hour_to_interest_in_class",0.446773472946527,-2070.61706926561
"chance_of_good_learning_material",0.397446256394103,-1842.00507066328
"weight_learning_material_to_interest",0.0748404601626132,-346.855719213543
"weight_learning_material_to_motivation_inter_one",0.119971769847174,556.02136097569
"weight_learning_material_to_motivation_inter_two",0.0367278948199889,-170.219161471037
"chance_of_good_trainer",1.28943040293893,-5975.99625677628
"weight_good_trainer_to_interest",0.535392813354117,-2481.33240942408
"weight_good_trainer_to_motivation_inter_one",0.0401949744124454,-186.287694227238
"weight_good_trainer_to_motivation_inter_two",0.452020863415037,-2094.93663372305
"weight_good_trainer_to_successful_ch1",0.0808387818277431,374.655550624416
"weight_good_trainer_to_successful_ch2",0.640317180253462,2967.61505205912
"weight_good_trainer_to_successful_ch3",0.0743707366526794,-344.678737865277
"weight_good_trainer_to_successful_ch4",0.116021697876298,537.714350951616
"chance_of_good_facility",0.122579467468301,568.107000640413
"weight_good_facility_to_motivation",0.699118031540673,-3240.13357371544
"chance_athletes_understand_nutrition_importance",2.80031797768314,-12978.3582846156
"weight_understand_nutrition_importance_to_motivation",0.0121074443675648,56.1131814906658
"weight_understand_nutrition_importance_to_persistence",0.638770145832254,-2960.44516379747
"weight_understand_nutrition_importance_to_interest",0.465731891429551,-2158.48178660958
"weight_motivation_to_learning_success",0.475726812450543,2204.80426393917
"weight_persistence_to_learning_success",0.37225962570907,1725.27507084979
"weight_interest_to_learning_success",0.621991401059918,-2882.68236580206
"weight_knowledge_to_learning_success",0.0878334111226759,407.072871007729
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.127156279254816,-589.318700040275
"weight_motivation_to_maintain_good_nutrition_inter_one",1.62394131708281,-7526.32108719622
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0525877269712764,-243.72316552831
"weight_interest_to_maintain_good_nutrition_inter_one",0.381325893922088,-1767.29361235497
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.311742854453395,1444.80394369798
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.345522580803523,1601.35951875126
"weight_motivation_to_maintain_good_nutrition_inter_two",0.128313935597117,594.683976019853
"weight_interest_to_maintain_good_nutrition_inter_two",0.33706134112222,1562.14504346985
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.253828758347254,-1176.39517905582
"chance_good_nutritionist_inter_one",0.0142742779065403,66.1555917583785
"chance_good_nutrition_team_inter_two",1.34232079853208,-6221.12217079513
"weight_good_nutritionist_to_maintain_good_nutrition",0.0273128182209286,126.58403204877
"weight_good_nutrition_team_to_maintain_good_nutrition",0.370961848205578,-1719.26038910713
"chance_good_support",1.20345888326961,-5577.55251094693
"weight_good_support_to_maintain_good_nutrition_inter_one",0.248732534399897,-1152.77621120483
"weight_good_support_to_maintain_good_nutrition_inter_two",0.494135967348594,2290.12336337286
"chance_good_kitchen_staff",3.41577995408082,-15830.7793681868
"chance_regular_audit",0.0725373610701498,-336.181772388513
"weight_good_kitchen_staff_to_good_food_safety",1.12920033257137,5233.39371028977
"weight_regular_audit_to_good_food_safety",0.744245384965288,-3449.28087978877
"chance_tasty_food_conditional_on_good_kitchen_staff",0.746915881889976,-3461.6575692086
"weight_good_food_safety_to_maintain_good_nutrition",0.0982269258844618,455.24267154106
"weight_tasty_food_to_maintain_good_nutrition",0.378990321039686,1756.46916244992
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.304604076034286,1411.71854954773
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.0587086095882363,272.091018127216
"chance_athletes_good_health",2.18454810925151,-10124.5102441198
"weight_good_health_to_maintain_good_nutrition",0.638034455399317,2957.03553171237
"total_main_meals_all_athletes",0.568375984780421,-2634.19626972313
"total_snack_time_all_athletes",0.0142747732564395,66.1578875078324
"pork_restriction",1.14129362856212,5289.44131969011
"beef_restriction",0.0819307434872183,-379.716357919399
"prawn_restriction",0.230299887281325,1067.34823468745
"egg_restriction",0.305138898010465,1414.19723635425
"dairy_restriction",0.474163058310214,2197.55688643991
"percent_athlete_with_dietary_restriction",0.289268962003712,1340.64640495189
"number_athlete",0.512829335073957,-2376.75967604138
"chance_good_water_intake_current",0.435696976640224,2019.28192134774
"weight_current_good_water_intake_to_maintain_good_water_intake",0.54626980713846,-2531.74294262701
"weight_good_learning_outcome_to_maintain_good_water_intake",0.429639032538729,1991.20576369567
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.761132772922132,3527.547195665
"weight_good_water_intake_to_nutrition_outcome",0.15521206868665,719.346107679648
"weight_good_carb_intake_to_nutrition_outcome",0.104229893478368,-483.064034981049
"weight_good_protein_intake_to_nutrition_outcome",1.02128560586148,-4733.2519411804
"weight_good_fat_intake_to_nutrition_outcome",0.0135870338747661,-62.9704894434232
"weight_vegetable_intake_to_nutrition_outcome",0.280119201194443,-1298.24090852342
"weight_fruit_intake_to_nutrition_outcome",0.164060231874822,760.353819279551
"chance_good_rest",0.140045034826089,-649.052947714966
"chance_enough_recovery_time",0.163136051622689,756.070611969761
"chance_personal_problem",0.633461827996762,2935.84322526526
"chance_good_team_relationship",0.226296907620691,1048.79601859779
"weight_good_rest_to_mental_health",0.857571018552672,3974.50004677244
"weight_recovery_time_to_mental_health",0.132613670004192,-614.611532143275
"weight_personal_problem_to_mental_health",0.291462875406478,1350.81431960067
"weight_nutrition_outcome_to_mental_health",0.00592605152722738,-27.4648881114147
"weight_team_relationship_to_mental_health",0.700559925412753,-3246.81617741595
"forty_dash_current_sec",0.160533814307883,-744.010278649654
"percent_increment_40_dash_if_optimal_training",0.139986918292484,-648.783600733163
"percent_increment_40_dash_current",0.441085900729363,2044.2574377551
"ten_dash_current_sec",0.261424744631535,1211.59954952663
"percent_increment_10_dash_if_optimal_training",0.720231972774439,-3337.98828032946
"percent_increment_10_dash_current",0.234918494644536,1088.7536399355
"shuttle_run_current",0.0162693650362212,-75.4020258363563
"percent_increment_shuttle_run_if_optimal_training",0.220869552346879,-1023.64238895902
"percent_increment_shuttle_run_current",0.755228220487849,3500.18194728494
"weight_nutrition_outcome_to_sports_performance",0.0801510807652673,-371.468330154222
"weight_water_intake_to_sports_performance",0.0342138464451276,-158.567548756398
"weight_mental_health_to_sports_performance",0.280013531406634,1297.75117115181
