"","VIP","Coefficient"
"var_CV",0.203432641811588,-155.150609557434
"total_egg_serving_all_athletes",0.0530456859814289,-40.4559978237579
"total_dairy_serving_all_athletes",0.298869756712359,227.936994374534
"total_sandwich_serving_all_athletes",0.0502100503761849,38.2933626206825
"total_vegetable_mushroom_serving_all_athletes",0.421755794392136,321.65766516921
"total_bean_nut_serving_all_athletes",8.62845813957098,6580.60834276097
"total_fruit_serving_all_athletes",0.0120938543610354,9.22353885445436
"total_sports_drink_serving_all_athletes",0.0926491387220034,70.6600977094093
"total_chicken_serving_all_athletes",0.578858192988224,-441.473898631354
"total_pork_serving_all_athletes",0.0259445885931993,19.7869855058945
"total_beef_serving_all_athletes",0.104739658401463,79.8810933246147
"total_fish_serving_all_athletes",0.551524608201098,-420.627576707068
"total_prawn_serving_all_athletes",0.550357907961853,419.737777254642
"total_rice_noodle_serving_all_athletes",0.304668339943821,-232.359360986496
"total_fat_oil_serving_all_athletes",0.318655864768298,-243.027132802227
"total_prawn_serving_per_person",0.120384313441466,-91.8126975359994
"total_beef_serving_per_person",0.261401997392957,-199.361709477333
"total_pork_serving_per_person",0.304120689912419,231.941688407309
"total_dairy_serving_per_person",0.154896822172024,-118.134121272224
"total_egg_serving_per_person",0.13213758083438,-100.776483210036
"prior_knowledge_ch_1",0.740265315553734,-564.573187073687
"prior_knowledge_ch_2",0.399592740975834,304.754717753436
"prior_knowledge_ch_3",0.682620330969611,-520.609473008376
"prior_knowledge_ch_4",0.195200182255702,-148.872014800573
"weight_contribution_ch_1",0.12303449432819,93.8338932317893
"weight_contribution_ch_2",0.556842030634766,424.682979638039
"weight_contribution_ch_3",0.0140105013997391,10.6852952064007
"weight_contribution_ch_4",0.0174942608066344,13.3422306456596
"chance_of_good_learning_hour",0.736914283840356,-562.017478174923
"weight_learning_hour_to_interest_in_class",0.329909107711521,-251.609568180301
"chance_of_good_learning_material",0.493116097288521,-376.081549133866
"weight_learning_material_to_interest",0.396953648339684,-302.7419786594
"weight_learning_material_to_motivation_inter_one",0.3388506686392,-258.428968528104
"weight_learning_material_to_motivation_inter_two",0.0568194844189762,43.3341353867289
"chance_of_good_trainer",1.16650180239805,-889.648111926518
"weight_good_trainer_to_interest",0.218018690611861,-166.274853642573
"weight_good_trainer_to_motivation_inter_one",0.514367774929112,-392.289423694673
"weight_good_trainer_to_motivation_inter_two",0.596609129918702,455.011886736183
"weight_good_trainer_to_successful_ch1",0.517683976497438,394.818568920136
"weight_good_trainer_to_successful_ch2",0.38841693710916,296.23134231689
"weight_good_trainer_to_successful_ch3",0.0506994767323688,38.6666301396961
"weight_good_trainer_to_successful_ch4",0.132246701068407,100.859705207615
"chance_of_good_facility",0.02603121993663,19.8530560519994
"weight_good_facility_to_motivation",0.560882155008545,427.764234217923
"chance_athletes_understand_nutrition_importance",3.39418084810863,-2588.61716017013
"weight_understand_nutrition_importance_to_motivation",0.239696732913519,182.807900882009
"weight_understand_nutrition_importance_to_persistence",1.51337488707888,-1154.19548273214
"weight_understand_nutrition_importance_to_interest",0.0950529202782599,72.4933736791602
"weight_motivation_to_learning_success",0.0888199492876608,67.7397154661341
"weight_persistence_to_learning_success",0.353033655248944,269.245811873651
"weight_interest_to_learning_success",0.111596911852765,-85.1108688581042
"weight_knowledge_to_learning_success",0.25212263510624,192.284680430923
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.23342182757757,-178.022260882852
"weight_motivation_to_maintain_good_nutrition_inter_one",1.58974874745862,-1212.44302298257
"weight_persistence_to_maintain_good_nutrition_inter_one",0.309689175153775,236.188567727238
"weight_interest_to_maintain_good_nutrition_inter_one",0.233480277096409,-178.066838185665
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0179433257070364,13.684715963688
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.293127747031777,223.557774333475
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0369535400036815,-28.1831086978964
"weight_interest_to_maintain_good_nutrition_inter_two",0.43698338349338,333.271188496191
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.557126215695216,-424.899717153531
"chance_good_nutritionist_inter_one",0.559422166558308,-426.65075461119
"chance_good_nutrition_team_inter_two",0.442712264124914,-337.640395493402
"weight_good_nutritionist_to_maintain_good_nutrition",0.510707113778779,-389.497571788314
"weight_good_nutrition_team_to_maintain_good_nutrition",0.207119554831514,-157.96248280124
"chance_good_support",1.1012934356874,-839.916083903344
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0809943790938249,-61.7714402921204
"weight_good_support_to_maintain_good_nutrition_inter_two",0.822254159838062,627.103069467902
"chance_good_kitchen_staff",2.64294428701627,-2015.67660678904
"chance_regular_audit",0.298583727800404,-227.718850621173
"weight_good_kitchen_staff_to_good_food_safety",0.534810678369258,407.880475856302
"weight_regular_audit_to_good_food_safety",0.483756517661199,-368.943341265902
"chance_tasty_food_conditional_on_good_kitchen_staff",0.201125299932169,153.390884589693
