"","VIP","Coefficient"
"var_CV",0.224579066142333,21.2160822929488
"total_egg_serving_all_athletes",0.295718366613381,-27.9366430245532
"total_dairy_serving_all_athletes",0.247252543143129,23.358055550649
"total_sandwich_serving_all_athletes",0.456273848386812,-43.1043893884564
"total_vegetable_mushroom_serving_all_athletes",0.0484578786212999,-4.57783692055983
"total_bean_nut_serving_all_athletes",0.494683005624489,-46.7329192187519
"total_fruit_serving_all_athletes",0.102288482902903,9.66323757670927
"total_sports_drink_serving_all_athletes",0.00979318363546057,-0.925166327783236
"total_chicken_serving_all_athletes",0.00517345920022041,0.488738946227185
"total_pork_serving_all_athletes",0.0212129122808818,-2.00399307181666
"total_beef_serving_all_athletes",0.0761120623488269,-7.19033971427833
"total_fish_serving_all_athletes",0.430397662597861,-40.6598548351866
"total_prawn_serving_all_athletes",0.57229601351854,-54.0650539130866
"total_rice_noodle_serving_all_athletes",0.0699014070328623,-6.60361639878848
"total_fat_oil_serving_all_athletes",0.261303010676458,-24.6854093444019
"total_prawn_serving_per_person",0.754678757987196,71.2948313003007
"total_beef_serving_per_person",5.26090378536526,496.999874310883
"total_pork_serving_per_person",0.451432108596269,-42.6469881194882
"total_dairy_serving_per_person",0.749092926241335,70.7671353398961
"total_egg_serving_per_person",0.443585358663999,41.9057022322732
"prior_knowledge_ch_1",0.0257581555269454,-2.43338418295806
"prior_knowledge_ch_2",0.174884201721429,16.5213867845855
"prior_knowledge_ch_3",0.412043259060011,38.9259063306085
"prior_knowledge_ch_4",0.353287033316353,33.3751800674115
"weight_contribution_ch_1",0.344106527101651,-32.5078936426892
"weight_contribution_ch_2",0.0310435140216922,2.93269430432626
"weight_contribution_ch_3",0.701378621576191,66.259544175166
"weight_contribution_ch_4",0.0926615721712469,8.75377912264197
"chance_of_good_learning_hour",0.0386766661398623,-3.65380151291647
"weight_learning_hour_to_interest_in_class",0.616657033958382,-58.2558588550502
"chance_of_good_learning_material",0.521118119861989,49.2302559862441
