"","VIP","Coefficient"
"var_CV",0.248018812844628,5.83819249970957
"total_egg_serving_all_athletes",0.19375477782871,4.56085438732867
"total_dairy_serving_all_athletes",0.132160248789674,-3.11096148068002
"total_sandwich_serving_all_athletes",0.117977518845661,2.77710975937365
"total_vegetable_mushroom_serving_all_athletes",0.285394711520687,-6.71799548246624
"total_bean_nut_serving_all_athletes",0.646891190360027,-15.2273742962153
"total_fruit_serving_all_athletes",0.781633963293995,18.3991266214147
"total_sports_drink_serving_all_athletes",0.371591141746355,-8.74700024494161
"total_chicken_serving_all_athletes",0.0535353743111158,-1.26018593987908
"total_pork_serving_all_athletes",0.0412903837831637,-0.971947273467555
"total_beef_serving_all_athletes",0.311829652310758,-7.34025583151301
"total_fish_serving_all_athletes",0.192807721327498,4.53856132778709
"total_prawn_serving_all_athletes",0.0333404513119048,0.784811323599202
"total_rice_noodle_serving_all_athletes",0.0362010926834631,0.852148856620348
"total_fat_oil_serving_all_athletes",0.203748454396411,4.79609866945748
"total_prawn_serving_per_person",0.0957061260479621,-2.25285647028519
"total_beef_serving_per_person",0.260991630409827,-6.1435637146613
"total_pork_serving_per_person",0.872757707416014,20.5441169686264
"total_dairy_serving_per_person",6.08851260707401,143.319404803677
"total_egg_serving_per_person",0.173033687566359,-4.07309415507869
"prior_knowledge_ch_1",0.499440055045326,-11.7564758494622
"prior_knowledge_ch_2",0.200122971336898,4.71075728844243
"prior_knowledge_ch_3",0.447600378372165,10.5362054672707
"prior_knowledge_ch_4",0.159393643979298,3.75201689786441
"weight_contribution_ch_1",0.166148039779004,3.91101073565291
"weight_contribution_ch_2",0.353015909459992,-8.30975203553847
"weight_contribution_ch_3",0.484758650553769,-11.4108856718272
"weight_contribution_ch_4",0.246672021904757,-5.8064899660443
"chance_of_good_learning_hour",0.285418809889699,6.71856274152055
"weight_learning_hour_to_interest_in_class",0.354813751258058,8.35207199659605
"chance_of_good_learning_material",0.300297178372017,7.06878931621108
"weight_learning_material_to_interest",0.0593687497069309,1.39749958997373
"weight_learning_material_to_motivation_inter_one",0.236269915027649,5.56163151496721
"weight_learning_material_to_motivation_inter_two",0.407100177253533,9.58285855097985
"chance_of_good_trainer",0.208098138152813,4.89848723745149
