"","VIP","Coefficient"
"var_CV",0.278693295705323,-18.5010556585114
"total_egg_serving_all_athletes",0.414757317309792,-27.5336663298743
"total_dairy_serving_all_athletes",0.166008150654067,-11.0204518097375
"total_sandwich_serving_all_athletes",0.318513330359922,-21.1445088338169
"total_vegetable_mushroom_serving_all_athletes",0.189698945962791,12.59316536028
"total_bean_nut_serving_all_athletes",0.287694748973371,19.0986171732159
"total_fruit_serving_all_athletes",0.42059575852196,27.9212512753675
"total_sports_drink_serving_all_athletes",0.173649096169598,11.5276960113202
"total_chicken_serving_all_athletes",0.293946644105481,19.513649258999
"total_pork_serving_all_athletes",0.229510554771456,-15.2360591857662
"total_beef_serving_all_athletes",0.121643854415769,-8.07532780925458
"total_fish_serving_all_athletes",0.137319024429936,-9.1159240394394
"total_prawn_serving_all_athletes",0.0475685968830688,3.15784151284893
"total_rice_noodle_serving_all_athletes",0.434323752200499,-28.832584195966
"total_fat_oil_serving_all_athletes",0.441088762051478,-29.2816794046131
"total_prawn_serving_per_person",0.590576154353573,39.2054005986496
"total_beef_serving_per_person",0.179237127111151,-11.8986574698997
"total_pork_serving_per_person",0.129414176433499,-8.59116067050356
"total_dairy_serving_per_person",0.518772834203647,34.4387368753704
"total_egg_serving_per_person",5.18612630553539,344.281017553549
"prior_knowledge_ch_1",0.428206624025773,-28.4264986152402
"prior_knowledge_ch_2",0.0419751174967138,2.7865183592374
"prior_knowledge_ch_3",0.455986041369113,-30.2706353574947
"prior_knowledge_ch_4",0.810730871821181,53.8203724839395
"weight_contribution_ch_1",0.0890271065928861,-5.91006486188594
"weight_contribution_ch_2",0.528732884379385,-35.0999348499989
"weight_contribution_ch_3",0.567915966051496,-37.7011038987664
"weight_contribution_ch_4",0.0264114508703197,-1.75332428193928
"chance_of_good_learning_hour",0.304889724522278,20.2401057004944
"weight_learning_hour_to_interest_in_class",0.420661543076056,-27.9256183832799
"chance_of_good_learning_material",0.0788129304865798,-5.23199673624139
"weight_learning_material_to_interest",0.49260926312794,-32.7018680946844
"weight_learning_material_to_motivation_inter_one",0.237637829079985,-15.7755883264064
"weight_learning_material_to_motivation_inter_two",0.14393837449814,9.55534962276772
"chance_of_good_trainer",0.0442760114384038,-2.93926321365452
"weight_good_trainer_to_interest",0.83972107424552,55.7448871991098
"weight_good_trainer_to_motivation_inter_one",0.101219376869148,6.71944877768436
"weight_good_trainer_to_motivation_inter_two",0.1180653837538,-7.83777101865479
"weight_good_trainer_to_successful_ch1",0.00459117545794158,0.304785202924946
"weight_good_trainer_to_successful_ch2",0.0315517176124366,2.09456091217402
"weight_good_trainer_to_successful_ch3",0.286632805863579,-19.0281200752118
"weight_good_trainer_to_successful_ch4",1.21919912318829,-80.9365391436079
"chance_of_good_facility",0.364219919748257,-24.1787409709561
"weight_good_facility_to_motivation",0.309523495943698,-20.5477186366419
"chance_athletes_understand_nutrition_importance",0.502345504622159,33.3482085290079
"weight_understand_nutrition_importance_to_motivation",0.0126501342049836,0.839779214716039
"weight_understand_nutrition_importance_to_persistence",0.818209245142785,54.3168243297148
"weight_understand_nutrition_importance_to_interest",0.0627674312733175,-4.16681620054938
"weight_motivation_to_learning_success",0.186172224343258,12.3590439300895
"weight_persistence_to_learning_success",0.214936861191663,14.2685844735115
"weight_interest_to_learning_success",0.0442969147687959,-2.94065088133434
"weight_knowledge_to_learning_success",0.340136034304542,-22.5799321300771
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.0507817627914075,3.37114754577575
"weight_motivation_to_maintain_good_nutrition_inter_one",0.219879534782497,14.5967038815311
"weight_persistence_to_maintain_good_nutrition_inter_one",0.439907809851516,29.2032818876358
"weight_interest_to_maintain_good_nutrition_inter_one",0.400168810856207,26.5652082649278
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0317251312087274,2.10607297452485
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.858210637177691,56.972316915508
"weight_motivation_to_maintain_good_nutrition_inter_two",0.0010108445327445,0.0671049187425816
"weight_interest_to_maintain_good_nutrition_inter_two",0.347513827789704,-23.0697069829688
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.304948213291928,20.2439884777243
"chance_good_nutritionist_inter_one",0.54798568284201,-36.3780319604358
"chance_good_nutrition_team_inter_two",0.303719030079616,-20.1623891447804
"weight_good_nutritionist_to_maintain_good_nutrition",0.00343981044042493,0.228351831184057
"weight_good_nutrition_team_to_maintain_good_nutrition",0.573433277662704,38.0673706542905
"chance_good_support",0.0815513532957703,-5.41378694644774
"weight_good_support_to_maintain_good_nutrition_inter_one",0.156576973721477,-10.3943630876765
"weight_good_support_to_maintain_good_nutrition_inter_two",0.692610932929739,45.9789798222329
"chance_good_kitchen_staff",0.176243831098605,11.69994750097
"chance_regular_audit",0.367771381528276,-24.4145047768091
"weight_good_kitchen_staff_to_good_food_safety",0.378819989377494,25.1479666573689
"weight_regular_audit_to_good_food_safety",0.393676895706433,26.1342424492187
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0964816096686923,-6.40493208128924
"weight_good_food_safety_to_maintain_good_nutrition",0.000853705749158127,-0.0566732599045584
"weight_tasty_food_to_maintain_good_nutrition",0.146184280769811,9.70444412046935
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.524646376618559,34.8286520143618
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.489947794345645,32.5251864778912
"chance_athletes_good_health",0.162028770060858,-10.7562806115929
"weight_good_health_to_maintain_good_nutrition",0.660709753264824,43.8612198701714
"total_main_meals_all_athletes",0.189926422958431,-12.6082664216339
"total_snack_time_all_athletes",0.218516531869804,14.5062209271901
"pork_restriction",0.919740216277283,-61.056958294072
"beef_restriction",3.51577842934977,-233.394966462236
"prawn_restriction",0.29385704132076,-19.507700977742
"egg_restriction",5.94889129075642,394.917174445027
"dairy_restriction",0.722003413988289,-47.9301998063008
"percent_athlete_with_dietary_restriction",3.71045627316855,246.318655978537
"number_athlete",3.45529909896256,229.380045849053
"chance_good_water_intake_current",0.242926967635941,16.1267078126563
"weight_current_good_water_intake_to_maintain_good_water_intake",0.371995639822347,24.6949321822002
"weight_good_learning_outcome_to_maintain_good_water_intake",0.143428249304976,9.52148495958074
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.198818601514711,13.1985737341181
"weight_good_water_intake_to_nutrition_outcome",0.320721206595906,-21.2910787074326
"weight_good_carb_intake_to_nutrition_outcome",0.331025824716612,21.9751508265999
"weight_good_protein_intake_to_nutrition_outcome",0.227604718061732,-15.109540207427
"weight_good_fat_intake_to_nutrition_outcome",0.571771207761232,37.957034136587
"weight_vegetable_intake_to_nutrition_outcome",0.681250648171756,45.2248272687168
"weight_fruit_intake_to_nutrition_outcome",0.0525575722270425,3.48903466295396
"chance_good_rest",0.603435241275937,-40.059051140426
"chance_enough_recovery_time",0.69230674262691,-45.9587861476446
"chance_personal_problem",0.124988336214182,8.29735124812032
"chance_good_team_relationship",0.0201874682873396,1.34014517085268
"weight_good_rest_to_mental_health",0.43786383951151,29.0675929076439
"weight_recovery_time_to_mental_health",0.0721462159566491,4.78942686291344
"weight_personal_problem_to_mental_health",1.1994275229217,79.6240013731377
"weight_nutrition_outcome_to_mental_health",0.210487958809385,13.9732440693389
