"","VIP","Coefficient"
"var_CV",0.0570739421356583,21.9218814489205
"total_egg_serving_all_athletes",0.288240485845293,110.712060934231
"total_dairy_serving_all_athletes",0.237957760983374,-91.3986598950728
"total_sandwich_serving_all_athletes",0.150711934628952,57.8878738745672
"total_vegetable_mushroom_serving_all_athletes",0.0297129494134498,-11.412629479688
"total_bean_nut_serving_all_athletes",0.110591183909815,42.4776479817058
"total_fruit_serving_all_athletes",0.0738953654040167,-28.3829253665558
"total_sports_drink_serving_all_athletes",0.166604237284079,63.9920461416237
"total_chicken_serving_all_athletes",0.451006301810466,173.22978422456
"total_pork_serving_all_athletes",0.425799913813251,-163.54810763532
"total_beef_serving_all_athletes",0.276280317608304,-106.118206359104
"total_fish_serving_all_athletes",9.33295941986879,3584.7537827972
"total_prawn_serving_all_athletes",0.143902258222011,-55.2723033828069
"total_rice_noodle_serving_all_athletes",0.159249514672363,-61.1671255009482
"total_fat_oil_serving_all_athletes",0.526300466307448,-202.149982937575
"total_prawn_serving_per_person",0.772257670832402,296.621198300413
"total_beef_serving_per_person",0.300943303452528,-115.59116427339
"total_pork_serving_per_person",0.550693106050197,-211.519101955073
"total_dairy_serving_per_person",0.152518351440016,-58.5817116172863
"total_egg_serving_per_person",0.567228111763353,-217.870133992416
"prior_knowledge_ch_1",0.305310513693321,-117.26859291383
"prior_knowledge_ch_2",0.157502365566573,-60.4960522556538
"prior_knowledge_ch_3",0.431234590205712,-165.635545915045
"prior_knowledge_ch_4",0.0793047665199894,-30.4606555098873
"weight_contribution_ch_1",0.0294538249231226,-11.3131007605404
"weight_contribution_ch_2",0.273962453478711,105.227923670327
"weight_contribution_ch_3",0.144137171163109,-55.3625325391062
"weight_contribution_ch_4",0.436720051266622,-167.742490390408
"chance_of_good_learning_hour",0.150462106258985,-57.7919157594614
"weight_learning_hour_to_interest_in_class",0.182744293298174,70.1913795200493
"chance_of_good_learning_material",0.426207034517024,-163.704481130291
"weight_learning_material_to_interest",0.372612802466828,-143.119142928879
"weight_learning_material_to_motivation_inter_one",0.371611561480159,142.734570120514
"weight_learning_material_to_motivation_inter_two",0.144867268767642,-55.6429602182504
"chance_of_good_trainer",0.79321963841214,-304.672609347628
"weight_good_trainer_to_interest",0.0221963125001413,8.52551817911463
"weight_good_trainer_to_motivation_inter_one",0.557144739674397,-213.997149592389
"weight_good_trainer_to_motivation_inter_two",1.18993726798603,457.05032356867
"weight_good_trainer_to_successful_ch1",0.255719365078105,-98.2208236485747
"weight_good_trainer_to_successful_ch2",0.0739628522899709,-28.4088468196373
"weight_good_trainer_to_successful_ch3",0.226904309621241,87.1530717808658
"weight_good_trainer_to_successful_ch4",0.205240875511759,78.8322301401082
"chance_of_good_facility",0.241961550910056,92.9365001919717
"weight_good_facility_to_motivation",0.0696867278413921,-26.7664038813212
"chance_athletes_understand_nutrition_importance",2.85501024402445,-1096.59844340513
"weight_understand_nutrition_importance_to_motivation",0.355417919955572,-136.514654753804
"weight_understand_nutrition_importance_to_persistence",0.70853928820086,-272.147212837038
