"","VIP","Coefficient"
"var_CV",0.303774072874272,114.63042546385
"total_egg_serving_all_athletes",0.136863651690732,-51.6460752407203
"total_dairy_serving_all_athletes",0.300981245073113,113.57654013366
"total_sandwich_serving_all_athletes",0.42272050661309,-159.515363068553
"total_vegetable_mushroom_serving_all_athletes",0.0181224457700708,6.83858121732648
"total_bean_nut_serving_all_athletes",1.11679126490251,-421.425886148851
"total_fruit_serving_all_athletes",0.0800289417698872,30.1992581450515
"total_sports_drink_serving_all_athletes",0.55564217604043,209.673914704154
"total_chicken_serving_all_athletes",0.215091806477509,-81.1657988353394
"total_pork_serving_all_athletes",0.0701331866272069,-26.4650532751019
"total_beef_serving_all_athletes",0.511373713167184,192.969023843073
"total_fish_serving_all_athletes",9.23520906917535,3484.94502783102
"total_prawn_serving_all_athletes",0.484239519901338,182.729821763541
"total_rice_noodle_serving_all_athletes",0.191431477295684,72.2374739948915
"total_fat_oil_serving_all_athletes",0.358066116462422,-135.117756712778
"total_prawn_serving_per_person",0.414492929432663,-156.410652176655
"total_beef_serving_per_person",0.354411842610939,-133.738801088313
"total_pork_serving_per_person",0.128674461567913,48.5558498666422
"total_dairy_serving_per_person",0.132608074490351,-50.0402152657126
"total_egg_serving_per_person",0.469826798830551,-177.291120781579
"prior_knowledge_ch_1",0.710140970904637,-267.97468547555
"prior_knowledge_ch_2",0.288427808954587,108.839448157099
"prior_knowledge_ch_3",0.554104628820128,-209.093714786609
"prior_knowledge_ch_4",0.0490185295114815,18.4973485075503
"weight_contribution_ch_1",0.0425202841117016,16.0452082445675
"weight_contribution_ch_2",0.214911566326842,-81.0977844555697
"weight_contribution_ch_3",0.270034576844981,101.898684574382
"weight_contribution_ch_4",0.14567657287965,-54.9716681588596
"chance_of_good_learning_hour",0.276313057895463,104.267895834822
"weight_learning_hour_to_interest_in_class",0.137853637757698,-52.0196506515047
"chance_of_good_learning_material",0.443137385777401,-167.219758388089
"weight_learning_material_to_interest",0.108577824275428,-40.9722991658436
"weight_learning_material_to_motivation_inter_one",0.130465116585525,-49.2315610772327
"weight_learning_material_to_motivation_inter_two",0.00711489805874221,-2.68483674030699
"chance_of_good_trainer",0.933151377850257,-352.128601539424
"weight_good_trainer_to_interest",0.0041148889707552,1.55277067917971
"weight_good_trainer_to_motivation_inter_one",0.214771313551135,81.0448594801114
"weight_good_trainer_to_motivation_inter_two",0.492910979868316,-186.002033693948
"weight_good_trainer_to_successful_ch1",0.396331082617949,-149.557202809231
"weight_good_trainer_to_successful_ch2",0.743919284193429,280.721074221333
"weight_good_trainer_to_successful_ch3",0.121412708444826,45.8155967494602
"weight_good_trainer_to_successful_ch4",0.712056729167965,268.697604922668
"chance_of_good_facility",0.0649745332546343,-24.5184137040439
"weight_good_facility_to_motivation",0.183757266868005,69.3415783771375
"chance_athletes_understand_nutrition_importance",1.4751567414566,-556.656607652697
"weight_understand_nutrition_importance_to_motivation",0.244289146969754,92.1835382077977
"weight_understand_nutrition_importance_to_persistence",0.177230563686807,-66.8786994505128
"weight_understand_nutrition_importance_to_interest",0.545470600970106,-205.835628023147
"weight_motivation_to_learning_success",0.295358062675133,111.454608578929
"weight_persistence_to_learning_success",0.948910478848473,358.075364656041
"weight_interest_to_learning_success",0.34261263852389,-129.286321744583
"weight_knowledge_to_learning_success",0.120864398503599,-45.6086896844356
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.472347167009556,178.242192326135
"weight_motivation_to_maintain_good_nutrition_inter_one",0.597845191163762,-225.599400160075
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0306699183660396,11.5734228335404
"weight_interest_to_maintain_good_nutrition_inter_one",0.221280756756595,83.5012252822166
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.201304147431636,-75.9629676403508
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.0679354066374795,-25.6357117420519
"weight_motivation_to_maintain_good_nutrition_inter_two",0.147579930457851,-55.6899081552314
"weight_interest_to_maintain_good_nutrition_inter_two",0.176377923341235,66.5569520260016
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.138878739935264,-52.406477274483
"chance_good_nutritionist_inter_one",0.34386107222631,129.75742345882
"chance_good_nutrition_team_inter_two",1.59854243474328,-603.216718539643
"weight_good_nutritionist_to_maintain_good_nutrition",0.441203688844494,-166.490069708473
"weight_good_nutrition_team_to_maintain_good_nutrition",0.6206294471928,-234.197135107543
"chance_good_support",1.07173469388306,-404.423599360409
"weight_good_support_to_maintain_good_nutrition_inter_one",0.0454970725669617,-17.168511902163
"weight_good_support_to_maintain_good_nutrition_inter_two",0.580918132114311,219.211903155044
"chance_good_kitchen_staff",2.90634204893221,-1096.72040954748
"chance_regular_audit",0.103523709154675,-39.065107544276
"weight_good_kitchen_staff_to_good_food_safety",0.364634603815881,137.596403072742
"weight_regular_audit_to_good_food_safety",0.419148041830293,-158.167278440619
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0722823409133953,27.2760456941791
"weight_good_food_safety_to_maintain_good_nutrition",0.502776497912777,189.724828467569
"weight_tasty_food_to_maintain_good_nutrition",0.176352228164933,66.5472558430323
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.275114378406304,-103.815569082453
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.251752337562821,94.9998046024453
"chance_athletes_good_health",1.6987064791618,-641.014042449597
"weight_good_health_to_maintain_good_nutrition",0.32849542027249,123.959129995754
"total_main_meals_all_athletes",0.284830653089776,107.482046245404
"total_snack_time_all_athletes",0.406627836311683,-153.442726170857
"pork_restriction",0.968383534732378,365.423604286674
"beef_restriction",0.22733708546816,-85.7866064221767
"prawn_restriction",0.537755186014482,202.924183703278
"egg_restriction",0.135330151680767,-51.0674025550369
"dairy_restriction",0.316806345041738,119.548208239655
"percent_athlete_with_dietary_restriction",0.00586865887385354,-2.21456313650066
"number_athlete",0.162730022946193,-61.4068593463693
"chance_good_water_intake_current",0.529683542843929,199.878315166578
"weight_current_good_water_intake_to_maintain_good_water_intake",0.0651449977816835,24.5827392110803
"weight_good_learning_outcome_to_maintain_good_water_intake",0.155558650634185,58.7007118088032
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.204794092197814,77.2799129925566
"weight_good_water_intake_to_nutrition_outcome",0.0933389368762912,-35.2218408412394
"weight_good_carb_intake_to_nutrition_outcome",0.00352190271153729,1.32900481744832
"weight_good_protein_intake_to_nutrition_outcome",0.334687400751045,-126.29569990116
"weight_good_fat_intake_to_nutrition_outcome",0.0948665215812919,-35.7982813616875
"weight_vegetable_intake_to_nutrition_outcome",0.220657425807852,-83.2660087241243
"weight_fruit_intake_to_nutrition_outcome",0.865310228144793,326.528458047544
"chance_good_rest",0.0454236729880274,17.1408142619974
"chance_enough_recovery_time",0.249597987417841,94.1868515041757
"chance_personal_problem",0.63742938116061,240.536660927746
"chance_good_team_relationship",0.126747373747062,47.8286551632885
"weight_good_rest_to_mental_health",0.250412999870266,94.4943998847726
"weight_recovery_time_to_mental_health",0.254049628169364,95.866696885748
"weight_personal_problem_to_mental_health",0.739396504354005,279.014384205405
"weight_nutrition_outcome_to_mental_health",0.388939925386397,-146.768118506853
"weight_team_relationship_to_mental_health",0.482723069484619,-182.157582813658
"forty_dash_current_sec",0.162809184281103,-61.4367312094125
"percent_increment_40_dash_if_optimal_training",0.218551571663924,-82.4713557960476
"percent_increment_40_dash_current",0.336279664721405,126.896547414729
"ten_dash_current_sec",0.180233218146744,68.011763753884
"percent_increment_10_dash_if_optimal_training",0.536122740151199,-202.308173383226
"percent_increment_10_dash_current",0.170118805966845,-64.195047730267
"shuttle_run_current",0.196976111557989,-74.3297650798931
"percent_increment_shuttle_run_if_optimal_training",0.0884928663314353,-33.393155716375
"percent_increment_shuttle_run_current",0.130581425361712,49.2754506836544
"weight_nutrition_outcome_to_sports_performance",0.447293905112727,168.788238460628
"weight_water_intake_to_sports_performance",0.195647228591322,-73.8283054970546
"weight_mental_health_to_sports_performance",0.143499044294993,54.1499685787833
