"","VIP","Coefficient"
"var_CV",0.531632805496099,-683.898330693788
"total_egg_serving_all_athletes",0.0504995836081692,-64.963223814095
"total_dairy_serving_all_athletes",0.244501111015389,-314.528937920157
"total_sandwich_serving_all_athletes",0.0695993571503833,-89.5333840959843
"total_vegetable_mushroom_serving_all_athletes",0.297629965363026,-382.874484741927
"total_bean_nut_serving_all_athletes",0.0501549645878883,-64.5199020885377
"total_fruit_serving_all_athletes",0.203991899399777,262.417439315803
"total_sports_drink_serving_all_athletes",0.268487945794569,345.385867918675
"total_chicken_serving_all_athletes",0.198006565623756,-254.717839637701
"total_pork_serving_all_athletes",10.3040176493005,13255.2024573052
"total_beef_serving_all_athletes",0.129273888063211,-166.299361767611
"total_fish_serving_all_athletes",0.299126416694714,-384.799536313473
"total_prawn_serving_all_athletes",0.312818731479614,402.413481743325
"total_rice_noodle_serving_all_athletes",0.472911426549112,608.358498270531
"total_fat_oil_serving_all_athletes",0.285062957180967,366.7081461927
"total_prawn_serving_per_person",0.0343905756905497,44.240417564935
"total_beef_serving_per_person",0.22072277661993,283.940225125133
"total_pork_serving_per_person",0.0953423838960478,122.649498896192
"total_dairy_serving_per_person",0.318525932606289,-409.755288500009
"total_egg_serving_per_person",0.113796985664114,146.389703060271
"prior_knowledge_ch_1",0.157866347741071,203.081018659289
"prior_knowledge_ch_2",0.0828647606792128,-106.598146156482
"prior_knowledge_ch_3",0.159439680320788,205.104971120031
"prior_knowledge_ch_4",0.0820028317902696,105.489351284851
"weight_contribution_ch_1",0.109368273757625,-140.692559000198
"weight_contribution_ch_2",0.161585306117462,207.865127915226
"weight_contribution_ch_3",0.327877622231188,-421.785405636342
"weight_contribution_ch_4",0.373102161719018,-479.962754254361
"chance_of_good_learning_hour",0.329839526975277,424.309221634134
"weight_learning_hour_to_interest_in_class",0.0873721167849788,112.396458985766
"chance_of_good_learning_material",0.914186015057263,-1176.01901759589
"weight_learning_material_to_interest",0.372666819940661,479.402725767741
"weight_learning_material_to_motivation_inter_one",0.279626115394334,-359.714132686225
"weight_learning_material_to_motivation_inter_two",0.693196612888977,891.735802411536
"chance_of_good_trainer",0.137233847067273,-176.539141214985
"weight_good_trainer_to_interest",0.705897710559509,908.074635164247
