"","VIP","Coefficient"
"var_CV",0.489621582509221,18.9720877058916
"total_egg_serving_all_athletes",0.0905686060144946,-3.50939500644863
"total_dairy_serving_all_athletes",0.196664815517641,-7.62046090685434
"total_sandwich_serving_all_athletes",0.109900756129243,4.2584862651322
"total_vegetable_mushroom_serving_all_athletes",0.105342606810808,-4.08186494831295
"total_bean_nut_serving_all_athletes",0.327310957940308,-12.6827991717991
"total_fruit_serving_all_athletes",0.528876756425039,20.493165675176
"total_sports_drink_serving_all_athletes",0.270253096282284,10.4718942722663
"total_chicken_serving_all_athletes",0.174126468863033,6.74713443442713
"total_pork_serving_all_athletes",0.34715784189,13.4518355795745
"total_beef_serving_all_athletes",0.288727463228545,-11.1877477446951
"total_fish_serving_all_athletes",0.294331394990506,-11.4048915322317
"total_prawn_serving_all_athletes",0.0882115562366539,3.41806293141392
"total_rice_noodle_serving_all_athletes",0.865212933602364,-33.5256782931269
"total_fat_oil_serving_all_athletes",0.242270725436383,-9.38762018617202
"total_prawn_serving_per_person",0.0240672012380564,0.932567249964212
"total_beef_serving_per_person",0.48302430991994,-18.7164534800839
"total_pork_serving_per_person",4.71159084519253,182.56694137372
"total_dairy_serving_per_person",0.214042827193297,8.29383228884065
"total_egg_serving_per_person",0.0812103049886231,-3.14677515025055
"prior_knowledge_ch_1",0.630702200761798,-24.4387459552528
"prior_knowledge_ch_2",0.200535718892426,-7.77045249413506
"prior_knowledge_ch_3",0.72201623307486,27.977025091037
"prior_knowledge_ch_4",0.0198352370293899,-0.768585107421502
"weight_contribution_ch_1",0.000238407915700768,0.00923794221503422
"weight_contribution_ch_2",0.192871146135717,-7.47346201870859
"weight_contribution_ch_3",0.00598482575069328,0.231902847224863
"weight_contribution_ch_4",0.377101346644261,-14.6121006061044
"chance_of_good_learning_hour",1.07082514515153,41.4928371159094
"weight_learning_hour_to_interest_in_class",0.193526482188434,-7.49885528876273
"chance_of_good_learning_material",0.0677785473123699,2.62631507704011
"weight_learning_material_to_interest",0.280169552915131,-10.8561418048319
"weight_learning_material_to_motivation_inter_one",0.557322924150692,-21.5954111812295
"weight_learning_material_to_motivation_inter_two",0.17294649337245,6.70141218831326
"chance_of_good_trainer",0.0815671276144339,3.1606014814299
"weight_good_trainer_to_interest",0.0668331750283001,-2.58968334647756
"weight_good_trainer_to_motivation_inter_one",0.469760000512228,18.2024817712562
"weight_good_trainer_to_motivation_inter_two",0.167848793463475,-6.50388411106685
"weight_good_trainer_to_successful_ch1",0.115691479884579,4.48286795681292
"weight_good_trainer_to_successful_ch2",0.0136126340383912,-0.52746875568889
"weight_good_trainer_to_successful_ch3",0.448124080499684,17.3641229514263
"weight_good_trainer_to_successful_ch4",0.141811183121496,5.49496652102055
"chance_of_good_facility",0.189273604404952,7.3340627771721
"weight_good_facility_to_motivation",0.183709596342332,7.1184659719428
"chance_athletes_understand_nutrition_importance",0.245872209491689,9.52717218675675
"weight_understand_nutrition_importance_to_motivation",0.0309373259777785,1.19877407941902
"weight_understand_nutrition_importance_to_persistence",0.265146728873957,10.2740303426723
"weight_understand_nutrition_importance_to_interest",0.24604472627306,9.53385694826204
"weight_motivation_to_learning_success",0.391668992279538,-15.1765746009892
"weight_persistence_to_learning_success",0.0157494850366486,-0.610268464691909
"weight_interest_to_learning_success",0.057941778301242,2.24515531797618
"weight_knowledge_to_learning_success",0.493116226307031,-19.1074998098539
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.193914318307361,-7.51388334538163
"weight_motivation_to_maintain_good_nutrition_inter_one",0.529047446809129,20.4997796665791
"weight_persistence_to_maintain_good_nutrition_inter_one",0.40676031932691,15.7613404499
"weight_interest_to_maintain_good_nutrition_inter_one",0.677045685541384,-26.2344851326989
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.0766441217578686,2.96984253161253
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.090050398114312,-3.4893152426405
"weight_motivation_to_maintain_good_nutrition_inter_two",0.198381074933301,-7.6869633351033
"weight_interest_to_maintain_good_nutrition_inter_two",0.013865119403338,0.537252177538219
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.190204573817624,-7.37013641848955
"chance_good_nutritionist_inter_one",0.597143363800999,23.1383923334514
"chance_good_nutrition_team_inter_two",0.0574745968969056,-2.22705275286415
"weight_good_nutritionist_to_maintain_good_nutrition",0.303448206259325,-11.7581540295744
"weight_good_nutrition_team_to_maintain_good_nutrition",0.0791663472689014,3.06757491375982
"chance_good_support",0.63596299029779,24.6425935061871
"weight_good_support_to_maintain_good_nutrition_inter_one",0.642298019398473,-24.8880661977739
"weight_good_support_to_maintain_good_nutrition_inter_two",0.597582525636271,-23.1554091831033
"chance_good_kitchen_staff",0.131627409135333,5.10036084973395
"chance_regular_audit",0.24939313369057,9.66360261607858
"weight_good_kitchen_staff_to_good_food_safety",0.224881239111858,8.71380417908642
"weight_regular_audit_to_good_food_safety",0.374243850090208,14.5013769836591
"chance_tasty_food_conditional_on_good_kitchen_staff",0.0950865676642767,-3.68445911255328
"weight_good_food_safety_to_maintain_good_nutrition",0.177756041083858,6.8877748084798
"weight_tasty_food_to_maintain_good_nutrition",0.422601897941558,16.3751773999311
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.690046408479104,26.73824326883
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.073920628290634,-2.86431132389494
"chance_athletes_good_health",0.534210138545415,20.6998260777633
"weight_good_health_to_maintain_good_nutrition",0.178688963545058,-6.92392412744156
"total_main_meals_all_athletes",0.0360343847794809,-1.39627731473884
"total_snack_time_all_athletes",0.166291809546724,-6.44355336487327
"pork_restriction",4.53166388418263,175.595046737376
"beef_restriction",4.4438201711264,-172.191237166782
"prawn_restriction",1.28350199358531,-49.7337398163585
"egg_restriction",0.70039795443985,-27.1393498476135
"dairy_restriction",0.0813615032540485,-3.15263385185829
"percent_athlete_with_dietary_restriction",4.19490402908768,162.546117247907
"number_athlete",4.88395284091455,189.245705171758
"chance_good_water_intake_current",0.635242447006031,-24.61467355532
"weight_current_good_water_intake_to_maintain_good_water_intake",0.0586082265671884,2.2709791693027
"weight_good_learning_outcome_to_maintain_good_water_intake",0.00392624989407029,0.152136180279893
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.19182432021453,7.43289911482724
"weight_good_water_intake_to_nutrition_outcome",0.0517790021519565,2.00635716488656
"weight_good_carb_intake_to_nutrition_outcome",0.145751633490896,-5.64765294800739
"weight_good_protein_intake_to_nutrition_outcome",0.109584168782915,-4.24621898951428
"weight_good_fat_intake_to_nutrition_outcome",0.178309704126777,6.90922840485914
"weight_vegetable_intake_to_nutrition_outcome",0.0816861399402506,-3.16521302708911
"weight_fruit_intake_to_nutrition_outcome",0.607205742288576,23.5282941147778
"chance_good_rest",0.0576888351779055,2.23535415868915
"chance_enough_recovery_time",0.539253913574233,-20.8952646483531
"chance_personal_problem",0.19167626546593,-7.42716221969013
"chance_good_team_relationship",0.14118697487357,5.47077940580866
"weight_good_rest_to_mental_health",0.0790917633114461,-3.06468489944501
"weight_recovery_time_to_mental_health",0.242874227115303,9.41100495349465
"weight_personal_problem_to_mental_health",0.155872292369711,-6.03981300538535
"weight_nutrition_outcome_to_mental_health",0.0645839064819353,-2.50252762936835
"weight_team_relationship_to_mental_health",0.361533605852781,14.0088744530314
"forty_dash_current_sec",0.138350455929751,-5.3608686336859
"percent_increment_40_dash_if_optimal_training",0.128956305929591,-4.99685968454612
"percent_increment_40_dash_current",0.380699128131799,14.7515091378492
"ten_dash_current_sec",0.778138658939662,30.1516832838351
"percent_increment_10_dash_if_optimal_training",0.182955950769011,7.0892633582775
"percent_increment_10_dash_current",0.382668578496729,14.8278223282612
"shuttle_run_current",0.47941574709084,18.5766271878378
"percent_increment_shuttle_run_if_optimal_training",0.0802851779050513,3.110927890253
"percent_increment_shuttle_run_current",0.0490596952452636,-1.90098817998883
"weight_nutrition_outcome_to_sports_performance",0.301535462408441,-11.6840381298792
"weight_water_intake_to_sports_performance",0.253989468459364,9.84170356071487
"weight_mental_health_to_sports_performance",0.156354399115562,-6.05849390466068
