"","VIP","Coefficient"
"var_CV",0.241009484000894,6.22788142400858
"total_egg_serving_all_athletes",0.503550233388369,-13.0121482877536
"total_dairy_serving_all_athletes",0.13322147597225,-3.44255147852813
"total_sandwich_serving_all_athletes",0.073209660755883,1.89179727996863
"total_vegetable_mushroom_serving_all_athletes",0.027051026028537,-0.699020551833858
"total_bean_nut_serving_all_athletes",0.275928476496952,-7.13021663962396
"total_fruit_serving_all_athletes",0.153399047970105,-3.96395637820658
"total_sports_drink_serving_all_athletes",0.314691714197335,-8.13189028333729
"total_chicken_serving_all_athletes",0.579020688031816,-14.9623663237113
"total_pork_serving_all_athletes",0.333600894844408,-8.62051891711624
"total_beef_serving_all_athletes",0.398373502425794,-10.2942958691436
"total_fish_serving_all_athletes",0.29139357836183,7.52984747168
"total_prawn_serving_all_athletes",0.352175927334782,-9.10051289028589
"total_rice_noodle_serving_all_athletes",0.0186843043669818,-0.482817647488167
"total_fat_oil_serving_all_athletes",0.522621196452951,13.5049575110098
"total_prawn_serving_per_person",4.73356927073656,122.31928653218
"total_beef_serving_per_person",0.262072290124343,-6.77216149471832
"total_pork_serving_per_person",0.183899117682667,-4.7521030288717
"total_dairy_serving_per_person",0.0283821229213232,0.733417180026747
"total_egg_serving_per_person",0.0666883824797307,-1.72328213623807
"prior_knowledge_ch_1",0.492938891208911,-12.7379425604678
"prior_knowledge_ch_2",0.533045377753712,13.7743268487047
"prior_knowledge_ch_3",0.804408838978138,20.7865797744361
"prior_knowledge_ch_4",0.0394591421558873,-1.01965638181713
"weight_contribution_ch_1",0.00347032070537354,-0.0896759143979084
"weight_contribution_ch_2",0.363010648302803,-9.38049090746136
"weight_contribution_ch_3",0.280719685661479,-7.25402538797259
"weight_contribution_ch_4",0.44635919868505,-11.534285355823
"chance_of_good_learning_hour",0.0910734038776078,2.35341095634428
"weight_learning_hour_to_interest_in_class",0.182430923454721,-4.71416369384109
"chance_of_good_learning_material",0.278831536062687,7.20523406400947
