"","VIP","Coefficient"
"var_CV",0.293108368667864,339.571382905426
"total_egg_serving_all_athletes",0.191637140134616,-222.015116754622
"total_dairy_serving_all_athletes",0.135137478683698,156.55923004701
"total_sandwich_serving_all_athletes",0.229819358163494,-266.249911678387
"total_vegetable_mushroom_serving_all_athletes",8.30966722013195,9626.90080207683
"total_bean_nut_serving_all_athletes",0.267698696002579,-310.133814386519
"total_fruit_serving_all_athletes",0.0743045329178735,86.0831545470316
"total_sports_drink_serving_all_athletes",0.0143946541060421,16.6764689232495
"total_chicken_serving_all_athletes",0.137325250452477,-159.093803482706
"total_pork_serving_all_athletes",0.00839789558084341,9.7291149646899
"total_beef_serving_all_athletes",0.279904252490847,324.274173853867
"total_fish_serving_all_athletes",0.384296043846037,445.213965220333
"total_prawn_serving_all_athletes",0.608849749193397,705.363522218296
"total_rice_noodle_serving_all_athletes",0.623999896912149,722.915244250182
"total_fat_oil_serving_all_athletes",0.0613050581794521,71.0230263288164
"total_prawn_serving_per_person",0.0882891502815542,102.284588437066
"total_beef_serving_per_person",0.424386153448087,491.659087276279
"total_pork_serving_per_person",0.329106723388654,381.276132416383
"total_dairy_serving_per_person",0.0983848632696307,-113.98065578703
"total_egg_serving_per_person",0.263256378366684,-304.987308506179
"prior_knowledge_ch_1",0.64839702910429,-751.179766191553
"prior_knowledge_ch_2",0.323063444144775,374.274883358043
"prior_knowledge_ch_3",0.166810513551688,-193.253017739993
"prior_knowledge_ch_4",0.44537325311206,515.973024433579
"weight_contribution_ch_1",0.0147457208132347,-17.0831860968165
"weight_contribution_ch_2",0.269073772923413,311.726866040865
"weight_contribution_ch_3",0.209552130822735,242.769959717143
"weight_contribution_ch_4",0.00860673413177529,-9.97105822910846
"chance_of_good_learning_hour",0.358059419952986,414.818358644431
"weight_learning_hour_to_interest_in_class",0.444608902680353,-515.087510538843
"chance_of_good_learning_material",0.399444159357405,-462.763332902956
"weight_learning_material_to_interest",0.0753065439257009,-87.2440025472467
"weight_learning_material_to_motivation_inter_one",0.118981514938055,137.842251831029
"weight_learning_material_to_motivation_inter_two",0.0399540893933136,-46.2875401670576
"chance_of_good_trainer",1.29278747158174,-1497.71782881186
"weight_good_trainer_to_interest",0.53389427048779,-618.526235121785
"weight_good_trainer_to_motivation_inter_one",0.0412045989445534,-47.7362782552292
"weight_good_trainer_to_motivation_inter_two",0.451752657759384,-523.363680893
"weight_good_trainer_to_successful_ch1",0.0833158298132156,96.5229061052346
"weight_good_trainer_to_successful_ch2",0.640094133105764,741.560709973017
"weight_good_trainer_to_successful_ch3",0.0732593812150397,-84.8723272660152
"weight_good_trainer_to_successful_ch4",0.119928091114337,138.938877569374
"chance_of_good_facility",0.126843605937828,146.950627430999
"weight_good_facility_to_motivation",0.6988482743156,-809.628452537721
"chance_athletes_understand_nutrition_importance",2.79942656594244,-3243.18665707031
"weight_understand_nutrition_importance_to_motivation",0.0125281838134742,14.5141290989732
"weight_understand_nutrition_importance_to_persistence",0.639389467163811,-740.744341646575
"weight_understand_nutrition_importance_to_interest",0.46841880031196,-542.67171054769
"weight_motivation_to_learning_success",0.473065621332909,548.055137323831
"weight_persistence_to_learning_success",0.37343661529852,432.633119486714
"weight_interest_to_learning_success",0.616568176219969,-714.305460489044
"weight_knowledge_to_learning_success",0.0855192082437116,99.075560142743
"weight_understand_importance_to_maintain_good_nutrition_inter_one",0.128795955737841,-149.212460228604
"weight_motivation_to_maintain_good_nutrition_inter_one",1.624332499104,-1881.81878097105
"weight_persistence_to_maintain_good_nutrition_inter_one",0.0512792242171851,-59.4079151028214
"weight_interest_to_maintain_good_nutrition_inter_one",0.380114193151542,-440.369215034975
"weight_learning_outcome_to_maintain_good_nutrition_inter_one",0.309407235309299,358.453916728589
"weight_understand_importance_to_maintain_good_nutrition_inter_two",0.344797031046169,399.453639574192
"weight_motivation_to_maintain_good_nutrition_inter_two",0.126443128904661,146.486667494978
"weight_interest_to_maintain_good_nutrition_inter_two",0.339782692201146,393.644436705986
"weight_learning_outcome_to_maintain_good_nutrition_inter_two",0.252747622496969,-292.812723455903
"chance_good_nutritionist_inter_one",0.0134874112468864,15.6254115490956
"chance_good_nutrition_team_inter_two",1.34168287364751,-1554.36404254042
"weight_good_nutritionist_to_maintain_good_nutrition",0.0301980451559215,34.9849852504775
"weight_good_nutrition_team_to_maintain_good_nutrition",0.369940686097928,-428.583021843376
"chance_good_support",1.20427796518868,-1395.1779538067
"weight_good_support_to_maintain_good_nutrition_inter_one",0.247327189906579,-286.533053588306
"weight_good_support_to_maintain_good_nutrition_inter_two",0.494560940091013,572.957855556873
"chance_good_kitchen_staff",3.41702474732556,-3958.68539729831
"chance_regular_audit",0.0756454374578848,-87.6366168758801
"weight_good_kitchen_staff_to_good_food_safety",1.12991685672513,1309.02925545971
"weight_regular_audit_to_good_food_safety",0.74268246127132,-860.411156391379
"chance_tasty_food_conditional_on_good_kitchen_staff",0.746290127061456,-864.590702908542
"weight_good_food_safety_to_maintain_good_nutrition",0.0973277630191284,112.755985895945
"weight_tasty_food_to_maintain_good_nutrition",0.379643799199642,439.824255075342
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_one",0.30260612561817,350.57470729624
"weight_good_kitchen_staff_to_maintain_good_nutrition_inter_two",0.0593415232442487,68.7482353484003
"chance_athletes_good_health",2.18143448801698,-2527.23158052474
"weight_good_health_to_maintain_good_nutrition",0.637829792731306,738.937430413249
"total_main_meals_all_athletes",0.572594625749026,-663.361301465049
"total_snack_time_all_athletes",0.0146518094235598,16.9743880416555
"pork_restriction",1.14226154563245,1323.33080236827
"beef_restriction",0.0812305744116483,-94.1070997478815
"prawn_restriction",0.230736860430085,267.31285476289
"egg_restriction",0.302904147298501,350.919970840184
"dairy_restriction",0.474421146870599,549.625538344754
"percent_athlete_with_dietary_restriction",0.285179072199942,330.385148546725
"number_athlete",0.511534201765096,-592.621688306784
"chance_good_water_intake_current",0.438586622690197,508.110589498358
"weight_current_good_water_intake_to_maintain_good_water_intake",0.550030527133317,-637.220382303395
"weight_good_learning_outcome_to_maintain_good_water_intake",0.427605695006799,495.388984803197
"weight_maintain_good_nutrition_to_maintain_good_water_intake",0.759731778086582,880.163100407387
"weight_good_water_intake_to_nutrition_outcome",0.156821409557722,181.680458851164
"weight_good_carb_intake_to_nutrition_outcome",0.105302384211097,-121.994729772862
"weight_good_protein_intake_to_nutrition_outcome",1.02540318287371,-1187.94826100176
"weight_good_fat_intake_to_nutrition_outcome",0.010523727950354,-12.1919304783534
"weight_vegetable_intake_to_nutrition_outcome",0.281662320583316,-326.310927755214
